Condition,ReadCode,MedCode,ReadTerm,Category
Alcohol consumption,136R.00,19401,Binge drinker,Excess drinker
Alcohol consumption,136S.00,19494,Hazardous alcohol use,Excess drinker
Alcohol consumption,E014.11,20407,Drunkenness - pathological,Excess drinker
Alcohol consumption,Eu10300,20514,[x]mental and behav dis due to use alcohol: withdrawal state,Excess drinker
Alcohol consumption,E230200,21624,Episodic acute alcoholic intoxication in alcoholism,Excess drinker
Alcohol consumption,Eu10100,21879,[x]mental and behav dis due to use of alcohol: harmful use,Excess drinker
Alcohol consumption,E010.11,22277,Dts - delirium tremens,Excess drinker
Alcohol consumption,E250100,23610,"Nondependent alcohol abuse, continuous",Excess drinker
Alcohol consumption,E231100,24064,Continuous chronic alcoholism,Excess drinker
Alcohol consumption,2577.00,24735,O/e - breath - alcohol smell,Excess drinker
Alcohol consumption,E013.00,25110,Alcohol withdrawal hallucinosis,Excess drinker
Alcohol consumption,E231200,26106,Episodic chronic alcoholism,Excess drinker
Alcohol consumption,E250z00,28150,Nondependent alcohol abuse NOS,Excess drinker
Alcohol consumption,Eu10211,28780,[x]alcohol addiction,Excess drinker
Alcohol consumption,Eu10513,30162,[x]alcoholic paranoia,Excess drinker
Alcohol consumption,E015.00,30404,Alcoholic paranoia,Excess drinker
Alcohol consumption,Z4B1.00,30460,Alcoholism counselling,Excess drinker
Alcohol consumption,136T.00,30695,Harmful alcohol use,Excess drinker
Alcohol consumption,E231.00,31443,Chronic alcoholism,Excess drinker
Alcohol consumption,Eu10800,32927,[x]alcohol withdrawal-induced seizure,Excess drinker
Alcohol consumption,E231z00,33635,Chronic alcoholism nos,Excess drinker
Alcohol consumption,9k11.00,35330,Alcohol consumption counselling,Excess drinker
Alcohol consumption,E230z00,36296,Acute alcoholic intoxication in alcoholism nos,Excess drinker
Alcohol consumption,E231.11,37605,Dipsomania,Excess drinker
Alcohol consumption,1B1c.00,38061,Alcohol induced hallucinations,Excess drinker
Alcohol consumption,Eu10200,39327,[x]mental and behav dis due to use alcohol: dependence syndr,Excess drinker
Alcohol consumption,E230000,40530,"Acute alcoholic intoxication, unspecified, in alcoholism",Excess drinker
Alcohol consumption,E231000,43193,Unspecified chronic alcoholism,Excess drinker
Alcohol consumption,Eu10000,44299,[x]mental & behav dis due to use alcohol: acute intoxication,Excess drinker
Alcohol consumption,ZC2H.00,54209,Advice to change alcohol intake,Excess drinker
Alcohol consumption,E230100,56947,Continuous acute alcoholic intoxication in alcoholism,Excess drinker
Alcohol consumption,E230.11,57714,Alcohol dependence with acute alcoholic intoxication,Excess drinker
Alcohol consumption,E014.00,57939,Pathological alcohol intoxication,Excess drinker
Alcohol consumption,Eu10400,64101,[x]men & behav dis due alcohl: withdrawl state with delirium,Excess drinker
Alcohol consumption,Eu10512,65932,[x]alcoholic jealousy,Excess drinker
Alcohol consumption,136W.00,94670,Alcohol misuse,Excess drinker
Alcohol consumption,Z191211,95181,Alcohol reduction programme,Excess drinker
Alcohol consumption,ZC22100,95650,Advice to change drink intake,Excess drinker
Alcohol consumption,ZC22200,97163,Advice to change alcoholic drink intake,Excess drinker
Alcohol consumption,8IAF.00,97261,Brief intervention for excessive alcohol consumptn declined,Excess drinker
Alcohol consumption,8CAv.00,97309,Advised to contact primary care alcohol worker,Excess drinker
Alcohol consumption,8IAJ.00,97680,Declined referral to specialist alcohol treatment service,Excess drinker
Alcohol consumption,136b.00,99877,Feels should cut down drinking,Excess drinker
Alcohol consumption,136Y.00,101718,Drinks in morning to get rid of hangover,Excess drinker
Alcohol consumption,8IAt.00,102247,Extended interven for excessive alcohol consumption declined,Excess drinker
Alcohol consumption,136c.00,102448,Higher risk drinking,Excess drinker
Alcohol consumption,136a.00,102665,Increasing risk drinking,Excess drinker
Alcohol consumption,8IEA.00,103459,Referral to community alcohol team declined,Excess drinker
Alcohol consumption,1362.11,385,Drinks rarely,Non drinker
Alcohol consumption,1362.12,749,Drinks occasionally,Non drinker
Alcohol consumption,1361.12,4447,Non-drinker alcohol,Non drinker
Alcohol consumption,1361.00,12949,Teetotaller,Non drinker
Alcohol consumption,1361.11,12970,Non drinker alcohol,Non drinker
Alcohol consumption,136M.00,12979,Current non drinker,Non drinker
