ReadTerm,MedCode,ReadCode,read_code,OPCS49_Code,OPCS_descr
[SO]Anterior chamber of eye NEC,95125,7N15z00,7N15z,Z18.9,Anterior chamber of eye NEC
[SO]Anterior communicating artery,22592,7N43200,7N432,Z35.3,Anterior communicating artery
[SO]Anterior cruciate ligament,35032,7NC5B00,7NC5B,Z87.2,Ligament of joint
[SO]Anterior facet of subtalar joint,112984,7NAH900,7NAH9,Z85.3,Talocalcaneal joint
[SO]Anterior horn of lateral meniscus,96172,7NC5H00,7NC5H,Z87.8,Specified part of musculoskeletal system NEC
[SO]Anterior horn of medial meniscus,94240,7NC5E00,7NC5E,Z87.8,Specified part of musculoskeletal system NEC
[SO]Anterior inferior iliac spine,73124,7NA7800,7NA78,Z75.3,Wing of ilium
[SO]Anterior interosseus nerve,23682,7N08500,7N085,Z09.6,Anterior interosseous nerve
[SO]Anterior sacro-iliac ligament,112481,7NC5100,7NC51,Z87.2,Ligament of joint
[SO]Anterior spinal artery,105068,7N44B00,7N44B,Z40.7,Artery NEC
[SO]Anterior subtalar articular facet of calcaneum,60582,7NABG00,7NABG,Z79.8,Specified bone of tarsus NEC
[SO]Anterior superior iliac spine,52876,7NA7900,7NA79,Z75.3,Wing of ilium
[SO]Anterior tibial artery,58963,7N46C00,7NB80,Z97.1,Anterior tibial artery
[SO]Anterior tibial artery,58963,7N46C00,7N46C,Z38.8,Specified terminal branch of aorta NEC
[SO]Anterior tibial artery,90877,7NB8000,7NB80,Z97.1,Anterior tibial artery
[SO]Anterior tibial artery,90877,7NB8000,7N46C,Z38.8,Specified terminal branch of aorta NEC
[SO]Anterior tibio-fibular ligament,70546,7NC6300,7NC63,Z87.2,Ligament of joint
[SO]Anterior triangle,73947,7NB2J00,7NB2J,Z92.3,Neck NEC
[SO]Anus,7669,7N32100,7N321,Z29.2,Anus
[SO]Aorta,6905,7N42.00,7N42.,Z34,Aorta
[SO]Aorta NEC,64698,7N42z00,7N42z,Z34.9,Aorta NEC
[SO]Aortic arch,43440,7N42100,7N421,Z34.2,Aortic arch
[SO]Aortic body,41300,7N48400,7N484,Z40.5,Aortic body
[SO]Aortic valve,8796,7N40100,7N401,Z32.2,Aortic valve
[SO]Appendix,10657,7N31000,7N310,Z28.1,Appendix
[SO]Areola,8377,7N12600,7N126,Z15.6,Nipple
[SO]Arm NEC,59838,7NB0z00,7NB0z,Z89.9,Arm NEC
[SO]Arm region,10693,7NB0.00,7NB0.,Z89,Arm region
[SO]Artery branch of thoracic aorta,94293,7N44.11,7N44.,Z36,Branch of thoracic aorta
[SO]Artery NEC,21339,7N48600,7N486,Z40.7,Artery NEC
[SO]Artery of Adamkiewicz,114792,7N44D00,7N44D,Z40.7,Artery NEC
[SO]Artery of circle of Willis,63279,7N43600,7N436,Z35.7,Artery of circle of Willis
[SO]Ascending aorta,9480,7N42000,7N420,Z34.1,Ascending aorta
[SO]Ascending colon,26429,7N31200,7N312,Z28.3,Ascending colon
[SO]Atlanto-axial joint,30420,7N94100,7N941,Z67.2,Atlantoaxial joint
[SO]Atlanto-occipital joint,33893,7N94000,7N940,Z67.1,Atlanto-occipital joint
[SO]Atlas,93942,7N93000,7N930,Z66.1,Atlas
[SO]Atrium of heart,46342,7N41500,7N415,Z33.6,Atrium of heart
[SO]Attic of mastoid,4738,7N17211,7N172,Z20.3,Mastoid
[SO]Axillary artery,43601,7N44200,7N442,Z36.3,Axillary artery
[SO]Axillary lymph node,7051,7N89200,7N892,Z61.3,Axillary lymph node
[SO]Axillary nerve,44326,7N08000,7N080,Z09.1,Circumflex nerve
[SO]Axillary region,53009,7NB2N00,7NB2N,Z89.8,Specified arm region NEC
[SO]Axillary tail of breast,22013,7N12400,7N124,Z15.5,Axillary tail of breast
[SO]Axillary vein,31639,7N49100,7N491,Z91.5,Axillary vein
[SO]Axillary vein,31639,7N49100,7NB44,Z91.5,Axillary vein
[SO]Axillary vein,101880,7NB4400,7N491,Z91.5,Axillary vein
[SO]Axillary vein,101880,7NB4400,7NB44,Z91.5,Axillary vein
[SO]Axis,54787,7N93100,7N931,Z66.2,Axis bone
[SO]Back muscle,20418,7N88300,7N883,Z60.4,Muscle of back
[SO]Back of head,107135,7NB2800,7NB28,Z92.1,Head NEC
[SO]Back region NEC,1766,7NB2400,7NB24,Z92.5,Back NEC
[SO]Bartholin duct,17169,7N60111,7N601,Z44.2,Bartholin gland
[SO]Bartholin gland,11082,7N60100,7N601,Z44.2,Bartholin gland
[SO]Base of distal phalanx of finger,35170,7NA5V00,7NA5V,Z73.4,Phalanx of finger
[SO]Base of distal phalanx of thumb,94738,7NA5a00,7NA5a,Z73.3,Phalanx of thumb
[SO]Base of fifth metatarsal,53064,7NACQ00,7NACQ,Z80.2,Metatarsal NEC
[SO]Base of first metacarpal,59033,7NA5500,7NA55,Z73.1,First metacarpal
[SO]Base of first metatarsal,67989,7NAC400,7NAC4,Z80.1,First metatarsal
[SO]Base of fourth metatarsal,64807,7NACK00,7NACK,Z80.2,Metatarsal NEC
[SO]Base of middle phalanx of finger,19204,7NA5Q00,7NA5Q,Z73.4,Phalanx of finger
[SO]Base of other metacarpal,64785,7NA5900,7NA59,Z73.2,Metacarpal NEC
[SO]Base of proximal phalanx of finger,52733,7NA5E00,7NA5E,Z73.4,Phalanx of finger
[SO]Base of proximal phalanx of thumb,48262,7NA5K00,7NA5K,Z73.3,Phalanx of thumb
[SO]Base of second metatarsal,59112,7NAC900,7NAC9,Z80.2,Metatarsal NEC
[SO]Base of skull,106162,7N95100,7N951,O33.1,Skull base
[SO]Base of third metatarsal,47905,7NACE00,7NACE,Z80.2,Metatarsal NEC
[SO]Basilar artery,102519,7N4B000,7N4B0,O28.1,Basilar artery
[SO]Basilic vein,38947,7N49500,7N495,Z39.8,Specified vein NEC
[SO]Biceps brachii,22245,7N82300,7N823,Z54.4,Biceps brachii
[SO]Biceps femoris,29772,7N85500,7N855,Z57.6,Biceps femoris
[SO]Bifurcate ligament,101297,7NC6900,7NC69,Z87.2,Ligament of joint
[SO]Bifurcation of aorta,51007,7N42611,7N426,Z34.7,Abdominal aorta NEC
[SO]Bilateral,18582,7NB3000,7NB30,Z94.1,Bilateral operation
[SO]Bile duct NEC,29943,7N33300,7N333,Z30.4,Bile duct NEC
[SO]Biliary tract,7632,7N33.00,7N33.,Z30,Biliary tract
[SO]Biliary tract NEC,41978,7N33z00,7N33z,Z30.9,Biliary tract NEC
[SO]Bladder NEC,21265,7N51000,7N510,Z42.1,Bladder NEC
[SO]Blade of scapula,16149,7NA0700,7NA07,Z68.5,Scapula NEC
[SO]Body of sacrum,32238,7NA7000,7NA70,Z75.1,Body of sacrum
[SO]Body of talus,65305,7NAB500,7NAB5,Z79.1,Talus
[SO]Body region,113751,7NBD.00,7NBD.,O16,Body region
[SO]Bone NEC,20723,7NAK000,7NAK0,Z87.1,Bone NEC
[SO]Bone of arm or wrist NEC,55587,7NA4z00,7NA4z,Z72.9,Bone of arm or wrist NEC
[SO]Bone of cranium,43977,7N90.00,7N90.,Z63,Bone of cranium
[SO]Bone of cranium NEC,93160,7N90z00,7N90z,Z63.9,Bone of cranium NEC
[SO]Bone of face NEC,90285,7N91z00,7N91z,Z64.9,Bone of face NEC
[SO]Bone of foot NEC,14795,7NACz00,7NACz,Z80.9,Bone of foot NEC
[SO]Bone of hand NEC,73291,7NA5z00,7NA5z,Z73.9,Bone of hand NEC
[SO]Bone of lower leg NEC,106480,7NAAz00,7NAAz,Z78.9,Bone of lower leg NEC
[SO]Bone of pelvis,16801,7NA7.00,7NA7.,Z75,Bone of pelvis
[SO]Bone of pelvis NEC,70734,7NA7z00,7NA7z,Z75.9,Bone of pelvis NEC
[SO]Bone of shoulder girdle,15844,7NA0.00,7NA0.,Z68,Bone of shoulder girdle
[SO]Bone of shoulder girdle NEC,72253,7NA0z00,7NA0z,Z68.9,Bone of shoulder girdle NEC
[SO]Bone of skull NEC,108505,7N95z00,7N95z,O33.9,Bone of skull NEC
[SO]Bone of tarsus,61055,7NAB.00,7NAB.,Z79,Bone of tarsus
[SO]Bone of tarsus NEC,45207,7NABz00,7NABz,Z79.9,Bone of tarsus NEC
[SO]Bowel NEC,53758,7N32z00,7N32z,Z29.9,Bowel NEC
[SO]Brachial artery,24336,7N44300,7N443,Z36.4,Brachial artery
[SO]Brachial muscle NEC,49634,7N82311,7N823,Z54.4,Biceps brachii
[SO]Brachial plexus,17042,7N07.00,7N07.,Z08,Brachial plexus
[SO]Brachial plexus - lateral cord,101783,7N07100,7N071,Z08.2,Lateral cord of brachial plexus
[SO]Brachial plexus - medial cord,71875,7N07000,7N070,Z08.1,Medial cord of brachial plexus
[SO]Brachial plexus - posterior cord,108496,7N07200,7N072,Z08.3,Posterior cord of brachial plexus
[SO]Brachial plexus NEC,59807,7N07z00,7N07z,Z08.9,Brachial plexus NEC
[SO]Brachial vein,101777,7NB4200,7NB42,Z91.3,Brachial vein
[SO]Brachial vein,101777,7NB4200,7N492,Z91.3,Brachial vein
[SO]Brachial vein,42962,7N49200,7NB42,Z91.3,Brachial vein
[SO]Brachial vein,42962,7N49200,7N492,Z91.3,Brachial vein
[SO]Brachiocephalic artery,87368,7N44K00,7N44K,Z36.7,Brachiocephalic artery
[SO]Brachiocephalic vein,22169,7N47500,7N475,Z91.2,Brachiocephalic vein
[SO]Branch of external carotid artery,98204,7NBC.00,7NBC.,O12,Branch of external carotid artery
[SO]Branch of thoracic aorta,57768,7N44.00,7N44.,Z36,Branch of thoracic aorta
[SO]Branch of thoracic aorta NEC,114434,7N44z00,7N44z,Z36.9,Branch of thoracic aorta NEC
[SO]Breast,6371,7N12.00,7N12.,Z15,Breast
[SO]Breast NEC,52107,7N12z00,7N12z,Z15.9,Breast NEC
[SO]Broad ligament of uterus,54947,7N62300,7N623,Z46.4,Broad ligament of uterus
[SO]Bronchial artery,91947,7NB6100,7NB61,Z95.2,Bronchial artery
[SO]Bronchus,21201,7N22400,7N224,Z24.5,Bronchus
[SO]Bursa anserina,103008,7ND9300,7ND93,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of ankle,53326,7NDB.00,7NDB.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of arm,53887,7ND2.00,7ND2.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of elbow,16422,7ND3.00,7ND3.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of foot,38370,7NDC.00,7NDC.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of forearm,112585,7ND4.00,7ND4.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of hand,43333,7ND6.00,7ND6.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of hip,33764,7ND7.00,7ND7.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of knee,17674,7ND9.00,7ND9.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of leg,53796,7NDA.00,7NDA.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of neck,93033,7ND0.00,7ND0.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of shoulder,62770,7ND1.00,7ND1.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of thigh,57357,7ND8.00,7ND8.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursa of wrist,61671,7ND5.00,7ND5.,Z87.8,Specified part of musculoskeletal system NEC
[SO]Bursae,6818,7ND..00,7ND..,Z87.8,Specified part of musculoskeletal system NEC
[SO]Buttock NEC,8448,7NB1000,7NB10,Z90.1,Buttock NEC
[SO]C2/3 facet joint,54237,7N94700,7N947,Z67.3,Cervical intervertebral joint
[SO]C3 vertebra,31682,7N93500,7N935,Z66.3,Cervical vertebra
[SO]C3/4 facet joint,73025,7N94800,7N948,Z67.3,Cervical intervertebral joint
[SO]C4 vertebra,57820,7N93600,7N936,Z66.3,Cervical vertebra
[SO]C4/5 facet joint,62259,7N94900,7N949,Z67.3,Cervical intervertebral joint
[SO]C5 vertebra,18244,7N93700,7N937,Z66.3,Cervical vertebra
[SO]C5/6 facet joint,61815,7N94A00,7N94A,Z67.3,Cervical intervertebral joint
[SO]C6 vertebra,31810,7N93800,7N938,Z66.3,Cervical vertebra
[SO]C6/7 facet joint,94603,7N94B00,7N94B,Z67.3,Cervical intervertebral joint
[SO]C7 vertebra,50857,7N93900,7N939,Z66.3,Cervical vertebra
[SO]C7/T1 facet joint,67093,7N94C00,7N94C,Z67.3,Cervical intervertebral joint
[SO]Caecum,21053,7N31100,7N311,Z28.2,Caecum
[SO]Calcaneocuboid joint,29986,7NAH400,7NAH4,Z85.5,Calcaneocuboid joint
[SO]Calcaneum,10986,7NABA00,7NABA,Z79.8,Specified bone of tarsus NEC
[SO]Canthus,12184,7N13200,7N132,Z16.3,Canthus
[SO]Capitate,30040,7NA4700,7NA47,Z72.4,Carpal bone NEC
[SO]Capsule of joint,46414,7NAK200,7NAK2,Z87.3,Capsule of joint
[SO]Carina,32289,7N22300,7N223,Z24.4,Carina
[SO]Carotid artery,8659,7N44000,7N440,Z36.1,Carotid artery NEC
[SO]Carotid artery NEC,52241,7N44L00,7N44L,Z36.1,Carotid artery NEC
[SO]Carotid body,20510,7N48200,7N482,Z40.3,Carotid body
[SO]Carpal bone, unspecified,28315,7NA4300,7NA43,Z72.4,Carpal bone NEC
[SO]Carpo-metacarpal joint of index finger,70268,7NAE900,7NAE9,Z82.4,Carpometacarpal joint of finger
[SO]Carpo-metacarpal joint of little finger,95056,7NAEC00,7NAEC,Z82.4,Carpometacarpal joint of finger
[SO]Carpo-metacarpal joint of middle finger,71962,7NAEA00,7NAEA,Z82.4,Carpometacarpal joint of finger
[SO]Carpo-metacarpal joint of ring finger,95047,7NAEB00,7NAEB,Z82.4,Carpometacarpal joint of finger
[SO]Carpometacarpal joint of finger, unspecified,24098,7NAE300,7NAE3,Z82.4,Carpometacarpal joint of finger
[SO]Carpometacarpal joint of thumb,8427,7NAE200,7NAE2,Z82.3,Carpometacarpal joint of thumb
[SO]Central Fovea,32118,7N16400,7N164,Z19.3,Retina
[SO]Cephalic vein,10163,7N49300,7NB40,Z91.1,Cephalic vein
[SO]Cephalic vein,10163,7N49300,7N493,Z91.1,Cephalic vein
[SO]Cephalic vein,99028,7NB4000,7NB40,Z91.1,Cephalic vein
[SO]Cephalic vein,99028,7NB4000,7N493,Z91.1,Cephalic vein
[SO]Cerebral artery,23086,7N43.00,7N43.,Z35,Cerebral artery
[SO]Cerebral artery NEC,68397,7N43z00,7N43z,Z35.9,Cerebral artery NEC
[SO]Cerebrospinal fluid,28561,7N0B100,7N0B1,Z06.5,Cerebrospinal fluid
[SO]Cervical intervertebral joint,36704,7N94200,7N942,Z67.3,Cervical intervertebral joint
[SO]Cervical lymph node,4593,7N89000,7N890,Z61.1,Cervical lymph node
[SO]Cervical plexus,28395,7N0C.00,7N0C.,Z12.8,Specified nerve NEC
[SO]Cervical spinal cord,21198,7N05000,7N050,Z06.1,Cervical spinal cord
[SO]Cervical sympathetic ganglion,64942,7N0B400,7N0B4,Z12.7,Sympathetic nerve
[SO]Cervical vertebra, unspecified,29877,7N93200,7N932,Z66.3,Cervical vertebra
[SO]Cervix uteri,1939,7N61000,7N610,Z45.1,Cervix uteri
[SO]Cheek,53841,7NB2C00,7NB2C,Z92.2,Face NEC
[SO]Chest region NEC,2892,7NB2300,7NB23,Z92.4,Chest NEC
[SO]Chest wall,2704,7N80.00,7N80.,Z52,Chest wall
[SO]Chest wall NEC,38793,7N80z00,7N80z,Z52.9,Chest wall NEC
[SO]Chin,73607,7NB2E00,7NB2E,Z92.1,Head NEC
[SO]Choroid,10862,7N16300,7N163,Z19.4,Choroid
[SO]Cingulate gyrus,112732,7N00600,7N006,Z01.7,Cingulate gyrus
[SO]Circumflex nerve,26126,7N08011,7N080,Z09.1,Circumflex nerve
[SO]Clavicle, unspecified,9382,7NA0000,7NA00,Z68.1,Clavicle
[SO]Clitoris,18251,7N60000,7N600,Z44.1,Clitoris
[SO]Coccyx,9774,7NA7600,7NA76,Z75.7,Coccyx
[SO]Cochlea,6775,7N18300,7N183,Z21.4,Cochlea
[SO]Coeliac artery,59537,7N45100,7N451,Z37.2,Coeliac artery
[SO]Collateral ligament of distal IP joint of ring finger,107154,7NC4Y00,7NC4Y,Z87.2,Ligament of joint
[SO]Collateral ligament of fifth metatarso-phalangeal joint,114270,7NC6K00,7NC6K,Z87.2,Ligament of joint
[SO]Collateral ligament of first metatarso-phalangeal joint,114446,7NC6F00,7NC6F,Z87.2,Ligament of joint
[SO]Collateral ligament of inter-phalangeal joint of thumb,71066,7NC4M00,7NC4M,Z87.2,Ligament of joint
[SO]Collateral ligament of second metatarso-phalangeal joint,113668,7NC6G00,7NC6G,Z87.2,Ligament of joint
[SO]Collateral ligament of third metatarso-phalangeal joint,111111,7NC6H00,7NC6H,Z87.2,Ligament of joint
[SO]Colon NEC,2903,7N31600,7N316,Z28.7,Colon NEC
[SO]Colorectal,32966,7N32400,7N324,Z29.4,Colorectal
[SO]Combination of eye muscles,53607,7N14600,7N146,Z17.7,Combinations of muscles of eye
[SO]Common bile duct,8372,7N33200,7N332,Z30.3,Common bile duct
[SO]Common carotid artery,91515,7NB6500,7NB65,Z95.6,Common carotid artery
[SO]Common carotid artery,91515,7NB6500,7N445,Z95.6,Common carotid artery
[SO]Common carotid artery,36579,7N44500,7NB65,Z95.6,Common carotid artery
[SO]Common carotid artery,36579,7N44500,7N445,Z95.6,Common carotid artery
[SO]Common femoral artery,34828,7N46200,7N462,Z38.3,Common femoral artery
[SO]Common femoral vein,89015,7NB9000,7NB90,Z98.1,Common femoral vein
[SO]Common iliac artery,18562,7N46000,7N460,Z38.1,Common iliac artery
[SO]Common iliac vein,40256,7N4A000,7N4A0,Z39.8,Specified vein NEC
[SO]Common peroneal nerve,21991,7N0A600,7N0A6,Z12.6,Peripheral nerve of leg NEC
[SO]Condyle of tibia,11605,7NA9000,7NA90,Z77.1,Condyle of tibia
[SO]Conjunctiva,6615,7N15000,7N150,Z18.1,Conjunctiva
[SO]Connective tissue,10383,7N8A300,7N8A3,Z62.4,Connective tissue
[SO]Coraco-acromial ligament,94253,7NC3300,7NC33,Z87.2,Ligament of joint
[SO]Coraco-clavicular ligament,73194,7NC3200,7NC32,Z87.2,Ligament of joint
[SO]Coracoid process of scapula,29905,7NA0200,7NA02,Z68.3,Coracoid process of scapula
[SO]Cornea,10569,7N15100,7N151,Z18.2,Cornea
[SO]Coronary artery,17054,7N41300,7N413,Z33.4,Coronary artery
[SO]Coronoid process of ulna,31788,7NA3200,7NA32,Z71.3,Coronoid process of ulna
[SO]Costo-transverse ligament,102729,7NC7200,7NC72,Z87.2,Ligament of joint
[SO]Cranial nerve NEC,38969,7N03z00,7N03z,Z04.9,Cranial nerve NEC
[SO]Crown of head,99703,7NB2700,7NB27,Z92.1,Head NEC
[SO]Cuboid,21200,7NAB300,7NAB3,Z79.4,Cuboid bone
[SO]Cuneiform bone,21969,7NAB400,7NAB4,Z79.5,Cuneiform bone
[SO]Cutaneous nerve of upper limb,67654,7N08B00,7N08B,Z09.8,Specified peripheral nerve of arm NEC
[SO]Deep circumflex iliac artery,101230,7N46800,7N468,Z38.2,Internal iliac artery
[SO]Deep femoral artery,58578,7N46300,7N463,Z38.4,Deep femoral artery
[SO]Deep femoral vein,94877,7NB9100,7NB91,Z98.2,Deep femoral vein
[SO]Deep peroneal nerve,42124,7N0AA00,7N0AA,Z12.6,Peripheral nerve of leg NEC
[SO]Delivered uterus,39739,7N61111,7N611,Z45.2,Gravid uterus
[SO]Deltoid,11033,7N82000,7N820,Z54.1,Deltoid
[SO]Deltoid ligament of ankle,94238,7NC6100,7NC61,Z87.2,Ligament of joint
[SO]Descending colon,17493,7N31400,7N314,Z28.5,Descending colon
[SO]Descending thoracic aorta,50436,7N42200,7N422,Z34.3,Descending thoracic aorta
[SO]Diaphragm,11520,7N81000,7N810,Z53.1,Diaphragm
[SO]Digital artery,54538,7N44H00,7N44H,Z40.7,Artery NEC
[SO]Digital artery of toe,93933,7N46J00,7N46J,Z38.8,Specified terminal branch of aorta NEC
[SO]Digital nerve in hand to first web space,48606,7N08S00,7N08S,Z09.7,Digital nerve of finger
[SO]Digital nerve in hand to fourth web space,65191,7N08V00,7N08V,Z09.7,Digital nerve of finger
[SO]Digital nerve in hand to second web space,96525,7N08T00,7N08T,Z09.7,Digital nerve of finger
[SO]Digital nerve in hand to third web space,60926,7N08U00,7N08U,Z09.7,Digital nerve of finger
[SO]Digital nerve in hand to thumb,46945,7N08W00,7N08W,Z09.7,Digital nerve of finger
[SO]Digital nerve in hand unspecified,20362,7N08R00,7N08R,Z09.7,Digital nerve of finger
[SO]Digital nerve in index,25069,7N08X00,7N08X,Z09.7,Digital nerve of finger
[SO]Digital nerve in little,34420,7N08a00,7N08a,Z09.7,Digital nerve of finger
[SO]Digital nerve in middle,50426,7N08Y00,7N08Y,Z09.7,Digital nerve of finger
[SO]Digital nerve in ring,48608,7N08Z00,7N08Z,Z09.7,Digital nerve of finger
[SO]Digital nerve in thumb,40836,7N08b00,7N08b,Z09.7,Digital nerve of finger
[SO]Digital nerve of finger,21361,7N08600,7N086,Z09.7,Digital nerve of finger
[SO]Digital nerve of toe,19709,7N0A400,7N0A4,Z12.5,Digital nerve of toe
[SO]Digital vein,57104,7N49700,7N497,Z39.8,Specified vein NEC
[SO]Digital vein of finger,92791,7N49800,7N498,Z39.8,Specified vein NEC
[SO]Digital vein of toe,114307,7N4AC00,7N4AC,Z39.8,Specified vein NEC
[SO]Distal end of radius NEC,8277,7NA2400,7NA24,Z70.5,Lower end of radius NEC
[SO]Distal interphalangeal joint of fifth toe,65368,7NAJQ00,7NAJQ,Z86.6,Interphalangeal joint of toe
[SO]Distal interphalangeal joint of finger, unspecified,34863,7NAF400,7NAF4,Z83.5,Distal interphalangeal joint of finger
[SO]Distal interphalangeal joint of fourth toe,20775,7NAJP00,7NAJP,Z86.6,Interphalangeal joint of toe
[SO]Distal interphalangeal joint of second toe,32704,7NAJM00,7NAJM,Z86.6,Interphalangeal joint of toe
[SO]Distal interphalangeal joint of third toe,44766,7NAJN00,7NAJN,Z86.6,Interphalangeal joint of toe
[SO]Distal phalanx of fifth toe,68192,7NACj00,7NACj,Z80.4,Phalanx of toe NEC
[SO]Distal phalanx of finger,55589,7NA5U00,7NA5U,Z73.4,Phalanx of finger
[SO]Distal phalanx of fourth toe,64259,7NACf00,7NACf,Z80.4,Phalanx of toe NEC
[SO]Distal phalanx of great toe,55764,7NACW00,7NACW,Z80.3,Phalanx of great toe
[SO]Distal phalanx of second toe,97377,7NACZ00,7NACZ,Z80.4,Phalanx of toe NEC
[SO]Distal phalanx of third toe,99662,7NACc00,7NACc,Z80.4,Phalanx of toe NEC
