Disease,OPCS4code,OPCS4codeDescr
Chronic sinusitis,E16.9,Unspecified other operations on frontal sinus
Chronic sinusitis,E25.3,Diagnostic endoscopic examination of nasopharynx NEC
Chronic sinusitis,Y76.1,Functional endoscopic sinus surgery
Chronic sinusitis,Y76.2,Functional endoscopic nasal surgery
Chronic ulcer of the skin,S57.4,Dressing of skin NEC
Chronic viral hepatitis,X86.3,Hepatitis B treatment drugs Band 1
Collapsed vertebra,V44.4,Vertebroplasty of fracture of spine
Collapsed vertebra,V44.5,Balloon kyphoplasty of fracture of spine
Congenital cardiac disease,K04,Repair of tetralogy of Fallot
Congenital cardiac disease,K04.4,Revision of repair of tetralogy of Fallot
Congenital cardiac disease,K04.3,Repair of tetralogy of Fallot using transannular patch
Congenital cardiac disease,K04.5,Repair of tetralogy of Fallot with absent pulmonary valve
Congenital cardiac disease,K04.8,Other specified repair of tetralogy of Fallot
Congenital cardiac disease,K04.9,Unspecified repair of tetralogy of Fallot
Congenital cardiac disease,K05,Atrial inversion operations for transposition of great arteries
Congenital cardiac disease,K06.9,Unspecified other repair of transposition of great arteries
Congenital cardiac disease,K09.4,Repair of persistent ostium primum
Congenital cardiac disease,K11.6,Repair of multiple interventricular septal defects
Congenital cardiac disease,K06,Other repair of transposition of great arteries
Congenital cardiac disease,K08.2,Repair of Fallot-type double outlet right ventricle
Congenital cardiac disease,K17.5,Biventricular repair of hypoplastic left heart syndrome
Congenital cardiac disease,L01.1,Correction of persistent truncus arteriosus
Congenital cardiac disease,L01.2,Application of band to persistent truncus arteriosus
Congenital cardiac disease,L01.3,Repair of anomalous pulmonary artery origin from ascending aorta
Congenital cardiac disease,L23.7,Repair of interrupted aortic arch
Congenital cardiac disease,Z34.2,Aortic arch
Coronary heart disease,K40,Saphenous vein graft replacement of coronary artery
Coronary heart disease,K40.1,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,K40.2,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,K40.3,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,K40.9,Unspecified saphenous vein graft replacement of coronary artery
Coronary heart disease,K41,Other autograft replacement of coronary artery
Coronary heart disease,K41.1,Autograft replacement of one coronary artery NEC
Coronary heart disease,K41.2,Autograft replacement of two coronary arteries NEC
Coronary heart disease,K41.3,Autograft replacement of three coronary arteries NEC
Coronary heart disease,K41.4,Autograft replacement of four or more coronary arteries NEC
Coronary heart disease,K41.9,Unspecified other autograft replacement of coronary artery
Coronary heart disease,K42,Allograft replacement of coronary artery
Coronary heart disease,K42.1,Allograft replacement of one coronary artery
Coronary heart disease,K42.2,Allograft replacement of two coronary arteries
Coronary heart disease,K42.3,Allograft replacement of three coronary arteries
Coronary heart disease,K42.4,Allograft replacement of four or more coronary arteries
Coronary heart disease,K42.8,Other specified allograft replacement of coronary artery
Coronary heart disease,K42.9,Unspecified allograft replacement of coronary artery
Coronary heart disease,K43,Prosthetic replacement of coronary artery
Coronary heart disease,K43.1,Prosthetic replacement of one coronary artery
Coronary heart disease,K43.2,Prosthetic replacement of two coronary arteries
Coronary heart disease,K43.3,Prosthetic replacement of three coronary arteries
Coronary heart disease,K43.4,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,K43.9,Unspecified prosthetic replacement of coronary artery
Coronary heart disease,K45.9,Unspecified connection of thoracic artery to coronary artery
Coronary heart disease,K45.1,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,K45.4,Anastomosis of mammary artery to coronary artery NEC
Coronary heart disease,K46.3,Implantation of mammary artery into heart NEC
Coronary heart disease,K45.5,Anastomosis of thoracic artery to coronary artery NEC
Coronary heart disease,K48.3,Open angioplasty of coronary artery
Coronary heart disease,K49,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,K49.9,Unspecified transluminal balloon angioplasty of coronary artery
Coronary heart disease,K50.1,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,K50.8,Other specified other therapeutic transluminal operations on coronary artery
Coronary heart disease,K75.3,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
Coronary heart disease,K75.1,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery
Coronary heart disease,K50.4,Percutaneous transluminal atherectomy of coronary artery
Coronary heart disease,K47.1,Endarterectomy of coronary artery
Coronary heart disease,K44,Other replacement of coronary artery
Coronary heart disease,K44.1,Replacement of coronary arteries using multiple methods
Coronary heart disease,K44.8,Other specified other replacement of coronary artery
Coronary heart disease,K44.9,Unspecified other replacement of coronary artery
Coronary heart disease,K46,Other bypass of coronary artery
Coronary heart disease,K46.8,Other specified other bypass of coronary artery
Coronary heart disease,K46.9,Unspecified other bypass of coronary artery
Coronary heart disease,L71.1,Percutaneous transluminal angioplasty of artery
Coronary heart disease,L71.8,Other specified therapeutic transluminal operations on other artery
Coronary heart disease,L71.7,Percutaneous transluminal atherectomy
Coronary heart disease,L66.5,Percutaneous transluminal balloon angioplasty of artery
Coronary heart disease,L97.2,Peroperative angioplasty
Diabetic eye disease,C82.1,Cauterisation of lesion of retina
Diverticular disease of intestine,H12.1,Excision of diverticulum of colon
End stage renal disease,M01,Transplantation of kidney
End stage renal disease,M01.2,Allotransplantation of kidney from live donor
End stage renal disease,M01.3,Allotransplantation of kidney from cadaver NEC
End stage renal disease,M01.4,Allotransplantation of kidney from cadaver heart beating
End stage renal disease,M01.8,Other specified transplantation of kidney
End stage renal disease,M01.9,Unspecified transplantation of kidney
End stage renal disease,M02.6,Excision of rejected transplanted kidney
End stage renal disease,M02.7,Excision of transplanted kidney NEC
End stage renal disease,M08.4,Exploration of transplanted kidney
End stage renal disease,M17,Interventions associated with transplantation of kidney
End stage renal disease,M17.4,Post-transplantation of kidney examination - recipient
End stage renal disease,M17.9,Unspecified interventions associated with transplantation of kidney
End stage renal disease,X40,Compensation for renal failure
End stage renal disease,X40.1,Renal dialysis
End stage renal disease,X40.2,Peritoneal dialysis NEC
End stage renal disease,X40.3,Haemodialysis NEC
End stage renal disease,X40.5,Automated peritoneal dialysis
End stage renal disease,X40.6,Continuous ambulatory peritoneal dialysis
End stage renal disease,X41.1,Insertion of ambulatory peritoneal dialysis catheter
End stage renal disease,X41.2,Removal of ambulatory peritoneal dialysis catheter
End stage renal disease,X42.1,Insertion of temporary peritoneal dialysis catheter
Enthesopathies & synovial disorders,T64.8,Other specified transposition of tendon
Enthesopathies & synovial disorders,T74.4,Injection of therapeutic substance into tendon NEC
Enthesopathies & synovial disorders,T79.1,Plastic repair of rotator cuff of shoulder NEC
Enthesopathies & synovial disorders,T79.3,Revisional repair of rotator cuff NEC
Enthesopathies & synovial disorders,T79.4,Plastic repair of multiple tears of rotator cuff of shoulder
Erectile dysfunction,L97.1,Revascularisation for impotence
Erectile dysfunction,L93.3,Ligation of vein NEC
Erectile dysfunction,N32.6,Operations on penis for erectile dysfunction NEC
Female genital prolapse,P22,Repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P22.2,Anterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P22.3,Posterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P22.9,Unspecified repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P23,Other repair of prolapse of vagina
Female genital prolapse,P23.1,Anterior and posterior colporrhaphy NEC
Female genital prolapse,P23.2,Anterior colporrhaphy NEC
Female genital prolapse,P23.3,Posterior colporrhaphy NEC
Female genital prolapse,P23.4,Repair of enterocele NEC
Female genital prolapse,P23.9,Unspecified other repair of prolapse of vagina
Female genital prolapse,P23.6,Anterior colporrhaphy with mesh reinforcement
Female genital prolapse,P23.5,Paravaginal repair
Female genital prolapse,P23.7,Posterior colporrhaphy with mesh reinforcement
Female genital prolapse,P23.8,Other specified other repair of prolapse of vagina
Female genital prolapse,P24,Repair of vault of vagina
Female genital prolapse,P24.3,Repair of vault of vagina using abdominal approach NEC
Female genital prolapse,P24.4,Repair of vault of vagina using vaginal approach NEC
Female genital prolapse,P24.2,Sacrocolpopexy
Female genital prolapse,P24.9,Unspecified repair of vault of vagina
Female genital prolapse,P24.7,Sacrospinous fixation of vagina
Female genital prolapse,P24.5,Repair of vault of vagina with mesh using abdominal approach
Female genital prolapse,P24.6,Repair of vault of vagina with mesh using vaginal approach
Female genital prolapse,P24.8,Other specified repair of vault of vagina
Female genital prolapse,P25.5,Suture of vagina
Female genital prolapse,P26,Introduction of supporting pessary into vagina
Female genital prolapse,P26.1,Insertion of Hodge pessary into vagina
Female genital prolapse,P26.2,Insertion of ring pessary into vagina
Female genital prolapse,P26.3,Removal of supporting pessary from vagina
Female genital prolapse,P26.8,Other specified introduction of supporting pessary into vagina
Female genital prolapse,P26.4,Renewal of supporting pessary in vagina
Female genital prolapse,P26.9,Unspecified introduction of supporting pessary into vagina
Fracture of hip,W26.2,Manipulation of fracture of bone NEC
Fracture of hip,U50.2,Delivery of rehabilitation for hip fracture
Gastro-oesophageal reflux disease,G24,Antireflux operations
Gastro-oesophageal reflux disease,G24.1,Antireflux fundoplication using thoracic approach
Gastro-oesophageal reflux disease,G24.2,Antireflux operation using thoracic approach NEC
Gastro-oesophageal reflux disease,G24.3,Antireflux fundoplication using abdominal approach
Gastro-oesophageal reflux disease,G24.4,Antireflux gastropexy
Gastro-oesophageal reflux disease,G24.8,Other specified antireflux operations
Gastro-oesophageal reflux disease,G24.9,Unspecified antireflux operations
Gastro-oesophageal reflux disease,G25,Revision of antireflux operations
Gastro-oesophageal reflux disease,G25.8,Other specified revision of antireflux operations
Gastro-oesophageal reflux disease,G25.9,Unspecified revision of antireflux operations
Glaucoma,C65,Operations following glaucoma surgery
Glaucoma,C65.1,Needling of bleb
Glaucoma,C65.2,Injection of bleb
Glaucoma,C65.3,Revision of bleb NEC
Glaucoma,C65.4,Removal of releasable suture following glaucoma surgery
Glaucoma,C65.5,Laser suture lysis following glaucoma surgery
Glaucoma,C65.8,Other specified operations following glaucoma surgery
Glaucoma,C65.9,Unspecified operations following glaucoma surgery
Glaucoma,C82.1,Cauterisation of lesion of retina
Hearing loss,D05.5,Placement of hearing implant in external ear
Hearing loss,D05.6,Attention to hearing implant in external ear
Hearing loss,D05.7,Removal of hearing implant from external ear
Hearing loss,D20.4,Placement of hearing implant in middle ear
Hearing loss,D20.5,Attention to hearing implant in middle ear
Hearing loss,D20.6,Removal of hearing implant in middle ear
Hearing loss,D13,Attachment of bone anchored hearing prosthesis
Hearing loss,D13.4,Attention to fixtures for bone anchored hearing prosthesis
Hearing loss,D13.9,Unspecified attachment of bone anchored hearing prosthesis
Heart valve disease non-rheumatic,K25,Plastic repair of mitral valve
Heart valve disease non-rheumatic,K25.1,Allograft replacement of mitral valve
Heart valve disease non-rheumatic,K25.2,Xenograft replacement of mitral valve
Heart valve disease non-rheumatic,K25.3,Prosthetic replacement of mitral valve
Heart valve disease non-rheumatic,K25.4,Replacement of mitral valve NEC
Heart valve disease non-rheumatic,K25.5,Mitral valve repair NEC
Heart valve disease non-rheumatic,K25.8,Other specified plastic repair of mitral valve
Heart valve disease non-rheumatic,K25.9,Unspecified plastic repair of mitral valve
Heart valve disease non-rheumatic,K26,Plastic repair of aortic valve
Heart valve disease non-rheumatic,K26.1,Allograft replacement of aortic valve
Heart valve disease non-rheumatic,K26.4,Replacement of aortic valve NEC
Heart valve disease non-rheumatic,K26.5,Aortic valve repair NEC
Heart valve disease non-rheumatic,K26.8,Other specified plastic repair of aortic valve
Heart valve disease non-rheumatic,K26.9,Unspecified plastic repair of aortic valve
Heart valve disease non-rheumatic,K27,Plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K27.1,Allograft replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.2,Xenograft replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.3,Prosthetic replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.4,Replacement of tricuspid valve NEC
Heart valve disease non-rheumatic,K27.6,Tricuspid valve repair NEC
Heart valve disease non-rheumatic,K27.8,Other specified plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K27.9,Unspecified plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K30.1,Revision of plastic repair of mitral valve
Heart valve disease non-rheumatic,K30.3,Revision of plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K31.1,Open mitral valvotomy
Heart valve disease non-rheumatic,K31.2,Open aortic valvotomy
Heart valve disease non-rheumatic,K31.3,Open tricuspid valvotomy
Heart valve disease non-rheumatic,K32.1,Closed mitral valvotomy
Heart valve disease non-rheumatic,K32.2,Closed aortic valvotomy
Heart valve disease non-rheumatic,K32.3,Closed tricuspid valvotomy
Heart valve disease non-rheumatic,K34.1,Annuloplasty of mitral valve
Heart valve disease non-rheumatic,K34.2,Annuloplasty of tricuspid valve
Heart valve disease non-rheumatic,K34.5,Closure of tricuspid valve
Heart valve disease non-rheumatic,K35.1,Percutaneous transluminal mitral valvotomy
Heart valve disease non-rheumatic,K35.2,Percutaneous transluminal aortic valvotomy
Heart valve disease non-rheumatic,K35.3,Percutaneous transluminal tricuspid valvotomy
Heart valve disease non-rheumatic,K36.1,Tricuspid valvectomy
HIV,X86.6,Antiretroviral drugs Band 1
Hyperparathyroidism,B14,Excision of parathyroid gland
Hyperparathyroidism,B14.4,Partial parathyroidectomy NEC
Hyperparathyroidism,B14.9,Unspecified excision of parathyroid gland
Hyperparathyroidism,B14.8,Other specified excision of parathyroid gland
Hyperparathyroidism,B16.9,Unspecified other operations on parathyroid gland
Hypertension,X82,High cost hypertension drugs
Hyposplenism,J69,Total excision of spleen
Hyposplenism,J69.2,Total splenectomy
Hyposplenism,J69.9,Unspecified total excision of spleen
Hyposplenism,J69.8,Other specified total excision of spleen
Hyposplenism,J70,Other excision of spleen
Hyposplenism,J70.8,Other specified other excision of spleen
Hyposplenism,J70.9,Unspecified other excision of spleen
Intervertebral disc disorders,V29,Primary excision of cervical intervertebral disc
Intervertebral disc disorders,V29.9,Unspecified primary excision of cervical intervertebral disc
Intervertebral disc disorders,V29.6,Primary microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V30.4,Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,V30.6,Revisional microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V30.9,Unspecified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V31.1,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,V31.3,Primary costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,V24.9,Unspecified decompression operations on thoracic spine
Intervertebral disc disorders,V52.4,Biopsy of lesion of intervertebral disc NEC
Intervertebral disc disorders,V31,Primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V31.9,Unspecified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V24.3,Revisional decompression of thoracic spinal cord NEC
Intervertebral disc disorders,V32,Revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V32.9,Unspecified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V36,Prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V36.1,Prosthetic replacement of cervical intervertebral disc
Intervertebral disc disorders,V36.2,Prosthetic replacement of thoracic intervertebral disc
Intervertebral disc disorders,V36.3,Prosthetic replacement of lumbar intervertebral disc
Intervertebral disc disorders,V36.9,Unspecified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,V33,Primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.1,Primary laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.2,Primary fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.3,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V33.4,Primary anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V33.7,Primary microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V33.8,Other specified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V33.9,Unspecified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,V34,Revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.3,Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,V34.4,Revisional anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,V34.7,Revisional microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,V34.8,Other specified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V34.9,Unspecified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,V52,Other operations on intervertebral disc
Intervertebral disc disorders,V52.1,Enzyme destruction of intervertebral disc
Intervertebral disc disorders,V52.2,Destruction of intervertebral disc NEC
Intervertebral disc disorders,V35,Excision of unspecified intervertebral disc
Intervertebral disc disorders,V35.1,Primary excision of intervertebral disc NEC
Intervertebral disc disorders,V35.2,Revisional excision of intervertebral disc NEC
Intervertebral disc disorders,V35.8,Other specified excision of unspecified intervertebral disc
Intervertebral disc disorders,V35.9,Unspecified excision of unspecified intervertebral disc
Intervertebral disc disorders,V52.8,Other specified other operations on intervertebral disc
Intervertebral disc disorders,V52.9,Unspecified other operations on intervertebral disc
Intracerebral haemorrhage,A05.4,Evacuation of intracerebral haematoma NEC
Liver failure and transplant,J01,Transplantation of liver
Liver failure and transplant,J15.2,Percutaneous transluminal insertion of stent into hepatic artery NEC
Liver failure and transplant,J01.2,Heterotopic transplantation of liver
Liver failure and transplant,J01.3,Replacement of previous liver transplant
Liver failure and transplant,J01.5,Orthotopic transplantation of whole liver
Liver failure and transplant,J01.8,Other specified transplantation of liver
Liver failure and transplant,J01.9,Unspecified transplantation of liver
Liver failure and transplant,J07.3,Exploration of liver
Liver failure and transplant,X43,Compensation for liver failure
Liver failure and transplant,X43.9,Unspecified compensation for liver failure
Motor neuron disease,X85.2,Amyotrophic lateral sclerosis drugs Band 1
Myelodysplastic syndromes,X90.7,Myelodysplastic syndrome drugs Band 1
Nasal polyp,E03.2,Excision of lesion of septum of nose
Nasal polyp,E08.1,Polypectomy of internal nose
"Non-malignant tumour of brain, central nervous system and pituitary",B01.8,Other specified excision of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B01.9,Unspecified excision of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B02.1,Cryotherapy to pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B02.2,Implantation of radioactive substance into pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04,Other operations on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.1,Excision of lesion of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.3,Decompression of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.4,Exploration of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.8,Other specified other operations on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B04.9,Unspecified other operations on pituitary gland
Obesity,G28.4,Sleeve gastrectomy and duodenal switch
Obesity,G28.5,Sleeve gastrectomy NEC
Obesity,G30.2,Partitioning of stomach NEC
Obesity,G30.3,Partitioning of stomach using band
Obesity,G30.4,Partitioning of stomach using staples
Obesity,G30.5,Maintenance of gastric band
Obesity,G31.2,Bypass of stomach by anastomosis of stomach to duodenum
Obesity,G33.1,Bypass of stomach by anastomosis of stomach to jejunum NEC
Obesity,G38.7,Removal of gastric band
Obesity,G61,Bypass of jejunum
Obesity,G61.1,Bypass of jejunum by anastomosis of jejunum to jejunum
Obesity,G61.2,Bypass of jejunum by anastomosis of jejunum to ileum
Obesity,G61.3,Bypass of jejunum by anastomosis of jejunum to colon
Obesity,G61.8,Other specified bypass of jejunum
Obesity,G61.9,Unspecified bypass of jejunum
Obesity,G71.6,Duodenal switch
Osteoarthritis (excl spine),U50.5,Delivery of rehabilitation for osteoarthritis
Other psychoactive substance misuse,U52.1,Delivery of rehabilitation for drug addiction
Peptic ulcer disease,G29.2,Open excision of lesion of stomach NEC
Peptic ulcer disease,G29.8,Other specified open extirpation of lesion of stomach
Peptic ulcer disease,G35,Operations on ulcer of stomach
Peptic ulcer disease,G35.1,Closure of perforated ulcer of stomach
Peptic ulcer disease,G35.2,Closure of ulcer of stomach NEC
Peptic ulcer disease,G35.8,Other specified operations on ulcer of stomach
Peptic ulcer disease,G35.9,Unspecified operations on ulcer of stomach
Peptic ulcer disease,G52,Operations on ulcer of duodenum
Peptic ulcer disease,G52.1,Closure of perforated ulcer of duodenum
Peptic ulcer disease,G52.2,Suture of ulcer of duodenum NEC
Peptic ulcer disease,G52.3,Oversew of blood vessel of duodenal ulcer
Peptic ulcer disease,G52.8,Other specified operations on ulcer of duodenum
Peptic ulcer disease,G52.9,Unspecified operations on ulcer of duodenum
Peripheral arterial disease,L16.3,Bypass of aorta by anastomosis of axillary artery to bilateral femoral arteries
Peripheral arterial disease,L16.2,Bypass of aorta by anastomosis of axillary artery to femoral artery NEC
Peripheral arterial disease,L21,Other bypass of segment of aorta
Peripheral arterial disease,L21.8,Other specified other bypass of segment of aorta
Peripheral arterial disease,L21.6,Bypass of bifurcation of aorta by anastomosis of aorta to iliac artery NEC
Peripheral arterial disease,L21.9,Unspecified other bypass of segment of aorta
Peripheral arterial disease,L25.3,Open embolectomy of bifurcation of aorta
Peripheral arterial disease,L51,Other bypass of iliac artery
Peripheral arterial disease,L50.8,Other specified other emergency bypass of iliac artery
Peripheral arterial disease,L51.8,Other specified other bypass of iliac artery
Peripheral arterial disease,L59.1,Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC
Peripheral arterial disease,L51.6,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
Peripheral arterial disease,L51.9,Unspecified other bypass of iliac artery
Peripheral arterial disease,L52,Reconstruction of iliac artery
Peripheral arterial disease,L52.1,Endarterectomy of iliac artery and patch repair of iliac artery
Peripheral arterial disease,L52.2,Endarterectomy of iliac artery NEC
Peripheral arterial disease,L52.8,Other specified reconstruction of iliac artery
Peripheral arterial disease,L52.9,Unspecified reconstruction of iliac artery
Peripheral arterial disease,L53,Other open operations on iliac artery
Peripheral arterial disease,L53.1,Repair of iliac artery NEC
Peripheral arterial disease,L53.2,Open embolectomy of iliac artery
Peripheral arterial disease,L54.1,Percutaneous transluminal angioplasty of iliac artery
Peripheral arterial disease,L54.2,Percutaneous transluminal embolectomy of iliac artery
Peripheral arterial disease,L54.4,Percutaneous transluminal insertion of stent into iliac artery
Peripheral arterial disease,L54.8,Other specified transluminal operations on iliac artery
Peripheral arterial disease,L54.9,Unspecified transluminal operations on iliac artery
Peripheral arterial disease,L58,Other emergency bypass of femoral artery
Peripheral arterial disease,L59,Other bypass of femoral artery
Peripheral arterial disease,L59.9,Unspecified other bypass of femoral artery
Peripheral arterial disease,L60,Reconstruction of femoral artery
Peripheral arterial disease,L60.2,Endarterectomy of femoral artery NEC
Peripheral arterial disease,L60.4,Profundoplasty of femoral artery NEC
Peripheral arterial disease,L60.8,Other specified reconstruction of femoral artery
Peripheral arterial disease,L60.9,Unspecified reconstruction of femoral artery
Peripheral arterial disease,L62,Other open operations on femoral artery
Peripheral arterial disease,L62.1,Repair of femoral artery NEC
Peripheral arterial disease,L62.2,Open embolectomy of femoral artery
Peripheral arterial disease,L63.1,Percutaneous transluminal angioplasty of femoral artery
Peripheral arterial disease,L63.2,Percutaneous transluminal embolectomy of femoral artery
Peripheral arterial disease,L63.3,Percutaneous transluminal embolisation of femoral artery
Peripheral arterial disease,L65,Revision of reconstruction of artery
Peripheral arterial disease,L65.1,Revision of reconstruction involving aorta
Peripheral arterial disease,L65.2,Revision of reconstruction involving iliac artery
Peripheral arterial disease,L65.3,Revision of reconstruction involving femoral artery
