Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Asthma,J67.8,Hypersensitivity pneumonitis due to other organic dusts,Cross-mapped,NA
Asthma,J69.8,Pneumonitis due to other solids and liquids,Cross-mapped,NA
Atrial fibrillation and flutter,I48,Atrial fibrillation and flutter,Kuan,NA
Atrial fibrillation and flutter,I48.0,Paroxysmal atrial fibrillation,Cross-mapped,NA
Atrial fibrillation and flutter,I48.1,Persistent atrial fibrillation,Cross-mapped,NA
Atrial fibrillation and flutter,I48.9,"Atrial fibrillation and atrial flutter, unspecified",Cross-mapped,NA
Autism and Asperger's syndrome,F84.0,Childhood autism,Overlap,NA
Autism and Asperger's syndrome,F84.1,Atypical autism,Overlap,NA
Autism and Asperger's syndrome,F84.5,Asperger's syndrome,Overlap,NA
Autism and Asperger's syndrome,F84.9,"Pervasive developmental disorder, unspecified",Cross-mapped,NA
Autoimmune liver disease,K73.2,"Chronic active hepatitis, not elsewhere classified",Cross-mapped,NA
Autoimmune liver disease,K74.3,Primary biliary cirrhosis,Overlap,NA
Autoimmune liver disease,K75.4,Autoimmune hepatitis,Overlap,NA
Autoimmune liver disease,K83.0,Cholangitis,Cross-mapped,NA
Barrett's oesophagus,K22.1,Ulcer of oesophagus,Cross-mapped,NA
Barrett's oesophagus,K22.7,Barrett's oesophagus,Overlap,NA
Bipolar affective disorder and mania,F25.0,"Schizoaffective disorder, manic type",Cross-mapped,NA
Bipolar affective disorder and mania,F30,Manic episode,Overlap,NA
Bipolar affective disorder and mania,F30.0,Hypomania,Cross-mapped,NA
Bipolar affective disorder and mania,F30.1,Mania without psychotic symptoms,Cross-mapped,NA
Bipolar affective disorder and mania,F30.2,Mania with psychotic symptoms,Cross-mapped,NA
Bipolar affective disorder and mania,F30.8,Other manic episodes,Cross-mapped,NA
Bipolar affective disorder and mania,F30.9,"Manic episode, unspecified",Cross-mapped,NA
Bipolar affective disorder and mania,F31,Bipolar affective disorder,Overlap,NA
Bipolar affective disorder and mania,F31.0,"Bipolar affective disorder, current episode hypomanic",Cross-mapped,NA
Bipolar affective disorder and mania,F31.6,"Bipolar affective disorder, current episode mixed",Cross-mapped,NA
Bipolar affective disorder and mania,F31.7,"Bipolar affective disorder, currently in remission",Cross-mapped,NA
Bipolar affective disorder and mania,F31.8,Other bipolar affective disorders,Cross-mapped,NA
Bipolar affective disorder and mania,F31.9,"Bipolar affective disorder, unspecified",Cross-mapped,NA
Bipolar affective disorder and mania,F53.1,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",Cross-mapped,NA
Bipolar affective disorder and mania,Z86.5,Personal history of other mental and behavioural disorders,Cross-mapped,NA
Blistering autoimmune skin conditions,H13.3,Ocular pemphigoid,New code list,NA
Blistering autoimmune skin conditions,L10,Pemphigus,New code list,NA
Blistering autoimmune skin conditions,L10.0,Pemphigus vulgaris,Overlap,NA
Blistering autoimmune skin conditions,L10.1,Pemphigus vegetans,Overlap,NA
Blistering autoimmune skin conditions,L10.2,Pemphigus foliaceus,Overlap,NA
Blistering autoimmune skin conditions,L10.3,Brazilian pemphigus [fogo selvagem],Overlap,NA
Blistering autoimmune skin conditions,L10.4,Pemphigus erythematosus,New code list,NA
Blistering autoimmune skin conditions,L10.5,Drug-induced pemphigus,Overlap,NA
Blistering autoimmune skin conditions,L10.8,Other pemphigus,Overlap,NA
Blistering autoimmune skin conditions,L10.9,"Pemphigus, unspecified",Overlap,NA
Blistering autoimmune skin conditions,L12,Pemphigoid,New code list,NA
Blistering autoimmune skin conditions,L12.0,Bullous pemphigoid,Overlap,NA
Blistering autoimmune skin conditions,L12.1,Cicatricial pemphigoid,Overlap,NA
Blistering autoimmune skin conditions,L12.2,Chronic bullous disease of childhood,Cross-mapped,NA
Blistering autoimmune skin conditions,L12.8,Other pemphigoid,Overlap,NA
Blistering autoimmune skin conditions,L12.9,"Pemphigoid, unspecified",Overlap,NA
Blistering autoimmune skin conditions,L13.0,Dermatitis herpetiformis,Overlap,NA
Bronchiectasis,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Cross-mapped,NA
Bronchiectasis,J47,Bronchiectasis,Overlap,NA
Bronchiectasis,Q33.4,Congenital bronchiectasis,Overlap,NA
Cardiac conduction defects,I44.1,"Atrioventricular block, second degree",Overlap,NA
Cardiac conduction defects,I44.2,"Atrioventricular block, complete",Overlap,NA
Cardiac conduction defects,I44.6,Other and unspecified fascicular block,Cross-mapped,NA
Cardiac conduction defects,I44.7,Left bundle-branch block,Overlap,NA
Cardiac conduction defects,I45.1,Other and unspecified right bundle-branch block,Cross-mapped,NA
Cardiac conduction defects,I45.3,Trifascicular block,Overlap,NA
Cardiac conduction defects,I45.4,Nonspecific intraventricular block,Cross-mapped,NA
Cardiac conduction defects,I45.5,Other specified heart block,Cross-mapped,NA
Cardiomyopathy other,I25.5,Ischaemic cardiomyopathy,Overlap,NA
Cardiomyopathy other,I42.0,Dilated cardiomyopathy,Overlap,NA
Cardiomyopathy other,I42.3,Endomyocardial (eosinophilic) disease,Overlap,NA
Cardiomyopathy other,I42.5,Other restrictive cardiomyopathy,Overlap,NA
Cardiomyopathy other,I42.6,Alcoholic cardiomyopathy,Overlap,NA
Cardiomyopathy other,I42.7,Cardiomyopathy due to drugs and other external agents,Overlap,NA
Cardiomyopathy other,I42.8,Other cardiomyopathies,Overlap,NA
Cardiomyopathy other,I42.9,Cardiomyopathy,Overlap,NA
Cardiomyopathy other,I43,Cardiomyopathy in diseases classified elsewhere,Overlap,NA
Cerebral Palsy,G24.2,Idiopathic nonfamilial dystonia,Cross-mapped,NA
Cerebral Palsy,G80,Cerebral palsy,Overlap,NA
Cerebral Palsy,G80.0,Spastic quadriplegic cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.1,Spastic diplegic cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.2,Spastic hemiplegic cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.3,Dyskinetic cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.4,Ataxic cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.8,Other cerebral palsy,Cross-mapped,NA
Cerebral Palsy,G80.9,"Cerebral palsy, unspecified",Cross-mapped,NA
Cerebral Palsy,I64,"Stroke, not specified as haemorrhage or infarction",Cross-mapped,NA
Cerebrovascular disease,G45,Transient cerebral ischaemic attacks and related syndromes,Cross-mapped,NA
Cerebrovascular disease,G45.0,Vertebro-basilar artery syndrome,Overlap,NA
Cerebrovascular disease,G45.1,Carotid artery syndrome (hemispheric),Overlap,NA
Cerebrovascular disease,G45.2,Multiple and bilateral precerebral artery syndromes,Kuan,NA
Cerebrovascular disease,G45.3,Amaurosis fugax,Overlap,NA
Cerebrovascular disease,G45.4,Transient global amnesia,Overlap,NA
Cerebrovascular disease,G45.8,Other transient cerebral ischaemic attacks and related syndromes,Overlap,NA
Cerebrovascular disease,G45.9,Transient cerebral ischaemic attack,Overlap,NA
Cerebrovascular disease,G46.0,Middle cerebral artery syndrome,Kuan,NA
Cerebrovascular disease,G46.1,Anterior cerebral artery syndrome,Kuan,NA
Cerebrovascular disease,G46.2,Posterior cerebral artery syndrome,Kuan,NA
Cerebrovascular disease,G46.3,Brain stem stroke syndrome,Kuan,NA
Cerebrovascular disease,G46.4,Cerebellar stroke syndrome,Kuan,NA
Cerebrovascular disease,G46.5,Pure motor lacunar syndrome,Kuan,NA
Cerebrovascular disease,G46.6,Pure sensory lacunar syndrome,Kuan,NA
Cerebrovascular disease,G46.7,Other lacunar syndromes,Kuan,NA
Cerebrovascular disease,G46.8,Other vascular syndromes of brain in cerebrovascular diseases,Kuan,NA
Cerebrovascular disease,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,Overlap,NA
Cerebrovascular disease,I63.1,Cerebral infarction due to embolism of precerebral arteries,Overlap,NA
Cerebrovascular disease,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Kuan,NA
Cerebrovascular disease,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,Overlap,NA
Cerebrovascular disease,I63.4,Cerebral infarction due to embolism of cerebral arteries,Overlap,NA
Cerebrovascular disease,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Kuan,NA
Cerebrovascular disease,I63.8,Other cerebral infarction,Overlap,NA
Cerebrovascular disease,I63.9,Cerebral infarction,Overlap,NA
Cerebrovascular disease,I64,Stroke,Overlap,NA
Cerebrovascular disease,I65,Occlusion and stenosis of precerebral arteries,Overlap,NA
Cerebrovascular disease,I66,Occlusion and stenosis of cerebral arteries,Kuan,NA
Cerebrovascular disease,I66.9,Occlusion and stenosis of unspecified cerebral artery,Cross-mapped,NA
Cerebrovascular disease,I69.3,Sequelae of cerebral infarction,Overlap,NA
Cerebrovascular disease,I69.4,Sequelae of stroke,Kuan,NA
Cerebrovascular disease,O99.4,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium",Cross-mapped,NA
Cerebrovascular disease,Z86.6,Personal history of diseases of the nervous system and sense organs,Cross-mapped,NA
Cerebrovascular disease,Z86.7,Personal history of diseases of the circulatory system,Cross-mapped,NA
Cervical carcinoma in situ,D06,Carcinoma in situ of cervix uteri,Kuan,NA
Cervical carcinoma in situ,D06.0,Carcinoma in situ: Endocervix,Cross-mapped,NA
Cervical carcinoma in situ,D06.1,Carcinoma in situ: Exocervix,Cross-mapped,NA
Cervical carcinoma in situ,D06.7,Carcinoma in situ: Other parts of cervix,Cross-mapped,NA
Cervical carcinoma in situ,D06.9,"Carcinoma in situ: Cervix, unspecified",Cross-mapped,NA
Cervical carcinoma in situ,N87,Dysplasia of cervix uteri,Overlap,NA
Cervical carcinoma in situ,N87.0,Mild cervical dysplasia,Cross-mapped,NA
Cervical carcinoma in situ,N87.1,Moderate cervical dysplasia,Cross-mapped,NA
Cervical carcinoma in situ,N87.2,"Severe cervical dysplasia, not elsewhere classified",Cross-mapped,NA
Cervical carcinoma in situ,N87.9,"Dysplasia of cervix uteri, unspecified",Cross-mapped,NA
Cervical carcinoma in situ,R87.6,Abnormal findings in specimens from female genital organs abnormal cytological findings,Cross-mapped,NA
Cervical carcinoma in situ,Z87.4,Personal history of diseases of the genitourinary system,Cross-mapped,NA
Cholelithiasis,K56.3,Gallstone ileus,Cross-mapped,NA
Cholelithiasis,K80,Cholelithiasis,Overlap,NA
Cholelithiasis,K80.0,Calculus of gallbladder with acute cholecystitis,Cross-mapped,NA
Cholelithiasis,K80.1,Calculus of gallbladder with other cholecystitis,Cross-mapped,NA
Cholelithiasis,K80.2,Calculus of gallbladder without cholecystitis,Cross-mapped,NA
Cholelithiasis,K80.3,Calculus of bile duct with cholangitis,Cross-mapped,NA
Cholelithiasis,K80.4,Calculus of bile duct with cholecystitis,Cross-mapped,NA
Cholelithiasis,K80.5,Calculus of bile duct without cholangitis or cholecystitis,Cross-mapped,NA
Cholelithiasis,K80.8,Other cholelithiasis,Cross-mapped,NA
Cholelithiasis,K85.1,Biliary acute pancreatitis,Cross-mapped,NA
Chronic fatigue,F48.0,Neurasthenia,Overlap,NA
Chronic fatigue,F48.8,Other specified neurotic disorders,Cross-mapped,NA
Chronic fatigue,G04.8,"Other encephalitis, myelitis and encephalomyelitis",Cross-mapped,NA
Chronic fatigue,G93.3,Postviral fatigue syndrome,Overlap,NA
Chronic fatigue,M79.7,Fibromyalgia,Kuan,NA
Chronic fatigue,R53,Malaise and fatigue,Cross-mapped,NA
Chronic Kidney Disease,I12,Hypertensive renal disease,New code list,NA
Chronic Kidney Disease,I12.0,Hypertensive renal disease with renal failure,New code list,NA
Chronic Kidney Disease,I12.9,Hypertensive renal disease without renal failure,New code list,NA
Chronic Kidney Disease,I13,Hypertensive heart and renal disease,New code list,NA
Chronic Kidney Disease,I13.0,Hypertensive heart and renal disease with (congestive) heart failure,New code list,NA
Chronic Kidney Disease,I13.1,Hypertensive heart and renal disease with renal failure,New code list,NA
Chronic Kidney Disease,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,New code list,NA
Chronic Kidney Disease,I13.9,"Hypertensive heart and renal disease, unspecified",New code list,NA
Chronic Kidney Disease,N01,Rapidly progressive nephritic syndrome,New code list,NA
Chronic Kidney Disease,N03,Chronic nephritic syndrome,New code list,NA
Chronic Kidney Disease,N04,Nephrotic syndrome,New code list,NA
Chronic Kidney Disease,N05,Unspecified nephritic syndrome,New code list,NA
Chronic Kidney Disease,N07,"Hereditary nephropathy, not elsewhere classified",New code list,NA
Chronic Kidney Disease,N08,Glomerular disorders in diseases classified elsewhere,New code list,NA
Chronic Kidney Disease,N11,Chronic tubulo-interstitial nephritis,New code list,NA
Chronic Kidney Disease,N18,Chronic kidney disease,New code list,NA
Chronic Kidney Disease,N18.1,"Chronic kidney disease, stage 1",Overlap,NA
Chronic Kidney Disease,N18.2,"Chronic kidney disease, stage 2",Overlap,NA
Chronic Kidney Disease,N18.3,"Chronic kidney disease, stage 3",Overlap,NA
Chronic Kidney Disease,N18.4,"Chronic kidney disease, stage 4",Overlap,NA
Chronic Kidney Disease,N18.5,"Chronic kidney disease, stage 5",Overlap,NA
Chronic Kidney Disease,N18.9,"Chronic kidney disease, unspecified",New code list,NA
Chronic Kidney Disease,O10.2,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium",New code list,NA
Chronic Kidney Disease,O10.3,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",New code list,NA
Chronic Kidney Disease,Q60,Renal agenesis and other reduction defects of kidney,New code list,NA
Chronic Kidney Disease,Q61,Cystic kidney disease,New code list,NA
Chronic Kidney Disease,Q61.1,"Polycystic kidney, autosomal recessive",New code list,NA
Chronic Kidney Disease,Q61.2,"Polycystic kidney, autosomal dominant",New code list,NA
Chronic Kidney Disease,Q61.3,"Polycystic kidney, unspecified",New code list,NA
Chronic Kidney Disease,Q61.4,Renal dysplasia,New code list,NA
Chronic Kidney Disease,Q61.5,Medullary cystic kidney,New code list,NA
Chronic Kidney Disease,Q61.8,Other cystic kidney diseases,New code list,NA
Chronic Kidney Disease,Q61.9,"Cystic kidney disease, unspecified",New code list,NA
Chronic Kidney Disease,Z90.5,Acquired absence of kidney,New code list,NA
Chronic Kidney Disease,Z94.0,Kidney transplant status,New code list,NA
Chronic sinusitis,J01,Acute sinusitis,Cross-mapped,NA
Chronic sinusitis,J30,Vasomotor and allergic rhinitis,Cross-mapped,NA
Chronic sinusitis,J32,Chronic sinusitis,Overlap,NA
Chronic sinusitis,J32.0,Chronic maxillary sinusitis,Cross-mapped,NA
Chronic sinusitis,J32.1,Chronic frontal sinusitis,Cross-mapped,NA
Chronic sinusitis,J32.2,Chronic ethmoidal sinusitis,Cross-mapped,NA
Chronic sinusitis,J32.3,Chronic sphenoidal sinusitis,Cross-mapped,NA
Chronic sinusitis,J32.4,Chronic pansinusitis,Cross-mapped,NA
Chronic sinusitis,J32.8,Other chronic sinusitis,Cross-mapped,NA
Chronic sinusitis,J32.9,"Chronic sinusitis, unspecified",Cross-mapped,NA
Chronic sinusitis,J33.8,Other polyp of sinus,Cross-mapped,NA
Chronic ulcer of the skin,A06.7,Cutaneous amoebiasis,Cross-mapped,NA
Chronic ulcer of the skin,A66.4,Gummata and ulcers of yaws,New code list,NA
Chronic ulcer of the skin,I83.0,Varicose veins of lower extremities with ulcer,Overlap,NA
Chronic ulcer of the skin,I83.2,Varicose veins of lower extremities with both ulcer and inflammation,Overlap,NA
Chronic ulcer of the skin,I83.9,Varicose veins of lower extremities without ulcer or inflammation,New code list,NA
Chronic ulcer of the skin,L08.9,"Local infection of skin and subcutaneous tissue, unspecified",Cross-mapped,NA
Chronic ulcer of the skin,L89,Decubitus ulcer and pressure area,Overlap,NA
Chronic ulcer of the skin,L89.0,Stage I decubitus ulcer and pressure area,Overlap,NA
Chronic ulcer of the skin,L89.1,Stage II decubitus ulcer,Overlap,NA
Chronic ulcer of the skin,L89.2,Stage III decubitus ulcer,Overlap,NA
Chronic ulcer of the skin,L89.3,Stage IV decubitus ulcer,Overlap,NA
Chronic ulcer of the skin,L89.9,"Decubitus ulcer and pressure area, unspecified",Overlap,NA
Chronic ulcer of the skin,L97,"Ulcer of lower limb, not elsewhere classified",Overlap,NA
Chronic ulcer of the skin,L98.4,"Chronic ulcer of skin, not elsewhere classified",Overlap,NA
Chronic viral hepatitis,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,Cross-mapped,NA
Chronic viral hepatitis,B17.0,Acute delta-(super)infection of hepatitis B carrier,Cross-mapped,NA
Chronic viral hepatitis,B18,Chronic viral hepatitis,Kuan,NA
Chronic viral hepatitis,B18.0,Chronic viral hepatitis B with delta-agent,Cross-mapped,NA
Chronic viral hepatitis,B18.1,Chronic viral hepatitis B without delta-agent,Cross-mapped,NA
Chronic viral hepatitis,B18.2,Chronic viral hepatitis C,Cross-mapped,NA
Chronic viral hepatitis,B18.8,Other chronic viral hepatitis,Cross-mapped,NA
Chronic viral hepatitis,B18.9,"Chronic viral hepatitis, unspecified",Cross-mapped,NA
Coeliac disease,K90.0,Coeliac disease,Overlap,NA
Collapsed vertebra,M48.5,Collapsed vertebra,Overlap,NA
Collapsed vertebra,M49.5,Collapsed vertebra in diseases classified elsewhere,Kuan,NA
Collapsed vertebra,M80.9,Unspecified osteoporosis with pathological fracture,Cross-mapped,NA
Collapsed vertebra,M84.4,"Pathological fracture, not elsewhere classified",Cross-mapped,NA
Collapsed vertebra,S12.9,"Fracture of neck, part unspecified",Cross-mapped,NA
Collapsed vertebra,S22.0,Fracture of thoracic vertebra,Cross-mapped,NA
Collapsed vertebra,S32.0,Fracture of lumbar vertebra,Cross-mapped,NA
Collapsed vertebra,S32.1,Fracture of sacrum,Cross-mapped,NA
Congenital cardiac disease,I27.8,Other specified pulmonary heart diseases,Cross-mapped,NA
