"Condition","ICD10code","ICD10codeDescr"
"Early pregnancy loss","O04.5 "," Complete or unspecified, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O04.6 "," Complete or unspecified, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O04.7 "," Complete or unspecified, complicated by embolism"
"Early pregnancy loss","O04.8 "," Complete or unspecified, with other and unspecified complications"
"Early pregnancy loss","O04.9 "," Complete or unspecified, without complication"
"Early pregnancy loss","O05 "," Other abortion "
"Early pregnancy loss","O05.0 "," Incomplete, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O05.1 "," Incomplete, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O05.2 "," Incomplete, complicated by embolism"
"Early pregnancy loss","O05.3 "," Incomplete, with other and unspecified complications"
"Early pregnancy loss","O05.4 "," Incomplete, without complication"
"Early pregnancy loss","O05.5 "," Complete or unspecified, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O05.6 "," Complete or unspecified, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O05.7 "," Complete or unspecified, complicated by embolism"
"Early pregnancy loss","O05.8 "," Complete or unspecified, with other and unspecified complications"
"Early pregnancy loss","O05.9 "," Complete or unspecified, without complication"
"Early pregnancy loss","O06 "," Unspecified abortion "
"Early pregnancy loss","O06.0 "," Incomplete, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O06.1 "," Incomplete, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O06.2 "," Incomplete, complicated by embolism"
"Early pregnancy loss","O06.3 "," Incomplete, with other and unspecified complications"
"Early pregnancy loss","O06.4 "," Incomplete, without complication"
"Early pregnancy loss","O06.5 "," Complete or unspecified, complicated by genital tract and pelvic infection"
"Early pregnancy loss","O06.6 "," Complete or unspecified, complicated by delayed or excessive haemorrhage"
"Early pregnancy loss","O06.7 "," Complete or unspecified, complicated by embolism"
"Early pregnancy loss","O06.8 "," Complete or unspecified, with other and unspecified complications"
"Early pregnancy loss","O06.9 "," Complete or unspecified, without complication"
"Early pregnancy loss","O07 "," Failed attempted abortion "
"Early pregnancy loss","O07.0 "," Failed medical abortion, complicated by genital tract and pelvic infection "
"Early pregnancy loss","O07.1 "," Failed medical abortion, complicated by delayed or excessive haemorrhage "
"Early pregnancy loss","O07.2 "," Failed medical abortion, complicated by embolism "
"Early pregnancy loss","O07.3 "," Failed medical abortion, with other and unspecified complications "
"Early pregnancy loss","O07.4 "," Failed medical abortion, without complication "
"Early pregnancy loss","O07.5 "," Other and unspecified failed attempted abortion, complicated by genital tract and pelvic infection "
"Early pregnancy loss","O07.6 "," Other and unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage "
"Early pregnancy loss","O07.7 "," Other and unspecified failed attempted abortion, complicated by embolism "
"Early pregnancy loss","O07.8 "," Other and unspecified failed attempted abortion, with other and unspecified complications "
"Early pregnancy loss","O07.9 "," Other and unspecified failed attempted abortion, without complication "
"Early pregnancy loss","O08 "," Complications following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.0 "," Genital tract and pelvic infection following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.1 "," Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.2 "," Embolism following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.3 "," Shock following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.4 "," Renal failure following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.5 "," Metabolic disorders following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.6 "," Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.7 "," Other venous complications following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.8 "," Other complications following abortion and ectopic and molar pregnancy "
"Early pregnancy loss","O08.9 "," Complication following abortion and ectopic and molar pregnancy, unspecified "
"Menopause","E28.3","Primary ovarian failure"
"Menopause","N95","Menopausal and other perimenopausal disorders"
"Menopause","N92.4","Excessive bleeding in the premenopausal period"
"Menopause","N95.1","Menopausal and female climacteric states"
"Menopause","N95.3","States associated with artificial menopause"
"Menopause","N95.8","Other specified menopausal and perimenopausal disorders"
"Menopause","N95.9","Menopausal and perimenopausal disorder, unspecified"
"Pregnancy disorders: gestational diabetes","O24.9","Diabetes mellitus in pregnancy, unspecified"
"Pregnancy disorders: gestational diabetes","O24.4","Diabetes mellitus arising in pregnancy"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.9","Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O13","Gestational [pregnancy-induced] hypertension"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O11","Pre-eclampsia superimposed on chronic hypertension"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O14.9","Pre-eclampsia, unspecified"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O12","Gestational [pregnancy-induced] oedema and proteinuria without hypertension"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.0","Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.1","Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.2","Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.3","Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O10.4","Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O14.0","Mild to moderate pre-eclampsia"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O14.1","Severe pre-eclampsia"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O14.2","HELLP syndrome"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O15.0","Eclampsia in pregnancy"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O15.1","Eclampsia in labour"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O15.2","Eclampsia in the puerperium"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O15.9","Eclampsia, unspecified as to time period"
"Pregnancy disorders: hypertension in pregnancy eclampsia and pre-eclampsia","O16","Unspecified maternal hypertension"
"Pregnancy disorders: mental health","F53.0","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"Pregnancy disorders: mental health","F53.1","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"Pregnancy disorders: mental health","O99.3","Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium"
"Pregnancy disorders: mental health","F53.8","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"Pregnancy disorders: mental health","F53.9","Puerperal mental disorder, unspecified"
"Pregnancy disorders: others","O23.9","Other and unspecified genitourinary tract infection in pregnancy"
"Pregnancy disorders: others","O23.4","Unspecified infection of urinary tract in pregnancy"
"Pregnancy disorders: others","O23.3","Infections of other parts of urinary tract in pregnancy"
"Pregnancy disorders: others","O99.4","Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium"
