Disease,ReadCode,MedCode,ReadTerm,,,
Diabetic neurological complications,F381300,39420,Myasthenic syndrome due to diabetic amyotrophy,,,
Diabetic neurological complications,F381311,2340,Diabetic amyotrophy,,,
Diabetic neurological complications,F3y0.00,37315,Diabetic mononeuropathy,,,
Diabetic neurological complications,M271100,11663,Neuropathic diabetic ulcer - foot,,,
Diabetic neurological complications,C106.12,7795,Diabetes mellitus with neuropathy,,,
Diabetic neurological complications,C106.13,16491,Diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C108B00,24694,Insulin dependent diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C108B11,99231,Type I diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C108C00,41716,Insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C108J11,60208,Type I diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C108J12,18230,Type 1 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C109A00,72320,Non-insulin dependent diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C109A11,50813,Type II diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C109B00,45467,Non-insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109B11,47409,Type II diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109B12,109865,Type 2 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C109H11,47816,Type II diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C109H12,66965,Type 2 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C10EB00,68105,Type 1 diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10EC00,46301,Type 1 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EC11,91943,Type I diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EC12,101311,Insulin dependent diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10EJ00,54008,Type 1 diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,C10FA00,62674,Type 2 diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10FA11,95351,Type II diabetes mellitus with mononeuropathy,,,
Diabetic neurological complications,C10FB00,18425,Type 2 diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10FB11,50527,Type II diabetes mellitus with polyneuropathy,,,
Diabetic neurological complications,C10FH00,35385,Type 2 diabetes mellitus with neuropathic arthropathy,,, 
Diabetic neurological complications,C10FH11,109197,Type II diabetes mellitus with neuropathic arthropathy,,,
Diabetic neurological complications,F372.00,31790,Polyneuropathy in diabetes,,,
Diabetic neurological complications,F345000,44033,Diabetic mononeuritis multiplex,,,
Diabetic neurological complications,F35z000,17247,Diabetic mononeuritis NOS,,,
Diabetic neurological complications,F372000,48078,Acute painful diabetic neuropathy,,,
Diabetic neurological complications,F372100,35785,Chronic painful diabetic neuropathy,,,
Diabetic neurological complications,F372200,24571,Asymptomatic diabetic neuropathy,,,
Diabetic neurological complications,F372.11,5002,Diabetic polyneuropathy,,,
Diabetic neurological complications,F372.12,2342,Diabetic neuropathy,,,
Diabetic neurological complications,F3y0.00,37315,Diabetic mononeuropathy,,,
Diabetic neurological complications,M271100,11663,Neuropathic diabetic ulcer - foot,,,
