Disease,ReadCode,MedCode,ReadTerm,
Epilepsy,667R.00,13221,2 to 4 seizures a month,
Epilepsy,667S.00,19549,1 to 7 seizures a week,
Epilepsy,667T.00,18899,Daily seizures,
Epilepsy,667V.00,39160,Many seizures a day,
Epilepsy,667W.00,46603,Emergency epilepsy treatment since last appointment,
Epilepsy,667X.00,52632,No epilepsy drug side effects,
Epilepsy,667Z.00,36696,Epilepsy monitoring NOS,
Epilepsy,67AF.00,102359,Pregnancy advice for patients with epilepsy,
Epilepsy,67IJ000,100920,Pre-conception advice for patients with epilepsy,
Epilepsy,8BIF.00,9326,Epilepsy medication review,
Epilepsy,8BL3.00,11752,Patient on maximal tolerated anticonvulsant therapy,
Epilepsy,9N0r.00,47117,Seen in epilepsy clinic,
Epilepsy,9N4V.00,35217,DNA - Did not attend epilepsy clinic,
Epilepsy,9Of3.00,45757,Epilepsy monitoring verbal invite,
Epilepsy,9Of4.00,72384,Epilepsy monitoring telephone invite,
Epilepsy,9Of5.00,98442,Epilepsy monitoring call first letter,
Epilepsy,9Of6.00,98536,Epilepsy monitoring call second letter,
Epilepsy,9Of7.00,98977,Epilepsy monitoring call third letter,
Epilepsy,Eu05212,31877,[X]Schizophrenia-like psychosis in epilepsy,
Epilepsy,Eu05y11,6709,[X]Epileptic psychosis NOS,
Epilepsy,Eu06013,48462,[X]Limbic epilepsy personality,
Epilepsy,Eu80300,43679,[X]Acquired aphasia with epilepsy [Landau - Kleffner],
Epilepsy,F132100,37644,Progressive myoclonic epilepsy,
Epilepsy,F132111,63826,Unverricht - Lundborg disease,
Epilepsy,F132200,45602,Myoclonic encephalopathy,
Epilepsy,F142200,49737,Dyssynergia cerebellaris myoclonica,
Epilepsy,F25..00,573,Epilepsy,
Epilepsy,F250.00,11186,Generalised nonconvulsive epilepsy,
Epilepsy,F250000,2907,Petit mal (minor) epilepsy,
Epilepsy,F250011,1715,Epileptic absences,
Epilepsy,F250100,99548,Pykno-epilepsy,
Epilepsy,F250200,24309,Epileptic seizures - atonic,
Epilepsy,F250300,31830,Epileptic seizures - akinetic,
Epilepsy,F250400,17399,Juvenile absence epilepsy,
Epilepsy,F250500,34792,Lennox-Gastaut syndrome,
Epilepsy,F250y00,59185,Other specified generalised nonconvulsive epilepsy,
Epilepsy,F250z00,44252,Generalised nonconvulsive epilepsy NOS,
Epilepsy,F251.00,26144,Generalised convulsive epilepsy,
Epilepsy,F251000,988,Grand mal (major) epilepsy,
Epilepsy,F251011,22804,Tonic-clonic epilepsy,
Epilepsy,F251100,37782,Neonatal myoclonic epilepsy,
Epilepsy,F251111,49340,Otohara syndrome,
Epilepsy,F251200,18471,Epileptic seizures - clonic,
Epilepsy,F251300,4801,Epileptic seizures - myoclonic,
Epilepsy,F251400,5152,Epileptic seizures - tonic,
Epilepsy,F251500,8187,Tonic-clonic epilepsy,
Epilepsy,F251y00,45927,Other specified generalised convulsive epilepsy,
Epilepsy,F251z00,40806,Generalised convulsive epilepsy NOS,
Epilepsy,F252.00,9886,Petit mal status,
Epilepsy,F253.00,5117,Grand mal status,
Epilepsy,F253.11,4093,Status epilepticus,
Epilepsy,F254.00,32288,Partial epilepsy with impairment of consciousness,
Epilepsy,F254000,3175,Temporal lobe epilepsy,
Epilepsy,F254100,23634,Psychomotor epilepsy,
Epilepsy,F254200,36203,Psychosensory epilepsy,
Epilepsy,F254300,55665,Limbic system epilepsy,
Epilepsy,F254400,34079,Epileptic automatism,
Epilepsy,F254500,11394,Complex partial epileptic seizure,
Epilepsy,F254z00,31920,Partial epilepsy with impairment of consciousness NOS,
Epilepsy,F255.00,26015,Partial epilepsy without impairment of consciousness,
Epilepsy,F255000,9569,"Jacksonian, focal or motor epilepsy",
Epilepsy,F255011,5525,Focal epilepsy,
Epilepsy,F255012,65699,Motor epilepsy,
Epilepsy,F255100,48134,Sensory induced epilepsy,
Epilepsy,F255200,37592,Somatosensory epilepsy,
Epilepsy,F255300,73542,Visceral reflex epilepsy,
Epilepsy,F255311,98870,Partial epilepsy with autonomic symptoms,
Epilepsy,F255400,55739,Visual reflex epilepsy,
Epilepsy,F255500,68946,Unilateral epilepsy,
Epilepsy,F255600,40105,Simple partial epileptic seizure,
Epilepsy,F255y00,26733,Partial epilepsy without impairment of consciousness OS,
Epilepsy,F255z00,27526,Partial epilepsy without impairment of consciousness NOS,
Epilepsy,F256.00,4478,Infantile spasms,
Epilepsy,F256.11,68486,Lightning spasms,
Epilepsy,F256.12,39023,West syndrome,
Epilepsy,F256000,7945,Hypsarrhythmia,
Epilepsy,F256100,23415,Salaam attacks,
Epilepsy,F256z00,49322,Infantile spasms NOS,
Epilepsy,F257.00,71719,Kojevnikov's epilepsy,
Epilepsy,F258.00,21885,Post-ictal state,
Epilepsy,F259.00,37906,Early infant epileptic encephalopathy wth suppression bursts,
Epilepsy,F259.11,51998,Ohtahara syndrome,
Epilepsy,F25A.00,19363,Juvenile myoclonic epilepsy,
Epilepsy,F25B.00,30604,Alcohol-induced epilepsy,
Epilepsy,F25C.00,30816,Drug-induced epilepsy,
Epilepsy,F25D.00,56359,Menstrual epilepsy,
Epilepsy,F25E.00,65673,Stress-induced epilepsy,
Epilepsy,F25F.00,30635,Photosensitive epilepsy,
Epilepsy,F25G.00,108409,Severe myoclonic epilepsy in infancy,
Epilepsy,F25G.11,105679,Dravet syndrome,
Epilepsy,F25X.00,6271,"Status epilepticus, unspecified",
Epilepsy,F25y.00,38307,Other forms of epilepsy,
Epilepsy,F25y000,55260,Cursive (running) epilepsy,
Epilepsy,F25y100,53483,Gelastic epilepsy,
Epilepsy,F25y200,9887,Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset,
Epilepsy,F25y300,25330,Complex partial status epilepticus,
Epilepsy,F25y400,19170,Benign Rolandic epilepsy,
Epilepsy,F25y500,96641,Panayiotopoulos syndrome,
Epilepsy,F25yz00,9979,Other forms of epilepsy NOS,
Epilepsy,F25z.00,9747,Epilepsy NOS,
Epilepsy,F25z.11,3607,Fit (in known epileptic) NOS,
Epilepsy,Fyu5000,99731,[X]Other generalized epilepsy and epileptic syndromes,
Epilepsy,Fyu5100,69831,[X]Other epilepsy,
Epilepsy,Fyu5200,59120,[X]Other status epilepticus,
Epilepsy,Fyu5900,71801,"[X]Status epilepticus, unspecified",
Epilepsy,SC20000,4109,Traumatic epilepsy,
Epilepsy,14On.00,112421,At risk of sudden unexpected death in epilepsy,
,,,,
,,,,
,,,,
