"","Multimorbidity conditions","Combined code set","Code set created","Dataset name"
"95","Menorrhagia and polymenorrhoea","no","yes","CPRD_menorrhagia.csv"
"96","Migraine","no","yes","CPRD_migraine.csv"
"97","Motor neuron disease","no","yes","CPRD_MND.csv"
"98","Multiple myeloma and malignant plasma cell neoplasms","no","yes","CPRD_plasmacell.csv"
"99","Multiple sclerosis","yes","yes","multi_sclerosis.csv"
"100","Multiple valve dz","no","yes","CPRD_mult_valve.csv"
"101","Myasthenia gravis","no","yes","CPRD_myasthenia.csv"
"102","Myelodysplastic syndromes","no","yes","CPRD_MDS.csv"
"103","Myocardial infarction","no","yes","CPRD_myocardial_infarction.csv"
"104","Nasal polyp","no","yes","CPRD_nasal_polyp.csv"
"105","Neuromuscular dysfunction of bladder","no","yes","CPRD_neuro_bladder.csv"
"106","Non-acute cystitis","no","yes","CPRD_chr_cystitis.csv"
"107","Non-Hodgkin Lymphoma","no","yes","CPRD_NHL.csv"
"108","Nonrheumatic aortic valve disorders","no","yes","CPRD_nonRh_aortic.csv"
"109","Nonrheumatic mitral valve disorders","no","yes","CPRD_nonRh_mitral.csv"
"110","Obesity","no","yes","CPRD_obesity.csv"
"111","Obsessive-compulsive disorder","no","yes","CPRD_ocd.csv"
"112","Obstructive and reflux uropathy","no","yes","CPRD_obstr_reflux.csv"
"113","Oesophageal varices","no","yes","CPRD_varices.csv"
"114","Oesophagitis and oesophageal ulcer","no","yes","CPRD_oesoph_ulc.csv"
"115","Osteoarthritis (excl spine)","no","yes","CPRD_OA.csv"
"116","Osteoporosis","no","yes","CPRD_osteoporosis.csv"
"117","Other anaemias","no","yes","CPRD_oth_anaemia.csv"
"118","Other Cardiomyopathy","no","yes","CPRD_cardiomyo_oth.csv"
"119","Other haemolytic anaemias","no","yes","CPRD_oth_haem_anaemia.csv"
"120","Other interstitial pulmonary diseases with fibrosis","no","yes","CPRD_pulm_fibrosis.csv"
"121","Other psychoactive substance misuse","yes","yes","substance_misuse.csv"
"122","Painful condition","no","yes","painful_conditions.csv"
"123","Pancreatitis","no","yes","CPRD_pancreatitis.csv"
"124","Parkinson's disease","yes","yes","parkinsons.csv"
"125","Peptic ulcer disease","yes","yes","ulcer_peptic.csv"
"126","Peripheral arterial disease","yes","yes","perip_arterial_disease.csv"
"127","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","no","yes","CPRD_periph_neuro.csv"
"128","Personality disorders","no","yes","CPRD_PD.csv"
"129","Pleural plaque","no","yes","CPRD_pleural_plaque.csv"
"130","Polycystic ovarian syndrome","no","yes","CPRD_PCOS.csv"
"131","Polycythaemia vera","no","yes","CPRD_PCV.csv"
"132","Polymyalgia Rheumatica","no","yes","CPRD_PMR.csv"
"133","Portal hypertension","no","yes","CPRD_portal_htn.csv"
"134","Postviral fatigue syndrome, neurasthenia and fibromyalgia","no","yes","CPRD_chronic_fatigue.csv"
"135","Primary Malignancy_biliary tract","no","yes","CPRD_pri_biliary.csv"
"136","Primary Malignancy_Bladder","no","yes","CPRD_pri_bladder.csv"
"137","Primary Malignancy_Bone and articular cartilage","no","yes","CPRD_pri_bone.csv"
"138","Primary Malignancy_Brain, Other CNS and Intracranial","no","yes","CPRD_pri_brain.csv"
"139","Primary Malignancy_Breast","no","yes","CPRD_pri_breast.csv"
"140","Primary Malignancy_Cervical","no","yes","CPRD_pri_cervical.csv"
"141","Primary Malignancy_colorectal and anus","no","yes","CPRD_pri_bowel.csv"
"142","Primary Malignancy_Kidney and Ureter","no","yes","CPRD_pri_kidney.csv"
"143","Primary Malignancy_Liver","no","yes","CPRD_pri_liver.csv"
"144","Primary Malignancy_Lung and trachea","no","yes","CPRD_pri_lung.csv"
"145","Primary Malignancy_Malignant Melanoma","no","yes","CPRD_pri_melanoma.csv"
"146","Primary Malignancy_Mesothelioma","no","yes","CPRD_pri_mesothelioma.csv"
"147","Primary Malignancy_Multiple independent sites","no","yes","CPRD_pri_multindep.csv"
"148","Primary Malignancy_Oesophageal","no","yes","CPRD_pri_oesoph.csv"
"149","Primary Malignancy_Oro-pharyngeal","no","yes","CPRD_pri_oroph.csv"
"150","Primary Malignancy_Other Organs","no","yes","CPRD_pri_other.csv"
"151","Primary Malignancy_Other Skin and subcutaneous tissue","no","yes","CPRD_pri_skin.csv"
"152","Primary Malignancy_Ovarian","no","yes","CPRD_pri_ovarian.csv"
"153","Primary Malignancy_Pancreatic","no","yes","CPRD_pri_pancr.csv"
"154","Primary Malignancy_Prostate","no","yes","CPRD_pri_prost.csv"
"155","Primary Malignancy_Stomach","no","yes","CPRD_pri_stomach.csv"
"156","Primary Malignancy_Testicular","no","yes","CPRD_pri_testis.csv"
"157","Primary Malignancy_Thyroid","no","yes","CPRD_pri_thyroid.csv"
"158","Primary Malignancy_Uterine","no","yes","CPRD_pri_uterine.csv"
"159","Primary or Idiopathic Thrombocytopaenia","no","yes","CPRD_pri_thrombocytopaenia.csv"
"160","Primary pulmonary hypertension","no","yes","CPRD_prim_pulm_htn.csv"
"161","Psoriasis","no","yes","CPRD_psoriasis.csv"
"162","Psoriatic arthropathy","no","yes","CPRD_PSA.csv"
"163","Ptosis of eyelid","no","yes","CPRD_ptosis.csv"
"164","Respiratory failure","no","yes","CPRD_resp_failure.csv"
"165","Retinal detachments and breaks","no","yes","CPRD_retinal_detach.csv"
"166","Retinal vascular occlusions","no","yes","CPRD_retinal_vasc_occl.csv"
"167","Rheumatic valve dz","no","yes","CPRD_Rh_valve.csv"
"168","Rheumatoid Arthritis","no","yes","CPRD_RhA.csv"
"169","Rosacea","no","yes","CPRD_rosacea.csv"
"170","Sarcoidosis","no","yes","CPRD_sarcoid.csv"
"171","Schizophrenia, schizotypal and delusional disorders","no","yes","CPRD_schizo.csv"
"172","Scoliosis","no","yes","CPRD_scoliosis.csv"
"173","Seborrheic dermatitis","no","yes","CPRD_seb_derm.csv"
"174","Secondary Malignancy_Adrenal gland","no","yes","CPRD_sec_adrenal.csv"
"175","Secondary Malignancy_Bone","no","yes","CPRD_sec_bone.csv"
"176","Secondary Malignancy_Bowel","no","yes","CPRD_sec_bowel.csv"
"177","Secondary Malignancy_Brain, Other CNS and Intracranial","no","yes","CPRD_sec_brain.csv"
"178","Secondary malignancy_Liver and intrahepatic bile duct","no","yes","CPRD_sec_liver.csv"
"179","Secondary Malignancy_Lung","no","yes","CPRD_sec_lung.csv"
"180","Secondary Malignancy_Lymph Nodes","no","yes","CPRD_sec_LN.csv"
"181","Secondary Malignancy_Other organs","no","yes","CPRD_sec_other.csv"
"182","Secondary Malignancy_Pleura","no","yes","CPRD_sec_pleura.csv"
"183","Secondary Malignancy_retroperitoneum and peritoneum","no","yes","CPRD_sec_peritoneum.csv"
"184","Secondary or other Thrombocytopaenia","no","yes","CPRD_sec_oth_thrombocytopaenia.csv"
"185","Secondary polycythaemia","no","yes","CPRD_2ry_polycythaemia.csv"
"186","Secondary pulmonary hypertension","no","yes","CPRD_sec_pulm_htn.csv"
"187","Sick sinus syndrome","no","yes","CPRD_sick_sinus.csv"
"188","Sickle-cell anaemia","no","yes","CPRD_sickle_cell.csv"
"189","Sjogren's disease","no","yes","CPRD_sjogren.csv"
"190","Sleep apnoea","no","yes","CPRD_sleep_apnoea.csv"
"191","Spina bifida","no","yes","CPRD_spina_bifida.csv"
"192","Spinal stenosis","no","yes","CPRD_spinal_stenosis.csv"
"193","Spondylolisthesis","no","yes","CPRD_spondylolisthesis.csv"
"194","Spondylosis","no","yes","CPRD_spondylosis.csv"
"195","Stable angina","no","yes","CPRD_stable_angina.csv"
"196","Stroke NOS","no","yes","CPRD_Stroke_NOS.csv"
"197","Subarachnoid haemorrhage","no","yes","CPRD_Subarach.csv"
"198","Subdural haematoma - nontraumatic","no","yes","CPRD_subdural_haem.csv"
"199","Supraventricular tachycardia","no","yes","CPRD_SVT.csv"
"200","Syndrome of inappropriate secretion of antidiuretic hormone","to be created","to be created",NA
"201","Systemic sclerosis","no","yes","CPRD_sys_sclerosis.csv"
"202","Thalassaemia","no","yes","CPRD_thala.csv"
"203","Thalassaemia trait","no","yes","CPRD_thal_trait.csv"
"204","Thrombophilia","no","yes","CPRD_thrombophilia.csv"
"205","Tinnitus","no","yes","CPRD_tinnitus.csv"
"206","Transient ischaemic attack","no","yes","CPRD_TIA.csv"
"207","Trifascicular block","no","yes","CPRD_trifasc_block.csv"
"208","Trigeminal neuralgia","no","yes","CPRD_trigem_neur.csv"
"209","Tuberculosis","no","yes","CPRD_TB.csv"
"210","Ulcerative colitis","no","yes","CPRD_ulc_colitis.csv"
"211","Unstable Angina","no","yes","CPRD_unstable_angina.csv"
"212","Urinary Incontinence","no","yes","CPRD_urine_incont.csv"
"213","Urolithiasis","no","yes","CPRD_urolithiasis.csv"
"214","Urticaria","no","yes","CPRD_urticaria.csv"
"215","Venous and lymphatic diseases","to be created","to be created",NA
"216","Venous thromboembolic disease (Excl PE)","no","yes","CPRD_vte_ex_pe.csv"
"217","Visual impairment and blindness","yes","yes","blindness.csv"
"218","Vitamin B12 deficiency anaemia","no","yes","CPRD_b12_def.csv"
"219","Vitiligo","no","yes","CPRD_vitiligo.csv"
