Disease,MedCode,ReadCode,ReadTerm
Personality disorder,792,E21z.11,Psychopathic personality
Personality disorder,94096,E2C3500,Isolated explosive disorder
Personality disorder,26859,Eu21.18,[X]Schizotypal personality disorder
Personality disorder,26839,Eu34011,[X]Affective personality disorder
Personality disorder,54848,Eu34012,[X]Cycloid personality
Personality disorder,23854,Eu34013,[X]Cyclothymic personality
Personality disorder,10290,Eu34112,[X]Depressive personality disorder
Personality disorder,21005,Eu6..00,[X]Disorders of adult personality and behaviour
Personality disorder,50188,Eu60.00,[X]Specific personality disorders
Personality disorder,111667,Eu60011,[X]Expansive paranoid personality disorder
Personality disorder,21338,Eu60000,[X]Paranoid personality disorder
Personality disorder,69000,Eu60013,[X]Querulant personality disorder
Personality disorder,48687,Eu60014,[X]Sensitive paranoid personality disorder
Personality disorder,38371,Eu60100,[X]Schizoid personality disorder
Personality disorder,31632,Eu60200,[X]Dissocial personality disorder
Personality disorder,105029,Eu60211,[X]Amoral personality disorder
Personality disorder,32869,Eu60212,[X]Antisocial personality disorder
Personality disorder,56502,Eu60213,[X]Asocial personality disorder
Personality disorder,21671,Eu60214,[X]Psychopathic personality disorder
Personality disorder,45188,Eu60215,[X]Sociopathic personality disorder
Personality disorder,7745,Eu60300,[X]Emotionally unstable personality disorder
Personality disorder,20839,Eu60311,[X]Aggressive personality disorder
Personality disorder,31789,Eu60312,[X]Borderline personality disorder
Personality disorder,58693,Eu60313,[X]Explosive personality disorder
Personality disorder,43690,Eu60400,[X]Histrionic personality disorder
Personality disorder,27945,Eu60411,[X]Hysterical personality disorder
Personality disorder,69185,Eu60412,[X]Psychoinfantile personality disorder
Personality disorder,52465,Eu60500,[X]Anankastic personality disorder
Personality disorder,38100,Eu60511,[X]Compulsive personality disorder
Personality disorder,22259,Eu60512,[X]Obsessional personality disorder
Personality disorder,17420,Eu60513,[X]Obsessive-compulsive personality disorder
Personality disorder,8424,Eu60600,[X]Anxious [avoidant] personality disorder
Personality disorder,31819,Eu60700,[X]Dependent personality disorder
Personality disorder,39535,Eu60711,[X]Asthenic personality disorder
Personality disorder,38031,Eu60712,[X]Inadequate personality disorder
Personality disorder,33741,Eu60713,[X]Passive personality disorder
Personality disorder,59008,Eu60714,[X]Self defeating personality disorder
Personality disorder,40104,Eu60800,[X]Addictive personality
Personality disorder,112875,Eu60y15,[X]Passive-aggressive personality disorder
Personality disorder,49600,Eu60y00,[X]Other specific personality disorders
Personality disorder,55969,Eu60y11,[X]Eccentric personality disorder
Personality disorder,71431,Eu60y12,[X]Haltlose type personality disorder
Personality disorder,49779,Eu60y13,[X]Immature personality disorder
Personality disorder,53335,Eu60y14,[X]Narcissistic personality disorder
Personality disorder,50348,Eu60y16,[X]Psychoneurotic personality disorder
Personality disorder,42496,Eu60z00,"[X]Personality disorder, unspecified"
Personality disorder,57567,Eu60z11,[X]Character neurosis NOS
Personality disorder,49721,Eu60z12,[X]Pathological personality NOS
Personality disorder,30603,Eu61.00,[X]Mixed and other personality disorders
Personality disorder,64838,Eu6y.00,[X]Other disorders of adult personality and behaviour
Personality disorder,34896,Eu6yy00,[X]Other specified disorders of adult personality and behaviour
Personality disorder,39777,Eu6z.00,[X]Unspecified disorder of adult personality and behaviour
