"","MedCode","ReadCode","ReadTerm"
"56537",48702,"E241300","Hypnotic or anxiolytic dependence in remission"
"85279",52765,"E242300","Cocaine dependence in remission"
"51647",44991,"E243300","Cannabis dependence in remission"
"53500",46800,"E244300","Amphetamine or psychostimulant dependence in remission"
"42532",70578,"E245300","Hallucinogen dependence in remission"
"111237",70761,"E246300","Glue sniffing dependence in remission"
"60944",64269,"E247300","Other specified drug dependence in remission"
"110949",52451,"E248300","Combined opioid with other drug dependence in remission"
"57018",70900,"E249300","Combined drug dependence, excluding opioid, in remission"
"5438",31569,"E250300","Nondependent alcohol abuse in remission"
"109730",72706,"E251300","Tobacco dependence in remission"
"2640",53071,"E252300","Nondependent cannabis abuse in remission"
"106914",67462,"E253300","Nondependent hallucinogen abuse in remission"
"55951",68396,"E254300","Nondependent hypnotic or anxiolytic abuse in remission"
"79524",95953,"E255300","Nondependent opioid abuse in remission"
"37432",58934,"E256300","Nondependent cocaine abuse in remission"
"90421",43176,"E257300","Nondependent amphetamine/psychostimulant abuse in remission"
"114402",52842,"E259300","Nondependent mixed drug abuse in remission"
"21050",52846,"E25y300","Nondependent other drug abuse in remission"
"34291",101720,"Eu22300","[X]Paranoid state in remission"
"68800",101987,"Eu26.00","[X]Nonorganic psychosis in remission"
"9903",27584,"Eu31700","[X]Bipolar affective disorder, currently in remission"
"88297",101054,"Eu32900","[X]Single major depr ep, severe with psych, psych in remiss"
"70763",101153,"Eu32A00","[X]Recurr major depr ep, severe with psych, psych in remiss"
"17902",22116,"Eu33400","[X]Recurrent depressive disorder, currently in remission"
"84996",95972,"F207.00","Relapsing and remitting multiple sclerosis"
"50494",114666,"F462300","Partial resolved traumatic cataract"
"79905",102873,"N04y300","Remitting seronegative symmetrical synovitis pitting oedema"
"59226",36682,"N373200","Resolving infantile idiopathic scoliosis"
"54339",36849,"ZV64400","[V]Operation not carried out as condition resolved"
