"","Readcode","Disease","Medcode","ReadcodeDescr","Category","CodingSystem","Provenance","Condition"
"5151","E259300","Other psychoactive substance misuse",52842,"Nondependent mixed drug abuse in remission","Diagnosis of Other psychoactive substance misuse",NA,"Kuan",NA
"5159","E25y300","Other psychoactive substance misuse",52846,"Nondependent other drug abuse in remission","Diagnosis of Other psychoactive substance misuse",NA,"Kuan",NA
"5467","Eu22300","Schizophrenia, schizotypal and delusional disorders",101720,"[X]Paranoid state in remission","Diagnosis of Schizophrenia, schizotypal and delusional disorders",NA,NA,NA
"5489","Eu26.00","Schizophrenia, schizotypal and delusional disorders",101987,"[X]Nonorganic psychosis in remission","History of Schizophrenia, schizotypal and delusional disorders",NA,NA,NA
"5515","Eu31700","Bipolar affective disorder and mania",27584,"[X]Bipolar affective disorder, currently in remission","History of Bipolar affective disorder and mania",NA,NA,NA
"5543","Eu32900","Depression",101054,"[X]Single major depr ep, severe with psych, psych in remiss","History of Depression",NA,"Kuan",NA
"5544","Eu32A00","Depression",101153,"[X]Recurr major depr ep, severe with psych, psych in remiss","History of Depression",NA,"Kuan",NA
"5575","Eu33400","Depression",22116,"[X]Recurrent depressive disorder, currently in remission","History of Depression","readcode","Kuan and Cambridge",NA
"5877","F207.00","Multiple sclerosis",95972,"Relapsing and remitting multiple sclerosis","Diagnosis of Multiple sclerosis","readcode","Kuan and Cambridge",NA
"8471","N04y300","Enthesopathies & synovial disorders",102873,"Remitting seronegative symmetrical synovitis pitting oedema","Diagnosis of Enthesopathies & synovial disorders",NA,NA,NA
"8985","N373200","Scoliosis",36682,"Resolving infantile idiopathic scoliosis","Diagnosis of Scoliosis",NA,NA,NA
