Condition,OPCS4code,OPCS4codeDescr
Peripheral arterial disease,L608,Other specified reconstruction of femoral artery
Peripheral arterial disease,L609,Unspecified reconstruction of femoral artery
Peripheral arterial disease,L62,Other open operations on femoral artery
Peripheral arterial disease,L621,Repair of femoral artery NEC
Peripheral arterial disease,L622,Open embolectomy of femoral artery
Peripheral arterial disease,L628,Other specified other open operations on femoral artery
Peripheral arterial disease,L629,Unspecified other open operations on femoral artery
Peripheral arterial disease,L631,Percutaneous transluminal angioplasty of femoral artery
Peripheral arterial disease,L632,Percutaneous transluminal embolectomy of femoral artery
Peripheral arterial disease,L633,Percutaneous transluminal embolisation of femoral artery
Peripheral arterial disease,L635,Percutaneous transluminal insertion of stent into femoral artery
Peripheral arterial disease,L658,Other specified revision of reconstruction of artery
