Condition,ProdCodeId,ProductName,BNFChapter,GOLD
Constipation,4574741000033119,Ispaghula husk 3.4g oral powder sachets gluten free sugar free,1060100,MULTIPLY_Prodcode_constipation
Constipation,4575241000033112,Sodium dihydrogen phosphate dihydrate 780mg/5ml oral solution,NA,MULTIPLY_Prodcode_constipation
Constipation,5244641000033114,Ispaghula husk oral powder sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,5378041000033116,Macrogol compound oral powder sachets NPF,1060400,MULTIPLY_Prodcode_constipation
Constipation,5565641000033111,Prucalopride 1mg tablets,1060700,MULTIPLY_Prodcode_constipation
Constipation,5565741000033119,Prucalopride 2mg tablets,1060700,MULTIPLY_Prodcode_constipation
Constipation,6525741000033112,Lactulose 10g/15ml oral solution 15ml sachets sugar free,NA,MULTIPLY_Prodcode_constipation
Constipation,8127641000033110,Pyridostigmine bromide 30mg/5ml oral suspension,NA,MULTIPLY_Prodcode_constipation
Constipation,9104641000033112,Macrogol compound oral liquid NPF sugar free,1060400,MULTIPLY_Prodcode_constipation
Constipation,10227741000033116,Bisacodyl 7.5mg suppositories,NA,MULTIPLY_Prodcode_constipation
Constipation,11873641000033118,Macrogol compound half-strength oral powder sachets NPF sugar free,1060400,MULTIPLY_Prodcode_constipation
Constipation,12525241000033116,Bisacodyl 10mg/30ml enema,NA,MULTIPLY_Prodcode_constipation
