Condition,ICD10code,ICD10codeDescr
Anxiety and phobia,F40.9,Phobic anxiety disorder, unspecified
Anxiety and phobia,F41,Other anxiety disorders
Anxiety and phobia,F41,Other anxiety disorders
Anxiety and phobia,F41.0,Panic disorder [episodic paroxysmal anxiety]
Anxiety and phobia,F41.1,Generalized anxiety disorder
Anxiety and phobia,F41.2,Mixed anxiety and depressive disorder
Anxiety and phobia,F41.3,Other mixed anxiety disorders
Anxiety and phobia,F41.8,Other specified anxiety disorders
Anxiety and phobia,F41.9,Anxiety disorder, unspecified
Anxiety and phobia,F45.2,Hypochondriacal disorder
Anxiety and phobia,F48.1,Depersonalization-derealization syndrome
Anxiety and phobia,F48.8,Other specified neurotic disorders
Anxiety and phobia,F48.9,Neurotic disorder, unspecified
Anxiety and phobia,F94.0,Elective mutism
Aortic aneurysm,I71.0,Dissection of aorta [any part]
Aortic aneurysm,I71.1,Thoracic aortic aneurysm, ruptured
Aortic aneurysm,I71.2,Thoracic aortic aneurysm, without mention of rupture
Aortic aneurysm,I71.3,Abdominal aortic aneurysm, ruptured
Aortic aneurysm,I71.4,Abdominal aortic aneurysm, without mention of rupture
Aortic aneurysm,I71.5,Thoracoabdominal aortic aneurysm, ruptured
Aortic aneurysm,I71.6,Thoracoabdominal aortic aneurysm, without mention of rupture
Aortic aneurysm,I71.8,Aortic aneurysm of unspecified site, ruptured
Aortic aneurysm,I71.9,Aortic aneurysm of unspecified site, without mention of rupture
Aortic aneurysm,I714,Abdominal aortic aneurysm without mention of rupture
Aortic aneurysm,I716,Thoracoabdominal aortic aneurysm without mention of rupture
Aortic aneurysm,I719,Aortic aneurysm of unspecified site without mention of rupture
Aplastic anaemias,D60,Acquired pure red cell aplasia [erythroblastopenia]
Aplastic anaemias,D60.0,Chronic acquired pure red cell aplasia
Aplastic anaemias,D60.1,Transient acquired pure red cell aplasia
Aplastic anaemias,D60.9,Acquired pure red cell aplasia, unspecified
Aplastic anaemias,D61,Other aplastic anaemias
Aplastic anaemias,D61.0,Constitutional aplastic anaemia
Aplastic anaemias,D61.1,Drug-induced aplastic anaemia
Aplastic anaemias,D61.2,Aplastic anaemia due to other external agents
Aplastic anaemias,D61.3,Idiopathic aplastic anaemia
Aplastic anaemias,D61.9,Aplastic anaemia, unspecified
Asbestosis,J61,Pneumoconiosis due to asbestos and other mineral fibres
Asbestosis,J92.0,Pleural plaque with presence of asbestos
Asthma,J45,Asthma
Asthma,J45.0,Predominantly allergic asthma
Asthma,J45.1,Nonallergic asthma
Asthma,J45.8,Mixed asthma
Asthma,J45.9,Asthma, unspecified
Asthma,J46,Status asthmaticus
Atrial fibrillation and flutter,I48,Atrial fibrillation and flutter
Atrial fibrillation and flutter,I48.0,Paroxysmal atrial fibrillation
Atrial fibrillation and flutter,I48.1,Persistent atrial fibrillation
Atrial fibrillation and flutter,I48.9,Atrial fibrillation and atrial flutter, unspecified
Autism and Asperger's syndrome,F84.0,Childhood autism
Autism and Asperger's syndrome,F84.1,Atypical autism
Autism and Asperger's syndrome,F84.5,Asperger's syndrome
Autism and Asperger's syndrome,F84.5,Asperger syndrome
Autoimmune liver disease,K73.2,Chronic active hepatitis, not elsewhere classified
Autoimmune liver disease,K74.3,Primary biliary cirrhosis
Autoimmune liver disease,K74.3,Primary biliary cirrhosis
Autoimmune liver disease,K75.4,Autoimmune hepatitis
Autoimmune liver disease,K75.4,Autoimmune hepatitis
Barrett's oesophagus,K22.7,Barrett's oesophagus
Bipolar affective disorder and mania,F25.0,Schizoaffective disorder, manic type
Bipolar affective disorder and mania,F30,Manic episode
Bipolar affective disorder and mania,F30.0,Hypomania
Bipolar affective disorder and mania,F30.1,Mania without psychotic symptoms
Bipolar affective disorder and mania,F30.2,Mania with psychotic symptoms
Bipolar affective disorder and mania,F30.8,Other manic episodes
Bipolar affective disorder and mania,F30.9,Manic episode, unspecified
Bipolar affective disorder and mania,F31,Bipolar affective disorder
Bipolar affective disorder and mania,F31.0,Bipolar affective disorder, current episode hypomanic
Bipolar affective disorder and mania,F31.6,Bipolar affective disorder, current episode mixed
Bipolar affective disorder and mania,F31.7,Bipolar affective disorder, currently in remission
Bipolar affective disorder and mania,F31.8,Other bipolar affective disorders
Bipolar affective disorder and mania,F31.9,Bipolar affective disorder, unspecified
Blistering autoimmune skin conditions,H13.3,Ocular pemphigoid
Blistering autoimmune skin conditions,L10,Pemphigus
Blistering autoimmune skin conditions,L10.0,Pemphigus vulgaris
Blistering autoimmune skin conditions,L10.1,Pemphigus vegetans
Blistering autoimmune skin conditions,L10.2,Pemphigus foliaceus
Blistering autoimmune skin conditions,L10.3,Brazilian pemphigus [fogo selvagem]
Blistering autoimmune skin conditions,L10.4,Pemphigus erythematosus
Blistering autoimmune skin conditions,L10.5,Drug-induced pemphigus
Blistering autoimmune skin conditions,L10.8,Other pemphigus
Blistering autoimmune skin conditions,L10.9,Pemphigus, unspecified
Blistering autoimmune skin conditions,L12,Pemphigoid
Blistering autoimmune skin conditions,L12.0,Bullous pemphigoid
Blistering autoimmune skin conditions,L12.1,Cicatricial pemphigoid
Blistering autoimmune skin conditions,L12.8,Other pemphigoid
Blistering autoimmune skin conditions,L12.9,Pemphigoid, unspecified
Blistering autoimmune skin conditions,L13.0,Dermatitis herpetiformis
Bronchiectasis,J47,Bronchiectasis
Bronchiectasis,Q33.4,Congenital bronchiectasis
Cardiac conduction defects,I44.1,Atrioventricular block, second degree
Cardiac conduction defects,I44.2,Atrioventricular block, complete
Cardiac conduction defects,I44.6,Other and unspecified fascicular block
Cardiac conduction defects,I44.7,Left bundle-branch block
Cardiac conduction defects,I44.7,Left bundle-branch block, unspecified
Cardiac conduction defects,I45.1,Other and unspecified right bundle-branch block
Cardiac conduction defects,I45.3,Trifascicular block
Cardiac conduction defects,I45.4,Nonspecific intraventricular block
Cardiac conduction defects,I45.5,Other specified heart block
Cardiomyopathy other,I25.5,Ischaemic cardiomyopathy
Cardiomyopathy other,I25.5,Ischaemic cardiomyopathy
Cardiomyopathy other,I255,Ischaemic cardiomyopathy
Cardiomyopathy other,I42.0,Dilated cardiomyopathy
Cardiomyopathy other,I42.3,Endomyocardial (eosinophilic) disease
Cardiomyopathy other,I42.5,Other restrictive cardiomyopathy
Cardiomyopathy other,I42.6,Alcoholic cardiomyopathy
Cardiomyopathy other,I42.7,Cardiomyopathy due to drugs and other external agents
Cardiomyopathy other,I42.8,Other cardiomyopathies
Cardiomyopathy other,I42.9,Cardiomyopathy
Cardiomyopathy other,I42.9,Cardiomyopathy, unspecified
Cardiomyopathy other,I43,Cardiomyopathy in diseases classified elsewhere
Cerebral Palsy,G80,Cerebral palsy
Cerebral Palsy,G80.0,Spastic quadriplegic cerebral palsy
Cerebral Palsy,G80.1,Spastic diplegic cerebral palsy
Cerebral Palsy,G80.2,Spastic hemiplegic cerebral palsy
Cerebral Palsy,G80.3,Dyskinetic cerebral palsy
Cerebral Palsy,G80.4,Ataxic cerebral palsy
Cerebral Palsy,G80.8,Other cerebral palsy
Cerebral Palsy,G80.9,Cerebral palsy, unspecified
Cerebrovascular disease,G45,Transient cerebral ischaemic attacks and related syndromes
Cerebrovascular disease,G45.0,Vertebro-basilar artery syndrome
Cerebrovascular disease,G45.1,Carotid artery syndrome (hemispheric)
Cerebrovascular disease,G45.2,Multiple and bilateral precerebral artery syndromes
Cerebrovascular disease,G45.3,Amaurosis fugax
Cerebrovascular disease,G45.4,Transient global amnesia
Cerebrovascular disease,G45.8,Other transient cerebral ischaemic attacks and related syndromes
Cerebrovascular disease,G45.9,Transient cerebral ischaemic attack
Cerebrovascular disease,G45.9,Transient cerebral ischaemic attack, unspecified
Cerebrovascular disease,G46.0,Middle cerebral artery syndrome
Cerebrovascular disease,G46.1,Anterior cerebral artery syndrome
Cerebrovascular disease,G46.2,Posterior cerebral artery syndrome
Cerebrovascular disease,G46.3,Brain stem stroke syndrome
Cerebrovascular disease,G46.4,Cerebellar stroke syndrome
Cerebrovascular disease,G46.5,Pure motor lacunar syndrome
Cerebrovascular disease,G46.6,Pure sensory lacunar syndrome
Cerebrovascular disease,G46.7,Other lacunar syndromes
Cerebrovascular disease,G46.8,Other vascular syndromes of brain in cerebrovascular diseases
Cerebrovascular disease,I63.0,Cerebral infarction due to thrombosis of precerebral arteries
Cerebrovascular disease,I63.1,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
Cerebrovascular disease,I63.3,Cerebral infarction due to thrombosis of cerebral arteries
Cerebrovascular disease,I63.4,Cerebral infarction due to embolism of cerebral arteries
Cerebrovascular disease,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
Cerebrovascular disease,I63.8,Other cerebral infarction
Cerebrovascular disease,I63.9,Cerebral infarction
Cerebrovascular disease,I63.9,Cerebral infarction, unspecified
Cerebrovascular disease,I64,Stroke
Cerebrovascular disease,I64,Stroke, not specified as haemorrhage or infarction
Cerebrovascular disease,I65,Occlusion and stenosis of precerebral arteries
Cerebrovascular disease,I65,Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
Cerebrovascular disease,I66,Occlusion and stenosis of cerebral arteries
Cerebrovascular disease,I66.9,Occlusion and stenosis of unspecified cerebral artery
Cerebrovascular disease,I69.3,Sequelae of cerebral infarction
Cerebrovascular disease,I69.4,Sequelae of stroke
Cervical carcinoma in situ,D06,Carcinoma in situ of cervix uteri
Cervical carcinoma in situ,D06.0,Carcinoma in situ: Endocervix
Cervical carcinoma in situ,D06.1,Carcinoma in situ: Exocervix
Cervical carcinoma in situ,D06.7,Carcinoma in situ: Other parts of cervix
Cervical carcinoma in situ,D06.9,Carcinoma in situ: Cervix, unspecified
Cervical carcinoma in situ,N87,Dysplasia of cervix uteri
Cervical carcinoma in situ,N87.0,Mild cervical dysplasia
Cervical carcinoma in situ,N87.1,Moderate cervical dysplasia
Cervical carcinoma in situ,N87.2,Severe cervical dysplasia, not elsewhere classified
Cervical carcinoma in situ,N87.9,Dysplasia of cervix uteri, unspecified
Cholelithiasis,K56.3,Gallstone ileus
Cholelithiasis,K80,Cholelithiasis
Cholelithiasis,K80.0,Calculus of gallbladder with acute cholecystitis
Cholelithiasis,K80.1,Calculus of gallbladder with other cholecystitis
Cholelithiasis,K80.2,Calculus of gallbladder without cholecystitis
Cholelithiasis,K80.3,Calculus of bile duct with cholangitis
Cholelithiasis,K80.4,Calculus of bile duct with cholecystitis
Cholelithiasis,K80.5,Calculus of bile duct without cholangitis or cholecystitis
Cholelithiasis,K80.8,Other cholelithiasis
Cholelithiasis,K85.1,Biliary acute pancreatitis
Chronic fatigue,F48.0,Neurasthenia
Chronic fatigue,G93.3,Postviral fatigue syndrome
Chronic Kidney Disease,N04,Nephrotic syndrome
Chronic Kidney Disease,N18,Chronic kidney disease
Chronic Kidney Disease,N18.1,Chronic kidney disease, stage 1
Chronic Kidney Disease,N18.2,Chronic kidney disease, stage 2
Chronic Kidney Disease,N18.3,Chronic kidney disease, stage 3
Chronic Kidney Disease,N18.4,Chronic kidney disease, stage 4
Chronic Kidney Disease,N18.5,Chronic kidney disease, stage 5
Chronic Kidney Disease,N18.9,Chronic kidney disease, unspecified
Chronic sinusitis,J32,Chronic sinusitis
Chronic sinusitis,J32,Chronic sinusitis
Chronic sinusitis,J32.0,Chronic maxillary sinusitis
Chronic sinusitis,J32.1,Chronic frontal sinusitis
Chronic sinusitis,J32.2,Chronic ethmoidal sinusitis
Chronic sinusitis,J32.3,Chronic sphenoidal sinusitis
Chronic sinusitis,J32.4,Chronic pansinusitis
Chronic sinusitis,J32.8,Other chronic sinusitis
Chronic sinusitis,J32.9,Chronic sinusitis, unspecified
Chronic sinusitis,J33.8,Other polyp of sinus
Chronic ulcer of the skin,A06.7,Cutaneous amoebiasis
Chronic ulcer of the skin,A66.4,Gummata and ulcers of yaws
Chronic ulcer of the skin,I83.0,Varicose veins of lower extremities with ulcer
Chronic ulcer of the skin,I83.2,Varicose veins of lower extremities with both ulcer and inflammation
Chronic ulcer of the skin,I83.9,Varicose veins of lower extremities without ulcer or inflammation
Chronic ulcer of the skin,L08.9,Local infection of skin and subcutaneous tissue, unspecified
Chronic ulcer of the skin,L89,Decubitus ulcer and pressure area
Chronic ulcer of the skin,L89.0,Stage I decubitus ulcer and pressure area
Chronic ulcer of the skin,L89.1,Stage II decubitus ulcer
Chronic ulcer of the skin,L89.2,Stage III decubitus ulcer
Chronic ulcer of the skin,L89.3,Stage IV decubitus ulcer
Chronic ulcer of the skin,L89.9,Decubitus ulcer and pressure area, unspecified
Chronic ulcer of the skin,L97,Ulcer of lower limb, not elsewhere classified
Chronic ulcer of the skin,L98.4,Chronic ulcer of skin, not elsewhere classified
Chronic viral hepatitis,B16.9,Acute hepatitis B without delta-agent and without hepatic coma
Chronic viral hepatitis,B17.0,Acute delta-(super)infection of hepatitis B carrier
Chronic viral hepatitis,B17.8,Other specified acute viral hepatitis
Chronic viral hepatitis,B18,Chronic viral hepatitis
Chronic viral hepatitis,B18.0,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,B18.1,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,B18.2,Chronic viral hepatitis C
Chronic viral hepatitis,B18.8,Other chronic viral hepatitis
Chronic viral hepatitis,B18.9,Chronic viral hepatitis, unspecified
Coeliac disease,K90.0,Coeliac disease
Collapsed vertebra,M48.5,Collapsed vertebra
Collapsed vertebra,M48.5,Collapsed vertebra, not elsewhere classified
Collapsed vertebra,M49.5,Collapsed vertebra in diseases classified elsewhere
Congenital cardiac disease,I27.8,Other specified pulmonary heart diseases
Congenital cardiac disease,Q20.0,Common arterial trunk
Congenital cardiac disease,Q20.1,Double outlet right ventricle
Congenital cardiac disease,Q20.3,Discordant ventriculoarterial connection
Congenital cardiac disease,Q20.4,Double inlet ventricle
Congenital cardiac disease,Q20.5,Discordant atrioventricular connection
Congenital cardiac disease,Q20.8,Other congenital malformations of cardiac chambers and connections
Congenital cardiac disease,Q21,Congenital malformations of cardiac septa
Congenital cardiac disease,Q21.0,Ventricular septal defect
Congenital cardiac disease,Q21.1,Atrial septal defect
Congenital cardiac disease,Q21.2,Atrioventricular septal defect
Congenital cardiac disease,Q21.3,Tetralogy of Fallot
Congenital cardiac disease,Q21.4,Aortopulmonary septal defect
Congenital cardiac disease,Q21.8,Other congenital malformations of cardiac septa
Congenital cardiac disease,Q21.9,Congenital malformation of cardiac septum, unspecified
Congenital cardiac disease,Q22.3,Other congenital malformations of pulmonary valve
Congenital cardiac disease,Q22.4,Congenital tricuspid stenosis
Congenital cardiac disease,Q22.5,Ebstein anomaly
Congenital cardiac disease,Q22.6,Hypoplastic right heart syndrome
Congenital cardiac disease,Q22.9,Congenital malformation of tricuspid valve, unspecified
Congenital cardiac disease,Q23.1,Congenital insufficiency of aortic valve
Congenital cardiac disease,Q23.2,Congenital mitral stenosis
Congenital cardiac disease,Q23.3,Congenital mitral insufficiency
Congenital cardiac disease,Q23.4,Hypoplastic left heart syndrome
Congenital cardiac disease,Q23.8,Other congenital malformations of aortic and mitral valves
Congenital cardiac disease,Q24,Other congenital malformations of heart
Congenital cardiac disease,Q24.6,Congenital heart block
Congenital cardiac disease,Q24.8,Other specified congenital malformations of heart
Congenital cardiac disease,Q24.9,Congenital malformation of heart, unspecified
Congenital cardiac disease,Q25.1,Coarctation of aorta
Congenital cardiac disease,Q25.4,Other congenital malformations of aorta
Congenital cardiac disease,Q25.6,Stenosis of pulmonary artery
Constipation,K59.0,Constipation
COPD,J40,Bronchitis
COPD,J41,Simple and mucopurulent chronic bronchitis
COPD,J41.0,Simple chronic bronchitis
COPD,J41.1,Mucopurulent chronic bronchitis
COPD,J41.8,Mixed simple and mucopurulent chronic bronchitis
COPD,J42,Unspecified chronic bronchitis
COPD,J43,Emphysema
COPD,J43.1,Panlobular emphysema
COPD,J43.2,Centrilobular emphysema
COPD,J43.8,Other emphysema
COPD,J43.9,Emphysema, unspecified
COPD,J44,Other chronic obstructive pulmonary disease
COPD,J44.1,Chronic obstructive pulmonary disease with acute exacerbation, unspecified
COPD,J44.8,Other specified chronic obstructive pulmonary disease
COPD,J44.9,Chronic obstructive pulmonary disease, unspecified
COPD,J68.4,Chronic respiratory conditions due to chemicals, gases, fumes and vapours
COPD,J82,Pulmonary eosinophilia, not elsewhere classified
Coronary heart disease,I20,Angina pectoris
Coronary heart disease,I20.0,Unstable angina
Coronary heart disease,I20.8,Other forms of angina pectoris
Coronary heart disease,I20.9,Angina pectoris, unspecified
Coronary heart disease,I200,Unstable angina
Coronary heart disease,I201,Angina pectoris with documented spasm
Coronary heart disease,I208,Other forms of angina pectoris
Coronary heart disease,I209,Angina pectoris
Coronary heart disease,I21,Acute myocardial infarction
Coronary heart disease,I21.0,Acute transmural myocardial infarction of anterior wall
Coronary heart disease,I21.1,Acute transmural myocardial infarction of inferior wall
Coronary heart disease,I21.2,Acute transmural myocardial infarction of other sites
Coronary heart disease,I21.3,Acute transmural myocardial infarction of unspecified site
Coronary heart disease,I21.4,Acute subendocardial myocardial infarction
Coronary heart disease,I21.9,Acute myocardial infarction, unspecified
Coronary heart disease,I22,Subsequent myocardial infarction
Coronary heart disease,I22.0,Subsequent myocardial infarction of anterior wall
Coronary heart disease,I22.1,Subsequent myocardial infarction of inferior wall
Coronary heart disease,I22.8,Subsequent myocardial infarction of other sites
Coronary heart disease,I22.9,Subsequent myocardial infarction of unspecified site
Coronary heart disease,I23,Certain current complications following acute myocardial infarction
Coronary heart disease,I23.8,Other current complications following acute myocardial infarction
Coronary heart disease,I24,Other acute ischaemic heart diseases
Coronary heart disease,I24.0,Coronary thrombosis not resulting in myocardial infarction
Coronary heart disease,I24.1,Dressler syndrome
Coronary heart disease,I24.8,Other forms of acute ischaemic heart disease
Coronary heart disease,I24.9,Acute ischaemic heart disease, unspecified
Coronary heart disease,I241,Dressler's syndrome
Coronary heart disease,I25,Chronic ischaemic heart disease
Coronary heart disease,I25.1,Atherosclerotic heart disease
Coronary heart disease,I25.2,Old myocardial infarction
Coronary heart disease,I25.6,Silent myocardial ischaemia
Coronary heart disease,I25.8,Other forms of chronic ischaemic heart disease
Coronary heart disease,I25.9,Chronic ischaemic heart disease, unspecified
Coronary heart disease,I250,Atherosclerotic cardiovascular disease, so described
Coronary heart disease,I251,Atherosclerotic heart disease
Coronary heart disease,I252,Old myocardial infarction
Coronary heart disease,I253,Aneurysm of heart
Coronary heart disease,I254,Coronary artery aneurysm
Coronary heart disease,I256,Silent myocardial ischaemia
Coronary heart disease,I258,Other forms of chronic ischaemic heart disease
Coronary heart disease,I259,Chronic ischaemic heart disease, unspecified
Coronary heart disease,T82.2,Mechanical complication of coronary artery bypass and valve grafts
Crohn's disease,K50,Crohn's disease [regional enteritis]
Crohn's disease,K50,Crohn disease [regional enteritis]
Crohn's disease,K50.0,Crohn disease of small intestine
Crohn's disease,K50.1,Crohn disease of large intestine
Crohn's disease,K50.8,Other Crohn disease
Crohn's disease,K50.9,Crohn disease, unspecified
Cystic Fibrosis,E84,Cystic fibrosis
Cystic Fibrosis,E84.0,Cystic fibrosis with pulmonary manifestations
Cystic Fibrosis,E84.1,Cystic fibrosis with intestinal manifestations
Cystic Fibrosis,E84.8,Cystic fibrosis with other manifestations
Cystic Fibrosis,E84.9,Cystic fibrosis, unspecified
Cystic renal disease,Q61,Cystic kidney disease
Cystic renal disease,Q61.1,Polycystic kidney, autosomal recessive
Cystic renal disease,Q61.2,Polycystic kidney, autosomal dominant
Cystic renal disease,Q61.3,Polycystic kidney, unspecified
Cystic renal disease,Q61.5,Medullary cystic kidney
Cystic renal disease,Q61.8,Other cystic kidney diseases
Cystic renal disease,Q61.9,Cystic kidney disease, unspecified
Dementia,F00,Dementia in Alzheimer's disease
Dementia,F01,Vascular dementia
Dementia,F01,Vascular dementia
Dementia,F01.0,Vascular dementia of acute onset
Dementia,F01.1,Multi-infarct dementia
Dementia,F01.2,Subcortical vascular dementia
Dementia,F01.3,Mixed cortical and subcortical vascular dementia
Dementia,F01.8,Other vascular dementia
Dementia,F01.9,Vascular dementia, unspecified
Dementia,F02,Dementia in other diseases classified elsewhere
Dementia,F02.4,Dementia in human immunodeficiency virus [HIV] disease
Dementia,F03,Unspecified dementia
Dementia,F03,Unspecified dementia
Dementia,F05.1,Delirium superimposed on dementia
Dementia,F05.1,Delirium superimposed on dementia
Dementia,G30,Alzheimer's disease
Dementia,G30.0,Alzheimer disease with early onset
Dementia,G30.1,Alzheimer disease with late onset
Dementia,G30.8,Other Alzheimer disease
Dementia,G30.9,Alzheimer disease, unspecified
Dementia,G31.0,Circumscribed brain atrophy
Depression,F20.4,Post-schizophrenic depression
Depression,F25.1,Schizoaffective disorder, depressive type
Depression,F32,Depressive episode
Depression,F32.0,Mild depressive episode
Depression,F32.1,Moderate depressive episode
Depression,F32.2,Severe depressive episode without psychotic symptoms
Depression,F32.3,Severe depressive episode with psychotic symptoms
Depression,F32.8,Other depressive episodes
Depression,F32.9,Depressive episode, unspecified
Depression,F33,Recurrent depressive disorder
Depression,F33.0,Recurrent depressive disorder, current episode mild
Depression,F33.1,Recurrent depressive disorder, current episode moderate
Depression,F33.2,Recurrent depressive disorder, current episode severe without psychotic symptoms
Depression,F33.3,Recurrent depressive disorder, current episode severe with psychotic symptoms
Depression,F33.4,Recurrent depressive disorder, currently in remission
Depression,F33.8,Other recurrent depressive disorders
Depression,F33.9,Recurrent depressive disorder, unspecified
Depression,F34,Persistent mood [affective] disorders
Depression,F34.0,Cyclothymia
Depression,F34.1,Dysthymia
Depression,F34.8,Other persistent mood [affective] disorders
Depression,F34.9,Persistent mood [affective] disorder, unspecified
Depression,F38,Other mood [affective] disorders
Depression,F38.0,Other single mood [affective] disorders
Depression,F38.1,Other recurrent mood [affective] disorders
Depression,F41.2,Mixed anxiety and depressive disorder
Depression,F92.0,Depressive conduct disorder
Dermatitis (atopc/contact/other/unspecified),B00.0,Eczema herpeticum
Dermatitis (atopc/contact/other/unspecified),D82.0,Wiskott-Aldrich syndrome
Dermatitis (atopc/contact/other/unspecified),H01.1,Noninfectious dermatoses of eyelid
Dermatitis (atopc/contact/other/unspecified),L20,Atopic dermatitis
Dermatitis (atopc/contact/other/unspecified),L20.0,Besnier prurigo
Dermatitis (atopc/contact/other/unspecified),L20.8,Other atopic dermatitis
Dermatitis (atopc/contact/other/unspecified),L20.9,Atopic dermatitis, unspecified
Dermatitis (atopc/contact/other/unspecified),L23,Allergic contact dermatitis
Dermatitis (atopc/contact/other/unspecified),L23.0,Allergic contact dermatitis due to metals
Dermatitis (atopc/contact/other/unspecified),L23.1,Allergic contact dermatitis due to adhesives
