Condition,ReadCode,MedCodeId,ReadTerm
Adrenal insufficiency and Addison's disease,F395000,682621000006119,Myopathy due to Addison's disease
Alcohol dependence and related disease,136a.00,1738341000000110,Increasing risk drinking
Alcohol dependence and related disease,136K.00,250335018,Alcohol intake above recommended sensible limits
Alcohol dependence and related disease,136S.00,299061000000117,Hazardous alcohol use
Alcohol dependence and related disease,136T.00,299081000000114,Harmful alcohol use
Alcohol dependence and related disease,136W.00,606991000000117,Alcohol misuse
Alcohol dependence and related disease,13Y8.00,251195015,Alcoholics anonymous
Alcohol dependence and related disease,1462.00,251626014,H/O: alcoholism
Alcohol dependence and related disease,1B1c.00,2549849017,Alcohol induced hallucinations
Alcohol dependence and related disease,2126C00,2358251000000115,Alcohol dependence resolved
Alcohol dependence and related disease,66e..00,2474678017,Alcohol disorder monitoring
Alcohol dependence and related disease,66e0.00,405461000000114,Alcohol abuse monitoring
Alcohol dependence and related disease,7P22100,371501000000110,Delivery of rehabilitation for alcohol addiction
Alcohol dependence and related disease,8BA8.00,106878015,Alcohol detoxification
Alcohol dependence and related disease,8BAs.00,2467301000000111,Alcohol relapse prevention
Alcohol dependence and related disease,8BAu.00,2475831000000114,Alcohol harm reduction programme
Alcohol dependence and related disease,8CAv.00,739501000000112,Advised to contact primary care alcohol worker
Alcohol dependence and related disease,8CdK.00,2419601000000110,Specialist alcohol treatment service signposted
Alcohol dependence and related disease,8G32.00,283451018,Aversion therapy - alcoholism
Alcohol dependence and related disease,8H35.00,283559019,Admitted to alcohol detoxification centre
Alcohol dependence and related disease,8H7p.00,1484890014,Referral to community alcohol team
Alcohol dependence and related disease,8HHe.00,2549646014,Referral to community drug and alcohol team
Alcohol dependence and related disease,8HkG.00,622961000000116,Referral to specialist alcohol treatment service
Alcohol dependence and related disease,8HkJ.00,740641000000115,Referral to alcohol brief intervention service
Alcohol dependence and related disease,8IAF.00,1704281000006117,Brief intervention for excessive alcohol consumption declined
Alcohol dependence and related disease,8IAJ.00,750531000000113,Declined referral to specialist alcohol treatment service
Alcohol dependence and related disease,8IAt.00,1754191000006119,Extended intervention for excessive alcohol consumption declined
Alcohol dependence and related disease,8IEA.00,1746481000000112,Referral to community alcohol team declined
Alcohol dependence and related disease,8W2..00,1926131000006117,Referral to mental health services deferred until alcohol misuse resolved
Alcohol dependence and related disease,9k1..00,236441000000113,Alcohol misuse enhanced services administration
Alcohol dependence and related disease,9k10.00,2532946014,Community detoxification registered
Alcohol dependence and related disease,9k11.00,2532939017,Alcohol consumption counselling
Alcohol dependence and related disease,9k12.00,226571000000116,Alcohol misuse enhanced service completed
Alcohol dependence and related disease,9k1A.00,1680121000006110,Brief intervention for excessive alcohol consumption completed
Alcohol dependence and related disease,9k1B.00,1680131000006113,Extended intervention for excessive alcohol consumption completed
Alcohol dependence and related disease,9NgzH00,2462911000000112,Withdrawn from alcohol detoxification programme
Alcohol dependence and related disease,9NJz.00,2298341000000114,In-house alcohol detoxification
Alcohol dependence and related disease,9NN2.00,216585018,Under care of community alcohol team
Alcohol dependence and related disease,C150500,356292013,Alcohol-induced pseudo-Cushing's syndrome
Alcohol dependence and related disease,C251.11,59951000006113,Wernicke's encephalopathy
Alcohol dependence and related disease,C253.00,35314011,Wernicke's encephalopathy
Alcohol dependence and related disease,E01..00,476741000006111,Alcohol-induced psychosis
Alcohol dependence and related disease,E010.00,15243013,Alcohol withdrawal delirium
Alcohol dependence and related disease,E010.11,507053019,DTs - delirium tremens
Alcohol dependence and related disease,E010.12,15244019,Delirium tremens
Alcohol dependence and related disease,E011.00,476361000006114,Alcohol amnestic syndrome
Alcohol dependence and related disease,E011000,753331000006118,Korsakov alcoholic psychosis
Alcohol dependence and related disease,E011100,294662017,Korsakov's alcoholic psychosis with peripheral neuritis
Alcohol dependence and related disease,E011200,501294012,Wernicke-Korsakov syndrome
Alcohol dependence and related disease,E011z00,294664016,Alcohol amnestic syndrome NOS
Alcohol dependence and related disease,E012.00,401760017,Other alcoholic dementia
Alcohol dependence and related disease,E012.11,346929012,Alcoholic dementia
Alcohol dependence and related disease,E012000,294668018,Chronic alcoholic brain syndrome
Alcohol dependence and related disease,E013.00,294669014,Alcohol withdrawal hallucinosis
Alcohol dependence and related disease,E014.00,294671014,Pathological alcohol intoxication
Alcohol dependence and related disease,E015.00,294672019,Alcoholic paranoia
Alcohol dependence and related disease,E01y.00,294673012,Other alcoholic psychosis
Alcohol dependence and related disease,E01y000,294674018,Alcohol withdrawal syndrome
Alcohol dependence and related disease,E01yz00,294675017,Other alcoholic psychosis NOS
Alcohol dependence and related disease,E01z.00,294676016,Alcoholic psychosis NOS
Alcohol dependence and related disease,E23..00,500478011,Alcohol dependence syndrome
Alcohol dependence and related disease,E23..11,12878014,Alcoholism
Alcohol dependence and related disease,E23..12,502017010,Alcohol problem drinking
Alcohol dependence and related disease,E230.00,295127018,Acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230.11,295126010,Alcohol dependence with acute alcoholic intoxication
Alcohol dependence and related disease,E230000,295128011,"Acute alcoholic intoxication, unspecified, in alcoholism"
Alcohol dependence and related disease,E230100,295129015,Continuous acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230200,295130013,Episodic acute alcoholic intoxication in alcoholism
Alcohol dependence and related disease,E230300,295131012,"Acute alcoholic intoxication in remission, in alcoholism"
Alcohol dependence and related disease,E230z00,295132017,Acute alcoholic intoxication in alcoholism NOS
Alcohol dependence and related disease,E231.00,110629012,Chronic alcoholism
Alcohol dependence and related disease,E231.11,502016018,Dipsomania
Alcohol dependence and related disease,E231000,295136019,Alcohol dependence
Alcohol dependence and related disease,E231100,295139014,Continuous chronic alcoholism
Alcohol dependence and related disease,E231200,295141010,Episodic chronic alcoholism
Alcohol dependence and related disease,E231300,295142015,Chronic alcoholism in remission
Alcohol dependence and related disease,E231z00,295143013,Chronic alcoholism NOS
Alcohol dependence and related disease,E23z.00,295144019,Alcohol dependence syndrome NOS
Alcohol dependence and related disease,E250100,295252010,"Nondependent alcohol abuse, continuous"
Alcohol dependence and related disease,E250200,295253017,"Nondependent alcohol abuse, episodic"
Alcohol dependence and related disease,Eu10.00,295765017,Alcohol-induced organic mental disorder
Alcohol dependence and related disease,Eu10100,397881000006114,Alcohol abuse
Alcohol dependence and related disease,Eu10200,397801000006117,[X]Mental and behav dis due to use alcohol: dependence syndr
Alcohol dependence and related disease,Eu10211,362921000006118,[X]Alcohol addiction
Alcohol dependence and related disease,Eu10212,370971000006114,[X]Chronic alcoholism
Alcohol dependence and related disease,Eu10213,377081000006114,[X]Dipsomania
Alcohol dependence and related disease,Eu10300,397811000006119,[X]Mental and behav dis due to use alcohol: withdrawal state
Alcohol dependence and related disease,Eu10400,397211000006118,[X]Men & behav dis due alcohl: withdrawl state with delirium
Alcohol dependence and related disease,Eu10411,376451000006113,"[X]Delirium tremens, alcohol induced"
Alcohol dependence and related disease,Eu10500,397621000006111,Alcohol-induced psychosis
Alcohol dependence and related disease,Eu10511,362951000006110,Alcoholic hallucinosis
Alcohol dependence and related disease,Eu10512,362961000006112,[X]Alcoholic jealousy
Alcohol dependence and related disease,Eu10513,362971000006117,[X]Alcoholic paranoia
Alcohol dependence and related disease,Eu10514,362981000006119,[X]Alcoholic psychosis NOS
Alcohol dependence and related disease,Eu10600,397791000006118,Alcohol amnestic disorder
Alcohol dependence and related disease,Eu10611,394681000006119,Korsakoff's psychosis
Alcohol dependence and related disease,Eu10700,397201000006116,[X]Men & behav dis due alcoh: resid & late-onset psychot dis
Alcohol dependence and related disease,Eu10711,362941000006113,[X]Alcoholic dementia NOS
Alcohol dependence and related disease,Eu10712,370961000006119,[X]Chronic alcoholic brain syndrome
Alcohol dependence and related disease,Eu10800,315091000000117,Alcohol withdrawal-induced seizure
Alcohol dependence and related disease,Eu10y00,397241000006119,[X]Men & behav dis due to use alcohol: oth men & behav dis
Alcohol dependence and related disease,Eu10z00,397431000006111,[X]Ment & behav dis due use alcohol: unsp ment & behav dis
Alcohol dependence and related disease,F11x000,542611000006114,Cerebral degeneration due to alcoholism
Alcohol dependence and related disease,F11x011,297011014,Alcoholic encephalopathy
Alcohol dependence and related disease,F144000,478046010,Cerebellar ataxia due to alcoholism
Alcohol dependence and related disease,F25B.00,478024019,Alcohol-induced epilepsy
Alcohol dependence and related disease,F375.00,14103017,Alcohol-induced polyneuropathy
Alcohol dependence and related disease,F394100,476701000006114,Alcohol myopathy
Alcohol dependence and related disease,G555.00,138527014,Alcoholic cardiomyopathy
Alcohol dependence and related disease,G852300,453265010,Oesophageal varices in alcoholic cirrhosis of the liver
Alcohol dependence and related disease,J153.00,4525015,Alcoholic gastritis
Alcohol dependence and related disease,J610.00,83834016,Alcoholic fatty liver
Alcohol dependence and related disease,J611.00,17390014,Acute alcoholic hepatitis
Alcohol dependence and related disease,J612.00,476611000006116,Alcoholic cirrhosis of liver
Alcohol dependence and related disease,J612000,353594015,Alcoholic fibrosis and sclerosis of liver
Alcohol dependence and related disease,J613.00,303399018,Alcoholic liver damage
Alcohol dependence and related disease,J613000,353595019,Alcoholic hepatic failure
Alcohol dependence and related disease,J617.00,353587018,Alcoholic hepatitis
Alcohol dependence and related disease,J617000,451124014,Chronic alcoholic hepatitis
Alcohol dependence and related disease,J670800,353687012,Alcohol-induced acute pancreatitis
Alcohol dependence and related disease,J671000,353698013,Alcohol-induced chronic pancreatitis
Alcohol dependence and related disease,Z191.00,106878015,Alcohol detoxification
Alcohol dependence and related disease,Z191211,7613321000006119,Alcohol reduction programme
Alcohol dependence and related disease,Z4B1.00,461112017,Alcoholism counselling
Alcohol dependence and related disease,ZV11300,460276013,[V]Personal history of alcoholism
Alcohol dependence and related disease,ZV11311,346501000006111,History of substance abuse
Alcohol dependence and related disease,ZV57A00,460926018,[V]Alcohol rehabilitation
Alcohol dependence and related disease,ZV6D600,461112017,Alcoholism counselling
Allergic and chronic rhinitis,14B1.00,251711015,H/O: hay fever
Allergic and chronic rhinitis,H120.00,142764012,Chronic rhinitis
Allergic and chronic rhinitis,H120000,301176016,Chronic simple rhinitis
Allergic and chronic rhinitis,H120100,396095011,Chronic catarrhal rhinitis
Allergic and chronic rhinitis,H120200,301181013,Chronic hypertrophic rhinitis
Allergic and chronic rhinitis,H120300,301182018,Chronic atrophic rhinitis
Allergic and chronic rhinitis,H120400,301183011,Chronic infective rhinitis
Allergic and chronic rhinitis,H120500,301184017,Chronic ulcerative rhinitis
Allergic and chronic rhinitis,H120600,301185016,Chronic membranous rhinitis
Allergic and chronic rhinitis,H120700,301186015,Chronic fibrinous rhinitis
Allergic and chronic rhinitis,H120z00,301187012,Chronic rhinitis NOS
Allergic and chronic rhinitis,H13..11,1229598015,Chronic rhinosinusitis
Allergic and chronic rhinitis,H17..00,102311013,Allergic rhinitis
Allergic and chronic rhinitis,H17..11,224001000000114,Perennial allergic rhinitis
Allergic and chronic rhinitis,H17..12,477701000006111,Allergic rhinosinusitis
Allergic and chronic rhinitis,H170.00,481104016,Allergic rhinitis due to pollens
Allergic and chronic rhinitis,H170.11,817341000006110,Hay fever - pollens
Allergic and chronic rhinitis,H170.12,36447011,Pollinosis
Allergic and chronic rhinitis,H171.00,396097015,Allergic rhinitis due to other allergens
Allergic and chronic rhinitis,H171.11,348103016,Cat allergy
Allergic and chronic rhinitis,H171.12,348104010,Animal dander allergy
Allergic and chronic rhinitis,H171.13,348106012,Feather allergy
Allergic and chronic rhinitis,H171.14,348109017,Allergic rhinitis due to pollen
Allergic and chronic rhinitis,H171.15,348107015,House dust allergy
Allergic and chronic rhinitis,H171.16,348108013,House dust mite allergy
Allergic and chronic rhinitis,H171000,1495072016,Allergy to animal
Allergic and chronic rhinitis,H171100,634501000000119,Dog allergy
Allergic and chronic rhinitis,H172.00,396098013,Allergic rhinitis due to allergen
Allergic and chronic rhinitis,H172.11,348110010,Hay fever
Allergic and chronic rhinitis,H17z.00,301268012,Allergic rhinitis NOS
Allergic and chronic rhinitis,H18..00,14582019,Vasomotor rhinitis
Allergic and chronic rhinitis,H330.13,817361000006114,Hay fever with asthma
Allergic and chronic rhinitis,H330011,350153016,Hay fever with asthma
Allergic and chronic rhinitis,Hyu2000,301823011,Seasonal allergic rhinitis
Allergic and chronic rhinitis,Hyu2100,301824017,[X]Other allergic rhinitis
Alopecia areata and scarring alopecia,M240100,113328010,Alopecia areata
Alopecia areata and scarring alopecia,M240111,44741000006112,Ophiasis
Alopecia areata and scarring alopecia,M240B00,33266015,Alopecia totalis
Alopecia areata and scarring alopecia,M240K00,142888018,Alopecia universalis
Alopecia areata and scarring alopecia,M240U00,10759012,Ophiasis
Alopecia areata and scarring alopecia,M24X.00,557231000006116,Scarring alopecia
Alopecia areata and scarring alopecia,Myu6200,309354017,[X]Other alopecia areata
Alopecia areata and scarring alopecia,Myu6E00,309367019,Scarring alopecia
Ankylosing spondylitis,2377.00,253940015,On examination - ankylosing spondylitis chest deformity
Ankylosing spondylitis,388p.00,2692996011,Bath ankylosing spondylitis disease activity index score
Ankylosing spondylitis,388p000,2325761000000118,Bath ankylosing spondylitis functional index score
Ankylosing spondylitis,38QL.00,2326221000000110,Bath ankylosing spondylitis metrology index score
Ankylosing spondylitis,N045000,359312010,Juvenile ankylosing spondylitis
Ankylosing spondylitis,N100.00,16833013,Ankylosing spondylitis
Ankylosing spondylitis,N100.11,718001000006112,Marie - Strumpell spondylitis
Anxiety and phobia,1466.00,251630012,H/O: anxiety state
Anxiety and phobia,146G.00,2533632018,H/O: agoraphobia
Anxiety and phobia,173f.00,2287071000000115,Anxiety about breathlessness
Anxiety and phobia,1B1H.11,2665410014,Fear
Anxiety and phobia,1B1V.00,1488717011,C/O - panic attack
Anxiety and phobia,1Bb..00,370038014,Specific fear
Anxiety and phobia,225J.00,2549895012,O/E - panic attack
Anxiety and phobia,225K.00,2549835014,O/E - fearful mood
Anxiety and phobia,285..00,402503018,"Neurotic condition, insight present"
Anxiety and phobia,286..00,402505013,Poor insight into neurotic condition
Anxiety and phobia,8CAZ000,2335571000000115,Patient given advice about management of anxiety
Anxiety and phobia,8G52.00,283464017,Antiphobic therapy
Anxiety and phobia,8G94.00,342665019,Anxiety management training
Anxiety and phobia,8HHp.00,300681000000118,Referral for guided self-help for anxiety
Anxiety and phobia,8IH5300,2391581000000111,Referral for guided self-help for anxiety declined
Anxiety and phobia,8IH5700,2618401000000116,Referral for psychological management of anxiety declined
Anxiety and phobia,8T23.00,2618361000000113,Referral for psychological management of anxiety
Anxiety and phobia,9N54.00,285365017,Encounter for fear
Anxiety and phobia,E2...00,675921000006111,"Neurotic, personality and other nonpsychotic disorders"
Anxiety and phobia,E20..00,675881000006115,Neurotic disorder
Anxiety and phobia,E200.00,488201000006114,Anxiety disorder
Anxiety and phobia,E200000,294953016,Anxiety state unspecified
Anxiety and phobia,E200100,1210253015,Panic disorder
Anxiety and phobia,E200111,339044013,Panic attack
Anxiety and phobia,E200200,481154010,Generalised anxiety disorder
Anxiety and phobia,E200300,488211000006112,Mixed anxiety and depressive disorder
Anxiety and phobia,E200400,294960010,Chronic anxiety
Anxiety and phobia,E200500,294961014,Recurrent anxiety
Anxiety and phobia,E200z00,294963012,Anxiety state
Anxiety and phobia,E201B00,56251019,Compensation neurosis
Anxiety and phobia,E202.00,223631000000113,Phobic disorders
Anxiety and phobia,E202.11,138401000006119,Social phobic disorders
Anxiety and phobia,E202.12,223641000000116,Phobic anxiety disorder
Anxiety and phobia,E202000,294991016,Phobia
Anxiety and phobia,E202100,294992011,Agoraphobia with panic attacks
Anxiety and phobia,E202200,294993018,Agoraphobia without history of panic disorder
Anxiety and phobia,E202300,294994012,"Social phobia, fear of eating in public"
Anxiety and phobia,E202400,294995013,"Social phobia, fear of public speaking"
Anxiety and phobia,E202500,294996014,"Social phobia, fear of public washing"
Anxiety and phobia,E202600,97986013,Acrophobia
Anxiety and phobia,E202700,1231321013,Animal phobia
Anxiety and phobia,E202800,33475016,Claustrophobia
Anxiety and phobia,E202900,294998010,Fear of crowds
Anxiety and phobia,E202A00,370048011,Fear of flying
Anxiety and phobia,E202B00,485870016,Cancer phobia
Anxiety and phobia,E202C00,65032014,Dental phobia
Anxiety and phobia,E202D00,166341019,Fear of death
Anxiety and phobia,E202E00,295004011,Fear of pregnancy
Anxiety and phobia,E202z00,401780016,Phobic disorder
Anxiety and phobia,E206.00,1216885017,Depersonalisation syndrome
Anxiety and phobia,E207.00,30729012,Hypochondriasis
Anxiety and phobia,E20y100,295029017,Writer's cramp neurosis
Anxiety and phobia,E20y200,295031014,Other occupational neurosis
Anxiety and phobia,E20y300,295032019,Psychasthenic neurosis
Anxiety and phobia,E20yz00,295033012,Other neurotic disorder NOS
Anxiety and phobia,E20z.00,401783019,Neurotic disorder NOS
Anxiety and phobia,E26y000,295393016,Bruxism (teeth grinding)
Anxiety and phobia,E292000,441512015,Separation anxiety disorder
Anxiety and phobia,E292100,295498014,Adolescent emancipation disorder
Anxiety and phobia,E292200,295499018,Early adult emancipation disorder
Anxiety and phobia,E292311,401811016,Specific academic or work inhibition
Anxiety and phobia,E292400,1230451012,Adjustment reaction with anxious mood
Anxiety and phobia,Eu05400,403931000006116,Organic anxiety disorder
Anxiety and phobia,Eu34111,376741000006119,[X]Depressive neurosis
Anxiety and phobia,Eu34113,399961000006118,Depressive neurosis
Anxiety and phobia,Eu34114,419841000006116,[X]Persistant anxiety depression
Anxiety and phobia,Eu4..00,399981000006111,"[X]Neurotic, stress-related and somatoform disorders"
Anxiety and phobia,Eu40.00,296224013,[X]Phobic anxiety disorders
Anxiety and phobia,Eu40000,362871000006111,Agoraphobia
Anxiety and phobia,Eu40011,362881000006114,[X]Agoraphobia without history of panic disorder
Anxiety and phobia,Eu40012,418051000006118,[X]Panic disorder with agoraphobia
Anxiety and phobia,Eu40100,427071000006115,Social phobia
Anxiety and phobia,Eu40112,427061000006110,[X]Social neurosis
Anxiety and phobia,Eu40200,427231000006111,Specific phobia
Anxiety and phobia,Eu40211,362181000006117,[X]Acrophobia
Anxiety and phobia,Eu40212,363281000006117,[X]Animal phobias
Anxiety and phobia,Eu40213,371071000006117,[X]Claustrophobia
Anxiety and phobia,Eu40214,426871000006113,[X]Simple phobia
Anxiety and phobia,Eu40300,980191000006111,Needle phobia
Anxiety and phobia,Eu40y00,296236019,[X]Other phobic anxiety disorders
Anxiety and phobia,Eu40z00,296237011,"[X]Phobic anxiety disorder, unspecified"
Anxiety and phobia,Eu40z11,420631000006114,Phobic disorder
Anxiety and phobia,Eu40z12,420671000006112,[X]Phobic state NOS
Anxiety and phobia,Eu41.00,296238018,[X]Other anxiety disorders
Anxiety and phobia,Eu41000,296239014,[X]Panic disorder [episodic paroxysmal anxiety]
Anxiety and phobia,Eu41011,418031000006113,[X]Panic attack
Anxiety and phobia,Eu41012,418061000006116,[X]Panic state
Anxiety and phobia,Eu41100,388071000006116,[X]Generalized anxiety disorder
Anxiety and phobia,Eu41111,363651000006111,Anxiety neurosis
Anxiety and phobia,Eu41112,363671000006118,[X]Anxiety reaction
Anxiety and phobia,Eu41113,363681000006115,[X]Anxiety state
Anxiety and phobia,Eu41200,398561000006117,[X]Mixed anxiety and depressive disorder
Anxiety and phobia,Eu41211,398351000006110,[X]Mild anxiety depression
Anxiety and phobia,Eu41300,296245018,[X]Other mixed anxiety disorders
Anxiety and phobia,Eu41y00,401881014,[X]Other specified anxiety disorders
Anxiety and phobia,Eu41y11,363641000006114,[X]Anxiety hysteria
Anxiety and phobia,Eu41z00,296249012,"[X]Anxiety disorder, unspecified"
Anxiety and phobia,Eu41z11,363661000006113,[X]Anxiety NOS
Anxiety and phobia,Eu45215,400201000006111,[X]Nosophobia
Anxiety and phobia,Eu46100,376681000006119,Depersonalisation-derealisation syndrome
Anxiety and phobia,Eu46y00,401888015,[X]Other specified neurotic disorders
Anxiety and phobia,Eu46z00,296358015,Neurosis
Anxiety and phobia,Eu94000,296738019,Elective mutism
Anxiety and phobia,Eu94011,425821000006117,[X]Selective mutism
Anxiety and phobia,Z481.00,6025151000006114,Phobia counselling
Anxiety and phobia,Z4L1.00,6025521000006113,Anxiety counselling
Anxiety and phobia,ZS7C700,4997841000006117,Post-traumatic mutism
Anxiety and phobia,ZV11200,460275012,[V]Personal history of neurosis
Aortic aneurysm,14AE.00,251699010,H/O: aortic aneurysm
Aortic aneurysm,66f3.00,1795071000000116,Aortic aneurysm monitoring
Aortic aneurysm,7A11.00,173691000006116,Replacement of aneurysmal bifurcation of aorta
Aortic aneurysm,7A11000,639641000006113,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
Aortic aneurysm,7A11100,173461000006110,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
Aortic aneurysm,7A11200,639651000006110,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
Aortic aneurysm,7A11211,349689013,Y graft of abdominal aortic aneurysm - emergency
Aortic aneurysm,7A11300,173471000006115,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
Aortic aneurysm,7A11311,410960011,Y graft abdominal Aortic aneurysm
Aortic aneurysm,7A11y00,173711000006118,Replacement of aneurysmal bifurcation of aorta OS
Aortic aneurysm,7A11z00,271430018,Replacement of aneurysmal bifurcation of aorta NOS
Aortic aneurysm,7A13.00,271446014,Emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,7A13.11,271447017,Emergency repair of aortic aneurysm
Aortic aneurysm,7A13000,639731000006112,Emergency replacement of aneurysmal segment of ascending aorta by anastomosis of aorta to aorta
Aortic aneurysm,7A13100,639901000006118,Emergency replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta
Aortic aneurysm,7A13300,639811000006110,Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
Aortic aneurysm,7A13400,639721000006114,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
Aortic aneurysm,7A13411,349694013,Tube graft abdominal aortic aneurysm - emergency
Aortic aneurysm,7A13y00,640221000006110,Emergency replacement of aneurysmal segment of aorta OS
Aortic aneurysm,7A13z00,271456013,Emergency replacement of aneurysmal segment of aorta NOS
Aortic aneurysm,7A14.00,394307019,Other replacement of aneurysmal segment of aorta
Aortic aneurysm,7A14.11,349678018,Aortic aneurysm repair
Aortic aneurysm,7A14000,173451000006113,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
Aortic aneurysm,7A14100,173651000006110,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
Aortic aneurysm,7A14200,173431000006118,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14300,173411000006112,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14400,173441000006111,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14411,349693019,Tube graft of Abdominal aortic aneurysm
Aortic aneurysm,7A14y00,17401000006117,Other replacement of aneurysmal segment of aorta OS
Aortic aneurysm,7A14z00,271470013,Other replacement of aneurysmal segment of aorta NOS
Aortic aneurysm,7A15400,639351000006118,Emerg bypass abdominal aorta by anastom aorta to aorta NEC
Aortic aneurysm,7A19400,271511016,Operation on aneurysm of aorta NEC
Aortic aneurysm,7A1B.00,356341000000113,Transluminal operations on aneurysmal segment of aorta
Aortic aneurysm,7A1B000,1548161000006117,Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent
