Condition,OPCS4code,OPCS4codeDescr
Chronic sinusitis,E25.3,Diagnostic endoscopic examination of nasopharynx NEC
Chronic sinusitis,Y76.1,Functional endoscopic sinus surgery
Chronic sinusitis,Y76.2,Functional endoscopic nasal surgery
Chronic ulcer of the skin,S57.4,Dressing of skin NEC
Chronic viral hepatitis,X86.3,Hepatitis B treatment drugs Band 1
Collapsed vertebra,V44,Decompression of fracture of spine
Collapsed vertebra,V44.1,Complex decompression of fracture of spine
Collapsed vertebra,V44.2,Anterior decompression of fracture of spine
Collapsed vertebra,V44.3,Posterior decompression of fracture of spine NEC
Collapsed vertebra,V44.4,Vertebroplasty of fracture of spine
Collapsed vertebra,V44.5,Balloon kyphoplasty of fracture of spine
Collapsed vertebra,V44.8,Other specified decompression of fracture of spine
Collapsed vertebra,V44.9,Unspecified decompression of fracture of spine
Congenital cardiac disease,K04,Repair of tetralogy of Fallot
Congenital cardiac disease,K04.1,Repair of tetralogy of Fallot using valved right ventricular outflow conduit
Congenital cardiac disease,K04.2,Repair of tetralogy of Fallot using right ventricular outflow conduit NEC
Congenital cardiac disease,K04.3,Repair of tetralogy of Fallot using transannular patch
Congenital cardiac disease,K04.4,Revision of repair of tetralogy of Fallot
Congenital cardiac disease,K04.5,Repair of tetralogy of Fallot with absent pulmonary valve
Congenital cardiac disease,K04.6,Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals
Congenital cardiac disease,K04.8,Other specified repair of tetralogy of Fallot
Congenital cardiac disease,K04.9,Unspecified repair of tetralogy of Fallot
Congenital cardiac disease,K05,Atrial inversion operations for transposition of great arteries
Congenital cardiac disease,K06,Other repair of transposition of great arteries
Congenital cardiac disease,K06.9,Unspecified other repair of transposition of great arteries
Congenital cardiac disease,K08.2,Repair of Fallot-type double outlet right ventricle
Congenital cardiac disease,K09,Repair of defect of atrioventricular septum
Congenital cardiac disease,K09.1,Repair of defect of atrioventricular septum using dual prosthetic patches
Congenital cardiac disease,K09.2,Repair of defect of atrioventricular septum using prosthetic patch NEC
Congenital cardiac disease,K09.3,Repair of defect of atrioventricular septum using tissue graft
Congenital cardiac disease,K09.4,Repair of persistent ostium primum
Congenital cardiac disease,K09.5,Primary repair of defect of atrioventricular septum NEC
Congenital cardiac disease,K09.6,Revision of repair of defect of atrioventricular septum
Congenital cardiac disease,K09.8,Other specified repair of defect of atrioventricular septum
Congenital cardiac disease,K09.9,Unspecified repair of defect of atrioventricular septum
Congenital cardiac disease,K10,Repair of defect of interatrial septum
Congenital cardiac disease,K10.1,Repair of defect of interatrial septum using prosthetic patch
Congenital cardiac disease,K10.2,Repair of defect of interatrial septum using pericardial patch
Congenital cardiac disease,K10.3,Repair of defect of interatrial septum using tissue graft NEC
Congenital cardiac disease,K10.4,Primary repair of defect of interatrial septum NEC
Congenital cardiac disease,K10.5,Revision of repair of defect of interatrial septum
Congenital cardiac disease,K10.8,Other specified repair of defect of interatrial septum
Congenital cardiac disease,K10.9,Unspecified repair of defect of interatrial septum
Congenital cardiac disease,K11,Repair of defect of interventricular septum
Congenital cardiac disease,K11.1,Repair of defect of interventricular septum using prosthetic patch
Congenital cardiac disease,K11.2,Repair of defect of interventricular septum using pericardial patch
Congenital cardiac disease,K11.3,Repair of defect of interventricular septum using tissue graft NEC
Congenital cardiac disease,K11.4,Primary repair of defect of interventricular septum NEC
Congenital cardiac disease,K11.5,Revision of repair of defect of interventricular septum
Congenital cardiac disease,K11.6,Repair of multiple interventricular septal defects
Congenital cardiac disease,K11.7,Repair of interventricular septal defect using intraoperative transluminal prosthesis
Congenital cardiac disease,K11.8,Other specified repair of defect of interventricular septum
Congenital cardiac disease,K11.9,Unspecified repair of defect of interventricular septum
Congenital cardiac disease,K12,Repair of defect of unspecified septum of heart
Congenital cardiac disease,K12.1,Repair of defect of septum of heart using prosthetic patch NEC
Congenital cardiac disease,K12.2,Repair of defect of septum of heart using pericardial patch NEC
Congenital cardiac disease,K12.3,Repair of defect of septum of heart using tissue graft NEC
Congenital cardiac disease,K12.4,Primary repair of defect of septum of heart NEC
Congenital cardiac disease,K12.5,Revision of repair of septum of heart NEC
Congenital cardiac disease,K12.8,Other specified repair of defect of unspecified septum of heart
Congenital cardiac disease,K12.9,Unspecified repair of defect of unspecified septum of heart
Congenital cardiac disease,K13,Transluminal repair of defect of septum
Congenital cardiac disease,K13.1,Percutaneous transluminal repair of defect of interventricular septum using prosthesis
Congenital cardiac disease,K13.2,Percutaneous transluminal repair of defect of interventricular septum NEC
Congenital cardiac disease,K13.3,Percutaneous transluminal repair of defect of interatrial septum using prosthesis
Congenital cardiac disease,K13.4,Percutaneous transluminal repair of defect of interatrial septum NEC
Congenital cardiac disease,K13.5,Percutaneous transluminal repair of defect of unspecified septum using prosthesis
Congenital cardiac disease,K13.8,Other specified transluminal repair of defect of septum
Congenital cardiac disease,K13.9,Unspecified transluminal repair of defect of septum
Congenital cardiac disease,K14,Other open operations on septum of heart
Congenital cardiac disease,K14.1,Open enlargement of defect of atrial septum
Congenital cardiac disease,K14.2,Open atrial septostomy
Congenital cardiac disease,K14.3,Atrial septectomy
Congenital cardiac disease,K14.4,Surgical atrial septation
Congenital cardiac disease,K14.5,Open enlargement of defect of interventricular septum
Congenital cardiac disease,K14.8,Other specified other open operations on septum of heart
Congenital cardiac disease,K14.9,Unspecified other open operations on septum of heart
Congenital cardiac disease,K15,Closed operations on septum of heart
Congenital cardiac disease,K15.1,Closed enlargement of defect of atrial septum
Congenital cardiac disease,K15.2,Closed atrial septostomy
Congenital cardiac disease,K15.8,Other specified closed operations on septum of heart
Congenital cardiac disease,K15.9,Unspecified closed operations on septum of heart
Congenital cardiac disease,K16,Other therapeutic transluminal operations on septum of heart
Congenital cardiac disease,K16.1,Percutaneous transluminal balloon atrial septostomy
Congenital cardiac disease,K16.2,Percutaneous transluminal atrial septostomy NEC
Congenital cardiac disease,K16.3,Percutaneous transluminal atrial septum fenestration closure with prosthesis
Congenital cardiac disease,K16.4,Percutaneous transluminal atrial septum fenestration
Congenital cardiac disease,K16.5,Percutaneous transluminal closure of patent oval foramen with prosthesis
Congenital cardiac disease,K16.6,Percutaneous transluminal chemical mediated septal ablation
Congenital cardiac disease,K16.8,Other specified other therapeutic transluminal operations on septum of heart
Congenital cardiac disease,K16.9,Unspecified other therapeutic transluminal operations on septum of heart
Congenital cardiac disease,K17.5,Biventricular repair of hypoplastic left heart syndrome
Congenital cardiac disease,L01.1,Correction of persistent truncus arteriosus
Congenital cardiac disease,L01.2,Application of band to persistent truncus arteriosus
Congenital cardiac disease,L01.3,Repair of anomalous pulmonary artery origin from ascending aorta
Congenital cardiac disease,L23.7,Repair of interrupted aortic arch
Congenital cardiac disease,Z34.2,Aortic arch
Coronary heart disease,K40,Saphenous vein graft replacement of coronary artery
Coronary heart disease,K40.1,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,K40.2,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,K40.3,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,K40.9,Unspecified saphenous vein graft replacement of coronary artery
Coronary heart disease,K41,Other autograft replacement of coronary artery
Coronary heart disease,K41.1,Autograft replacement of one coronary artery NEC
Coronary heart disease,K41.2,Autograft replacement of two coronary arteries NEC
Coronary heart disease,K41.3,Autograft replacement of three coronary arteries NEC
Coronary heart disease,K41.4,Autograft replacement of four or more coronary arteries NEC
Coronary heart disease,K41.9,Unspecified other autograft replacement of coronary artery
Coronary heart disease,K42,Allograft replacement of coronary artery
Coronary heart disease,K42.1,Allograft replacement of one coronary artery
Coronary heart disease,K42.2,Allograft replacement of two coronary arteries
Coronary heart disease,K42.3,Allograft replacement of three coronary arteries
Coronary heart disease,K42.4,Allograft replacement of four or more coronary arteries
Coronary heart disease,K42.8,Other specified allograft replacement of coronary artery
Coronary heart disease,K42.9,Unspecified allograft replacement of coronary artery
Coronary heart disease,K43,Prosthetic replacement of coronary artery
Coronary heart disease,K43.1,Prosthetic replacement of one coronary artery
Coronary heart disease,K43.2,Prosthetic replacement of two coronary arteries
Coronary heart disease,K43.3,Prosthetic replacement of three coronary arteries
Coronary heart disease,K43.4,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,K43.9,Unspecified prosthetic replacement of coronary artery
Coronary heart disease,K44,Other replacement of coronary artery
Coronary heart disease,K44.1,Replacement of coronary arteries using multiple methods
Coronary heart disease,K44.8,Other specified other replacement of coronary artery
Coronary heart disease,K44.9,Unspecified other replacement of coronary artery
Coronary heart disease,K45.1,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,K45.4,Anastomosis of mammary artery to coronary artery NEC
Coronary heart disease,K45.5,Anastomosis of thoracic artery to coronary artery NEC
Coronary heart disease,K45.9,Unspecified connection of thoracic artery to coronary artery
Coronary heart disease,K46,Other bypass of coronary artery
Coronary heart disease,K46.3,Implantation of mammary artery into heart NEC
Coronary heart disease,K46.8,Other specified other bypass of coronary artery
Coronary heart disease,K46.9,Unspecified other bypass of coronary artery
Coronary heart disease,K47.1,Endarterectomy of coronary artery
Coronary heart disease,K48.3,Open angioplasty of coronary artery
Coronary heart disease,K49,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,K49.9,Unspecified transluminal balloon angioplasty of coronary artery
Coronary heart disease,K50.1,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,K50.4,Percutaneous transluminal atherectomy of coronary artery
Coronary heart disease,K50.8,Other specified other therapeutic transluminal operations on coronary artery
Coronary heart disease,K75.1,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery
Coronary heart disease,K75.3,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
Coronary heart disease,L66.5,Percutaneous transluminal balloon angioplasty of artery
Coronary heart disease,L71.1,Percutaneous transluminal angioplasty of artery
Coronary heart disease,L71.7,Percutaneous transluminal atherectomy
Coronary heart disease,L71.8,Other specified therapeutic transluminal operations on other artery
Coronary heart disease,L97.2,Peroperative angioplasty
Diabetic eye disease,C82.1,Cauterisation of lesion of retina
Diverticular disease of intestine,H12.1,Excision of diverticulum of colon
End stage renal disease,L74.6,Creation of graft fistula for dialysis
End stage renal disease,M01,Transplantation of kidney
End stage renal disease,M01.1,Autotransplantation of kidney
End stage renal disease,M01.2,Allotransplantation of kidney from live donor
End stage renal disease,M01.3,Allotransplantation of kidney from cadaver NEC
End stage renal disease,M01.4,Allotransplantation of kidney from cadaver heart beating
End stage renal disease,M01.5,Allotransplantation of kidney from cadaver heart non-beating
End stage renal disease,M01.8,Other specified transplantation of kidney
End stage renal disease,M01.9,Unspecified transplantation of kidney
End stage renal disease,M02.6,Excision of rejected transplanted kidney
End stage renal disease,M02.7,Excision of transplanted kidney NEC
End stage renal disease,M08.4,Exploration of transplanted kidney
End stage renal disease,M17,Interventions associated with transplantation of kidney
End stage renal disease,M17.2,Pre-transplantation of kidney work-up - recipient
End stage renal disease,M17.4,Post-transplantation of kidney examination - recipient
End stage renal disease,M17.8,Other specified interventions associated with transplantation of kidney
End stage renal disease,M17.9,Unspecified interventions associated with transplantation of kidney
End stage renal disease,X40,Compensation for renal failure
End stage renal disease,X40.1,Renal dialysis
End stage renal disease,X40.2,Peritoneal dialysis NEC
End stage renal disease,X40.3,Haemodialysis NEC
End stage renal disease,X40.5,Automated peritoneal dialysis
End stage renal disease,X40.6,Continuous ambulatory peritoneal dialysis
End stage renal disease,X41.1,Insertion of ambulatory peritoneal dialysis catheter
End stage renal disease,X41.2,Removal of ambulatory peritoneal dialysis catheter
End stage renal disease,X42.1,Insertion of temporary peritoneal dialysis catheter
Enthesopathies & synovial disorders,T64.8,Other specified transposition of tendon
Enthesopathies & synovial disorders,T74.4,Injection of therapeutic substance into tendon NEC
Enthesopathies & synovial disorders,T79.1,Plastic repair of rotator cuff of shoulder NEC
Enthesopathies & synovial disorders,T79.3,Revisional repair of rotator cuff NEC
Enthesopathies & synovial disorders,T79.4,Plastic repair of multiple tears of rotator cuff of shoulder
Erectile dysfunction,L93.3,Ligation of vein NEC
Erectile dysfunction,L97.1,Revascularisation for impotence
Erectile dysfunction,N32.6,Operations on penis for erectile dysfunction NEC
Female genital prolapse,P22,Repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P22.2,Anterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P22.3,Posterior colporrhaphy and amputation of cervix uteri NEC
Female genital prolapse,P22.9,Unspecified repair of prolapse of vagina and amputation of cervix uteri
Female genital prolapse,P23,Other repair of prolapse of vagina
Female genital prolapse,P23.1,Anterior and posterior colporrhaphy NEC
Female genital prolapse,P23.2,Anterior colporrhaphy NEC
Female genital prolapse,P23.3,Posterior colporrhaphy NEC
Female genital prolapse,P23.4,Repair of enterocele NEC
Female genital prolapse,P23.5,Paravaginal repair
Female genital prolapse,P23.6,Anterior colporrhaphy with mesh reinforcement
Female genital prolapse,P23.7,Posterior colporrhaphy with mesh reinforcement
Female genital prolapse,P23.8,Other specified other repair of prolapse of vagina
Female genital prolapse,P23.9,Unspecified other repair of prolapse of vagina
Female genital prolapse,P24,Repair of vault of vagina
Female genital prolapse,P24.2,Sacrocolpopexy
Female genital prolapse,P24.3,Repair of vault of vagina using abdominal approach NEC
Female genital prolapse,P24.4,Repair of vault of vagina using vaginal approach NEC
Female genital prolapse,P24.5,Repair of vault of vagina with mesh using abdominal approach
Female genital prolapse,P24.6,Repair of vault of vagina with mesh using vaginal approach
Female genital prolapse,P24.7,Sacrospinous fixation of vagina
Female genital prolapse,P24.8,Other specified repair of vault of vagina
Female genital prolapse,P24.9,Unspecified repair of vault of vagina
Female genital prolapse,P25.5,Suture of vagina
Female genital prolapse,P26,Introduction of supporting pessary into vagina
Female genital prolapse,P26.1,Insertion of Hodge pessary into vagina
Female genital prolapse,P26.2,Insertion of ring pessary into vagina
Female genital prolapse,P26.3,Removal of supporting pessary from vagina
Female genital prolapse,P26.4,Renewal of supporting pessary in vagina
Female genital prolapse,P26.8,Other specified introduction of supporting pessary into vagina
Female genital prolapse,P26.9,Unspecified introduction of supporting pessary into vagina
Fracture of hip,O17.1,Remanipulation of intracapsular fracture of neck of femur and fixation using nail or screw
Fracture of hip,U50.2,Delivery of rehabilitation for hip fracture
Fracture of hip,W19.1,Primary open reduction of fracture of neck of femur and open fixation using pin and plate
Fracture of hip,W24.1,Closed reduction of intracapsular fracture of neck of femur and fixation using nail or screw
Fracture of hip,W26.2,Manipulation of fracture of bone NEC
Gastro-oesophageal reflux disease,G24,Antireflux operations
Gastro-oesophageal reflux disease,G24.1,Antireflux fundoplication using thoracic approach
Gastro-oesophageal reflux disease,G24.2,Antireflux operation using thoracic approach NEC
Gastro-oesophageal reflux disease,G24.3,Antireflux fundoplication using abdominal approach
Gastro-oesophageal reflux disease,G24.4,Antireflux gastropexy
Gastro-oesophageal reflux disease,G24.5,Gastroplasty and antireflux procedure HFQ
Gastro-oesophageal reflux disease,G24.6,Insertion of Angelchick prosthesis
Gastro-oesophageal reflux disease,G24.8,Other specified antireflux operations
Gastro-oesophageal reflux disease,G24.9,Unspecified antireflux operations
Gastro-oesophageal reflux disease,G25,Revision of antireflux operations
Gastro-oesophageal reflux disease,G25.1,Revision of fundoplication of stomach
Gastro-oesophageal reflux disease,G25.2,Adjustment to Angelchick prosthesis
Gastro-oesophageal reflux disease,G25.3,Removal of Angelchick prosthesis
Gastro-oesophageal reflux disease,G25.8,Other specified revision of antireflux operations
Gastro-oesophageal reflux disease,G25.9,Unspecified revision of antireflux operations
Glaucoma,C60.1,Trabeculectomy
Glaucoma,C60.2,Inclusion of iris
Glaucoma,C60.3,Fixation of iris
Glaucoma,C60.4,Iridoplasty NEC
Glaucoma,C60.5,Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour
Glaucoma,C60.6,Viscocanulostomy
Glaucoma,C60.8,Other specified filtering operations on iris
Glaucoma,C60.9,Unspecified filtering operations on iris
Glaucoma,C61.1,Laser trabeculoplasty
Glaucoma,C61.2,Trabeculotomy
Glaucoma,C61.3,Goniotomy
Glaucoma,C61.4,Goniopuncture
Glaucoma,C61.5,Viscogonioplasty
Glaucoma,C61.8,Other specified other operations on trabecular meshwork of eye
Glaucoma,C61.9,Unspecified other operations on trabecular meshwork of eye
Glaucoma,C62.1,Iridosclerotomy
Glaucoma,C62.2,Surgical iridotomy
Glaucoma,C62.3,Laser iridotomy
Glaucoma,C62.4,Correction iridodialysis NEC
Glaucoma,C62.8,Other specified incision of iris
Glaucoma,C62.9,Unspecified incision of iris
Glaucoma,C65,Operations following glaucoma surgery
Glaucoma,C65.1,Needling of bleb
Glaucoma,C65.2,Injection of bleb
Glaucoma,C65.3,Revision of bleb NEC
Glaucoma,C65.4,Removal of releasable suture following glaucoma surgery
Glaucoma,C65.5,Laser suture lysis following glaucoma surgery
Glaucoma,C65.8,Other specified operations following glaucoma surgery
Glaucoma,C65.9,Unspecified operations following glaucoma surgery
Hearing loss,D05.5,Placement of hearing implant in external ear
Hearing loss,D05.6,Attention to hearing implant in external ear
Hearing loss,D05.7,Removal of hearing implant from external ear
Hearing loss,D13,Attachment of bone anchored hearing prosthesis
Hearing loss,D13.4,Attention to fixtures for bone anchored hearing prosthesis
Hearing loss,D13.9,Unspecified attachment of bone anchored hearing prosthesis
Hearing loss,D20.4,Placement of hearing implant in middle ear
Hearing loss,D20.5,Attention to hearing implant in middle ear
Hearing loss,D20.6,Removal of hearing implant in middle ear
Heart valve disease non-rheumatic,K25,Plastic repair of mitral valve
Heart valve disease non-rheumatic,K25.1,Allograft replacement of mitral valve
Heart valve disease non-rheumatic,K25.2,Xenograft replacement of mitral valve
Heart valve disease non-rheumatic,K25.3,Prosthetic replacement of mitral valve
Heart valve disease non-rheumatic,K25.4,Replacement of mitral valve NEC
Heart valve disease non-rheumatic,K25.5,Mitral valve repair NEC
Heart valve disease non-rheumatic,K25.8,Other specified plastic repair of mitral valve
Heart valve disease non-rheumatic,K25.9,Unspecified plastic repair of mitral valve
Heart valve disease non-rheumatic,K26,Plastic repair of aortic valve
Heart valve disease non-rheumatic,K26.1,Allograft replacement of aortic valve
Heart valve disease non-rheumatic,K26.4,Replacement of aortic valve NEC
Heart valve disease non-rheumatic,K26.5,Aortic valve repair NEC
Heart valve disease non-rheumatic,K26.8,Other specified plastic repair of aortic valve
Heart valve disease non-rheumatic,K26.9,Unspecified plastic repair of aortic valve
Heart valve disease non-rheumatic,K27,Plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K27.1,Allograft replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.2,Xenograft replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.3,Prosthetic replacement of tricuspid valve
Heart valve disease non-rheumatic,K27.4,Replacement of tricuspid valve NEC
Heart valve disease non-rheumatic,K27.6,Tricuspid valve repair NEC
Heart valve disease non-rheumatic,K27.8,Other specified plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K27.9,Unspecified plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K30.1,Revision of plastic repair of mitral valve
Heart valve disease non-rheumatic,K30.3,Revision of plastic repair of tricuspid valve
Heart valve disease non-rheumatic,K31.1,Open mitral valvotomy
Heart valve disease non-rheumatic,K31.2,Open aortic valvotomy
Heart valve disease non-rheumatic,K31.3,Open tricuspid valvotomy
Heart valve disease non-rheumatic,K32.1,Closed mitral valvotomy
Heart valve disease non-rheumatic,K32.2,Closed aortic valvotomy
Heart valve disease non-rheumatic,K32.3,Closed tricuspid valvotomy
Heart valve disease non-rheumatic,K34.1,Annuloplasty of mitral valve
Heart valve disease non-rheumatic,K34.2,Annuloplasty of tricuspid valve
Heart valve disease non-rheumatic,K34.5,Closure of tricuspid valve
Heart valve disease non-rheumatic,K35.1,Percutaneous transluminal mitral valvotomy
Heart valve disease non-rheumatic,K35.2,Percutaneous transluminal aortic valvotomy
Heart valve disease non-rheumatic,K35.3,Percutaneous transluminal tricuspid valvotomy
Heart valve disease non-rheumatic,K36.1,Tricuspid valvectomy
HIV,X86.6,Antiretroviral drugs Band 1
Hyperparathyroidism,B14,Excision of parathyroid gland
Hyperparathyroidism,B14.4,Partial parathyroidectomy NEC
Hyperparathyroidism,B14.8,Other specified excision of parathyroid gland
Hyperparathyroidism,B14.9,Unspecified excision of parathyroid gland
Hyperparathyroidism,B16.9,Unspecified other operations on parathyroid gland
Hypertension,X82,High cost hypertension drugs
Hypopituitarism,B01,Excision of pituitary gland
Hypopituitarism,B01.8,Other specified excision of pituitary gland
Hypopituitarism,B01.9,Unspecified excision of pituitary gland
Hypopituitarism,B02,Destruction of pituitary gland
Hyposplenism,J69,Total excision of spleen
Hyposplenism,J69.2,Total splenectomy
Hyposplenism,J69.8,Other specified total excision of spleen
Hyposplenism,J69.9,Unspecified total excision of spleen
Hyposplenism,J70,Other excision of spleen
Hyposplenism,J70.8,Other specified other excision of spleen
Hyposplenism,J70.9,Unspecified other excision of spleen
Intervertebral disc disorders,V24.3,Revisional decompression of thoracic spinal cord NEC
Intervertebral disc disorders,V24.9,Unspecified decompression operations on thoracic spine
Intervertebral disc disorders,V29,Primary excision of cervical intervertebral disc
Intervertebral disc disorders,V29.1,Primary laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V29.2,Primary hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V29.3,Primary fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,V29.4,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,V29.5,Primary anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,V29.6,Primary microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V29.8,Other specified primary excision of cervical intervertebral disc
Intervertebral disc disorders,V29.9,Unspecified primary excision of cervical intervertebral disc
Intervertebral disc disorders,V30,Revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V30.1,Revisional laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V30.2,Revisional hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,V30.3,Revisional fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,V30.4,Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,V30.5,Revisional anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,V30.6,Revisional microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,V30.8,Other specified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V30.9,Unspecified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,V31,Primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V31.1,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,V31.2,Primary anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,V31.3,Primary costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,V31.4,Primary percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,V31.8,Other specified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V31.9,Unspecified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,V32,Revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V32.1,Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,V32.2,Revisional anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,V32.3,Revisional costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,V32.4,Revisional percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,V32.8,Other specified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V32.9,Unspecified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,V33,Primary excision of lumbar intervertebral disc
