Disease,ICD10code,ICD10codeDescr
Primary Malignancy_Oro-pharyngeal,C05.2,Malignant neoplasm: Uvula
Primary Malignancy_Oro-pharyngeal,C05.9,"Malignant neoplasm: Palate, unspecified"
Primary Malignancy_Oro-pharyngeal,C05.8,Malignant neoplasm: Overlapping lesion of palate
Primary Malignancy_Oro-pharyngeal,C06.2,Malignant neoplasm: Retromolar area
Primary Malignancy_Oro-pharyngeal,C06.9,"Malignant neoplasm: Mouth, unspecified"
Primary Malignancy_Oro-pharyngeal,C09.9,"Malignant neoplasm: Tonsil, unspecified"
Primary Malignancy_Oro-pharyngeal,C09.8,Malignant neoplasm: Overlapping lesion of tonsil
Primary Malignancy_Oro-pharyngeal,C09.0,Malignant neoplasm: Tonsillar fossa
Primary Malignancy_Oro-pharyngeal,C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
Primary Malignancy_Oro-pharyngeal,C10.0,Malignant neoplasm: Vallecula
Primary Malignancy_Oro-pharyngeal,C10.1,Malignant neoplasm: Anterior surface of epiglottis
Primary Malignancy_Oro-pharyngeal,C10.8,Malignant neoplasm: Overlapping lesion of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.2,Malignant neoplasm: Lateral wall of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.3,Malignant neoplasm: Posterior wall of oropharynx
Primary Malignancy_Oro-pharyngeal,C10.9,"Malignant neoplasm: Oropharynx, unspecified"
Primary Malignancy_Oro-pharyngeal,C11.0,Malignant neoplasm: Superior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.1,Malignant neoplasm: Posterior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.2,Malignant neoplasm: Lateral wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.3,Malignant neoplasm: Anterior wall of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.8,Malignant neoplasm: Overlapping lesion of nasopharynx
Primary Malignancy_Oro-pharyngeal,C11.9,"Malignant neoplasm: Nasopharynx, unspecified"
Primary Malignancy_Oro-pharyngeal,C13.0,Malignant neoplasm: Postcricoid region
Primary Malignancy_Oro-pharyngeal,C13.2,Malignant neoplasm: Posterior wall of hypopharynx
Primary Malignancy_Oro-pharyngeal,C13.9,"Malignant neoplasm: Hypopharynx, unspecified"
Primary Malignancy_Oro-pharyngeal,C14.0,"Malignant neoplasm: Pharynx, unspecified"
Primary Malignancy_Oro-pharyngeal,C14.2,Malignant neoplasm: Waldeyer ring
Primary Malignancy_Oro-pharyngeal,C14.8,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
Primary Malignancy_Oro-pharyngeal,C32.0,Malignant neoplasm: Glottis
Primary Malignancy_Oro-pharyngeal,C32.1,Malignant neoplasm: Supraglottis
Primary Malignancy_Oro-pharyngeal,C32.2,Malignant neoplasm: Subglottis
Primary Malignancy_Oro-pharyngeal,C32.3,Malignant neoplasm: Laryngeal cartilage
Primary Malignancy_Oro-pharyngeal,C32.8,Malignant neoplasm: Overlapping lesion of larynx
Primary Malignancy_Oro-pharyngeal,C32.9,"Malignant neoplasm: Larynx, unspecified"
