ProdCode,Gemscript,ProdName,BNF_code,BNF_header
4207,80550020,Elleste Duet 2mg tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
2766,81290020,Climesse tablets (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
390,56922020,Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
1922,61012020,Hormonin Tablet (Shire Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
3530,79436020,Femoston 1/10mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
2597,52507020,Premarin 0.625mg/g vaginal cream (Pfizer Ltd),06040101,Oestrogens And Hrt
1797,79408020,Oestrogel 0.06% Gel (Aventis Pharma),06040101,Oestrogens And Hrt
3960,61597020,Conjugated oestrogens 1.25mg tablets,06040101,Oestrogens And Hrt
1568,79535020,Tridestra tablets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
3553,79437020,Femoston 2/10mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
5195,86394020,Femoston-conti 1mg/5mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
4244,84855020,Evorel Sequi patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
3179,58119020,Progynova 1mg tablets (Bayer Plc),06040101,Oestrogens And Hrt
1489,74397020,Evorel -75 75microgram/24 hr(4.8mg/unit) Transdermal patch (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
2397,77626020,Evorel -100 100microgram/24 hr (6.4mg/unit) Transdermal patch (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
2141,74396020,Evorel -25 25microgram/24hr (1.6mg/unit) Transdermal patch (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
4326,58120020,Progynova 2mg tablets (Bayer Plc),06040101,Oestrogens And Hrt
3036,58116020,Cyclo-Progynova 2mg tablets (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
2111,56923020,Climagest 2mg tablets (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
3387,81875020,Estraderm MX 25 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
4956,61004020,Estradiol 1mg tablets,06040101,Oestrogens And Hrt
6622,56939020,Zumenon 2mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
7381,61003020,Estradiol 2mg tablets,06040101,Oestrogens And Hrt
7001,72223020,Estradiol valerate 2mg tablets,06040101,Oestrogens And Hrt
2457,72222020,Estradiol valerate 1mg tablets,06040101,Oestrogens And Hrt
4882,81877020,Estraderm MX 100 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
38932,95909020,Evorel 50 patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
2140,80507020,FemSeven 50 patches (Teva UK Ltd),06040101,Oestrogens And Hrt
3433,84798020,Sandrena 0.10% Gel (Organon Laboratories Ltd),06040101,Oestrogens And Hrt
35091,93077020,Oestrogel Pump-Pack 0.06% gel (Marlborough Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
5931,79469020,Evista 60mg tablets (Daiichi Sankyo UK Ltd),06040101,Oestrogens And Hrt
2977,52480020,Estradiol 50mg implant,06040101,Oestrogens And Hrt
6041,79410020,Estradiol 0.06% gel,06040101,Oestrogens And Hrt
9224,65144020,Norgestrel and conjugated oestrogens (equine) 150micrograms + 625micrograms Tablet,06040101,Oestrogens And Hrt
7388,56940020,Zumenon 1mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
5755,84978020,Elleste Solo MX 40 transdermal patches (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
6030,76552020,Nuvelle Continuous tablets (Bayer Plc),06040101,Oestrogens And Hrt
38935,95911020,Evorel 25 patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
5012,79381020,Estradiol 2mg / Norethisterone acetate 1mg tablets,06040101,Oestrogens And Hrt
9047,79283020,Fematrix 80 patches (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
5292,80196020,Fematrix 40 patches (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
4977,83257020,Estraderm MX 75 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
932,69539020,Conjugated oestrogens 625micrograms/g vaginal cream,06040101,Oestrogens And Hrt
1774,52536020,Menophase Tablet (Pharmacia Ltd),06040101,Oestrogens And Hrt
6545,81044020,FemSeven Conti patches (Teva UK Ltd),06040101,Oestrogens And Hrt
9649,84982020,Elleste Solo MX 80 transdermal patches (Meda Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
35198,93240020,Premarin 0.3mg tablets (Pfizer Ltd),06040101,Oestrogens And Hrt
38940,95913020,Evorel 75 patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
38965,95915020,Evorel 100 patches (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
7175,81100020,Indivina 1mg/2.5mg tablets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
9181,58557020,Estring 2mg vaginal ring (Pfizer Ltd),06040101,Oestrogens And Hrt
39622,96648020,Hormonin tablets (Amdipharm Plc),06040101,Oestrogens And Hrt
9905,83921020,FemSeven Sequi patches (Teva UK Ltd),06040101,Oestrogens And Hrt
10180,88756020,Estradot 50micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
6861,81099020,Indivina 1mg/5mg tablets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
6082,86126020,FemSeven 75 patches (Teva UK Ltd),06040101,Oestrogens And Hrt
5005,69397020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
6177,86130020,FemSeven 100 patches (Teva UK Ltd),06040101,Oestrogens And Hrt
9268,76737020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
4466,80665020,Progynova TS 50microgram/24hr (3.8mg/unit) Transdermal patch (Schering Health Care Ltd),06040101,Oestrogens And Hrt
9671,81101020,Indivina 2mg/5mg tablets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
7242,79411020,Estradiol 0.1% gel,06040101,Oestrogens And Hrt
40643,97267020,Sandrena 1mg gel sachets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
9235,65145020,Norgestrel and conjugated oestrogens (equine) 150micrograms + 1.25mg Tablet,06040101,Oestrogens And Hrt
9684,80200020,Femapak 80 (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
10946,78903020,Menorest 50 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
6603,61009020,Estradiol with estrone and estriol tablets,06040101,Oestrogens And Hrt
3131,81095020,Femapak 40 (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
6059,74765020,Estradiol 100micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
10126,88752020,Estradot 25micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
10096,88760020,Estradot 100micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
5100,69398020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
10076,88758020,Estradot 75micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
12788,79383020,Estradiol 1mg / Norethisterone acetate 500microgram tablets,06040101,Oestrogens And Hrt
40606,97263020,Sandrena 500microgram gel sachets (Orion Pharma (UK) Ltd),06040101,Oestrogens And Hrt
18901,90883020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
8162,76113020,Estradiol with norethisterone 0mcg/24hours(3.2mg/unit) with 1mg patch with tablet,06040101,Oestrogens And Hrt
8837,52479020,Estradiol 25mg implant,06040101,Oestrogens And Hrt
16493,89178020,Angeliq tablets (Bayer Plc),06040101,Oestrogens And Hrt
10052,84963020,Progynova TS 50micrograms/24hours transdermal patches (Bayer Plc),06040101,Oestrogens And Hrt
13582,78904020,Menorest 75 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
14792,81862020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
10967,78902020,Menorest 37.5 patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
9413,57503020,Estradiol valerate and (estradiol valerate with norethisterone) 1mg with (1mg with 1mg) tablets,06040101,Oestrogens And Hrt
4467,80666020,Progynova TS 100microgram/24 hr (7.6mg/unit) Transdermal patch (Schering Health Care Ltd),06040101,Oestrogens And Hrt
13146,83605020,Novofem tablets (Novo Nordisk Ltd),06040101,Oestrogens And Hrt
4721,69399020,Estradiol 75micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
12807,79382020,Estradiol with norethisterone acetate ( continuous combined) 2mg with 0.7mg tablets,06040101,Oestrogens And Hrt
15328,90879020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
1760,51244020,Prempak 0.625 Tablet (Wyeth Pharmaceuticals),06040101,Oestrogens And Hrt
5759,69403020,Estradiol 100micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
19487,88754020,Estradot 37.5micrograms/24hours patches (Novartis Pharmaceuticals UK Ltd),06040101,Oestrogens And Hrt
6793,74767020,Estradiol 40micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
6601,69402020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
11297,65289020,Estradiol valerate and (estradiol valerate with levonorgestrel) 2mg with (2mg with 75micrograms) tablets,06040101,Oestrogens And Hrt
12713,57504020,Estradiol valerate and (estradiol valerate with norethisterone) 2mg with (2mg with 1 mg) tablets,06040101,Oestrogens And Hrt
9976,56953020,Estradiol with (estradiol with norethisterone acetate) 50mcg/24 hr with (50mcg+250mcg/24 hr) twice weekly patch,06040101,Oestrogens And Hrt
11157,79440020,Estradiol and (estradiol with dydrogesterone) 1mg with (1mg with 10mg) tablets,06040101,Oestrogens And Hrt
14027,77080020,Estradiol with (estradiol with norethisterone acetate) 1mg with (1mg with 1mg) tablets,06040101,Oestrogens And Hrt
11672,81861020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
9901,76753020,Progynova TS 100micrograms/24hours transdermal patches (Bayer Plc),06040101,Oestrogens And Hrt
11375,80632020,Estradiol 50micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
17529,53144020,Estradiol 2mg vaginal ring,06040101,Oestrogens And Hrt
40848,97265020,Estradiol 1mg gel sachets,06040101,Oestrogens And Hrt
35718,93238020,Conjugated oestrogens 300microgram tablets,06040101,Oestrogens And Hrt
18218,90889020,Estradiol 100micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
18383,74766020,Estradiol 80micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
11642,65290020,Estradiol valerate and (estradiol valerate with levonorgestrel) 1mg with (1mg with 250micrograms) tablets,06040101,Oestrogens And Hrt
14950,82229020,Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
19429,80108020,Conjugat oestrogen equi and (conjugat oestrogen equi with medroxyprogesterone acetate 625 micrograms with (625 microgram with 10 mg),06040101,Oestrogens And Hrt
12953,82849020,Estradiol 1mg / Dydrogesterone 5mg tablets,06040101,Oestrogens And Hrt
40836,97261020,Estradiol 500microgram gel sachets,06040101,Oestrogens And Hrt
37697,90863020,Estradiol 50micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
11511,79441020,Estradiol and (estradiol with dydrogesterone) 2mg with (2mg with 10 mg) tablets,06040101,Oestrogens And Hrt
18600,90885020,Estradiol 75micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
14569,70660020,Estradiol and (estradiol with norethisterone) and (estradiol) 2mg with (2mg with 1mg) tablets,06040101,Oestrogens And Hrt
24917,84804020,Estradiol valerate 2mg / Norethisterone 700microgram tablets,06040101,Oestrogens And Hrt
6563,80636020,Estradiol 75micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
19974,81042020,Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
7251,78218020,FemTab 1mg tablets (Merck Serono Ltd),06040101,Oestrogens And Hrt
22741,69569020,Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets,06040101,Oestrogens And Hrt
12773,81863020,Estradiol 100micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
15869,84436020,Dermestril 50 patches (ProStrakan Ltd),06040101,Oestrogens And Hrt
37692,90861020,Estradiol 25micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
18009,80633020,Estradiol 50micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
16367,79539020,Estradiol valerate 1mg / Medroxyprogesterone 2.5mg tablets,06040101,Oestrogens And Hrt
20155,90881020,Estradiol 50micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
18530,70657020,Estradiol valerate and (estradiol valerate with norgestrel) 2mg with (2mg with 500micrograms) tablets,06040101,Oestrogens And Hrt
6538,78200020,FemTab 2mg tablets (Merck Serono Ltd),06040101,Oestrogens And Hrt
14812,56955020,Estradiol with (estradiol with norethisterone acetate) 50mcg/24 hr with (50mcg+170mcg/24 hr) twice weekly patch,06040101,Oestrogens And Hrt
16997,80133020,Estradiol with (estradiol with norethisterone acetate) 2mg with (2mg with 1 mg) tablets,06040101,Oestrogens And Hrt
12661,79537020,Estradiol valerate with medroxyprogesterone acetate tablets,06040101,Oestrogens And Hrt
17293,80766020,Improvera 1.5mg+10mg Tablet (Pharmacia Ltd),06040101,Oestrogens And Hrt
22335,80637020,Estradiol 100micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
18502,83253020,Estradiol 75micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
28230,90713020,Clinorette tablets (ReSource Medical UK Ltd),06040101,Oestrogens And Hrt
18167,79241020,Estradiol valerate and (estradiol valerate with medroxyprogesterone acetate) with placebo 2mg with (2mg with 20mg) with 7 placebo tablets,06040101,Oestrogens And Hrt
13945,84154020,Estradiol and (estradiol with levonorgestrel) 80mcg/24hrs with (50mcg+20mcg/24hr) twice weekly patch,06040101,Oestrogens And Hrt
15194,84437020,Dermestril 100 patches (ProStrakan Ltd),06040101,Oestrogens And Hrt
16392,81103020,Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets,06040101,Oestrogens And Hrt
19432,79538020,Estradiol valerate 1mg / Medroxyprogesterone 5mg tablets,06040101,Oestrogens And Hrt
19986,79259020,Estradiol and (estradiol with levonorgestrel) 50mcg/24hrs with (50mcg+10mcg/24hrs) once weekly patch,06040101,Oestrogens And Hrt
37037,90867020,Estradiol 100micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
19145,80121020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
22975,89176020,Estradiol 1mg / Drospirenone 2mg tablets,06040101,Oestrogens And Hrt
16437,80634020,Estradiol 100micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
37033,90865020,Estradiol 75micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
14580,84435020,Dermestril 25 patches (ProStrakan Ltd),06040101,Oestrogens And Hrt
15100,80120020,Estradiol 37.5micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
14234,88744020,Estradiol 37.5micrograms/24hours transdermal patches,06040101,Oestrogens And Hrt
35742,90887020,Estradiol 100micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
12970,69570020,Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets,06040101,Oestrogens And Hrt
16443,78209020,FemTab Continuous tablets (Merck Serono Ltd),06040101,Oestrogens And Hrt
49985,45388020,Femoston-conti 0.5mg/2.5mg tablets (Abbott Healthcare Products Ltd),06040101,Oestrogens And Hrt
11363,79442020,Estradiol and (estradiol with dydrogesterone) 2mg with (2mg with 20mg) tablets,06040101,Oestrogens And Hrt
12907,77315020,Estradiol and (estradiol with dydrogesterone) tablets 1mg with 5mg,06040101,Oestrogens And Hrt
35958,90697020,Bedol 2mg tablets (ReSource Medical UK Ltd),06040101,Oestrogens And Hrt
9234,84856020,Evorel sequi 50microgram/24hr (3.2mg/unit) Transdermal patch (Janssen-Cilag Ltd),06040101,Oestrogens And Hrt
18437,80122020,Estradiol 75micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
56468,06804020,Oestrogel Pump-Pack 0.06% gel (Waymade Healthcare Plc),06040101,Oestrogens And Hrt
22372,79635020,Estradiol 80micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets,06040101,Oestrogens And Hrt
18311,61015020,Estriol 250micrograms tablets,06040101,Oestrogens And Hrt
20888,82526020,Adgyn Estro 2mg tablets (ProStrakan Ltd),06040101,Oestrogens And Hrt
11882,88746020,Estradiol 50micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
23152,79636020,Estradiol 40micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets,06040101,Oestrogens And Hrt
14596,70661020,Estradiol and (estradiol with norethisterone) and (estradiol) triphasic forte 4mg with (4mg with 1mg) with (1mg) tablets,06040101,Oestrogens And Hrt
19135,54179020,Estradiol 50mg implant (Merck Sharp & Dohme Ltd),06040101,Oestrogens And Hrt
15298,88742020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
24764,79116020,Estradiol and (estradiol with norethisterone) 2mg with (2mg with 1mg) tablets,06040101,Oestrogens And Hrt
34749,52739020,Prempak 1.25 Tablet (Wyeth Pharmaceuticals),06040101,Oestrogens And Hrt
11430,80638020,Estradiol 25micrograms/24hr once weekly patch,06040101,Oestrogens And Hrt
56480,10274020,Evorel Conti patches (Waymade Healthcare Plc),06040101,Oestrogens And Hrt
20895,84163020,Dermestril - Septem 50 patches (ProStrakan Ltd),06040101,Oestrogens And Hrt
20135,88748020,Estradiol 75micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
34174,86956020,Conjugated oestrogens equine with medroxyprogesterone acetate 625micrograms with 10mg tablets,06040101,Oestrogens And Hrt
5343,69404020,Estradiol 25micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
7978,66437020,Pentovis 250microgram Capsule (Warner Lambert UK Ltd),06040101,Oestrogens And Hrt
32248,80768020,Piperazine oestrone sulphate 1.5mg with medroxyprogesterone 10mg tablet,06040101,Oestrogens And Hrt
15880,84164020,Dermestril - Septem 75 patches (ProStrakan Ltd),06040101,Oestrogens And Hrt
13990,78741020,Estradiol with norethisterone acetate 50mcg/24hours(4mg/unit) with 1mg patch with tablet,06040101,Oestrogens And Hrt
28811,75773020,Mestranol with norethisterone Tablet,06040101,Oestrogens And Hrt
26049,88750020,Estradiol 100micrograms/24hr twice weekly patch,06040101,Oestrogens And Hrt
42515,61005020,Estradiol 40micrograms/24 hourspatch,06040101,Oestrogens And Hrt
8777,62487020,Dienestrol 1mg tablets,06040101,Oestrogens And Hrt
41390,56954020,Estradiol with (estradiol with norethisterone acetate) twice weekly patch,06040101,Oestrogens And Hrt
32930,84162020,Dermestril septem 25microgram/24hr Transdermal patch (Strakan Ltd),06040101,Oestrogens And Hrt
49757,39537020,FemSeven Conti patches (Lexon (UK) Ltd),06040101,Oestrogens And Hrt
8873,66434020,Quinestradol 250micrograms capsule,06040101,Oestrogens And Hrt
55551,45387020,Estradiol 500micrograms / Dydrogesterone 2.5mg tablets,06040101,Oestrogens And Hrt
29449,60999020,Estradiol 1mg/ml injection,06040101,Oestrogens And Hrt
51546,39313020,Climaval 2mg tablets (Lexon (UK) Ltd),06040101,Oestrogens And Hrt
52306,11364020,Femoston-conti 1mg/5mg tablets (Stephar (U.K.) Ltd),06040101,Oestrogens And Hrt
29573,62488020,Dienestrol 5mg tablets,06040101,Oestrogens And Hrt
31330,61000020,Estradio; 5m/ml injection,06040101,Oestrogens And Hrt
49694,06703020,Estraderm TTS 25 patches (Doncaster Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
50200,12101020,Climagest 1mg tablets (Sigma Pharmaceuticals Plc),06040101,Oestrogens And Hrt
51201,06732020,Estradot 50micrograms/24hours patches (Necessity Supplies Ltd),06040101,Oestrogens And Hrt
51688,10276020,Evorel Conti patches (Lexon (UK) Ltd),06040101,Oestrogens And Hrt
51978,06706020,Estraderm MX 25 patches (Stephar (U.K.) Ltd),06040101,Oestrogens And Hrt
52174,06723020,Estradot 50micrograms/24hours patches (Sigma Pharmaceuticals Plc),06040101,Oestrogens And Hrt
52480,39510020,Estraderm MX 25 patches (Lexon (UK) Ltd),06040101,Oestrogens And Hrt
54456,78182020,Estradiol valerate with norgestrel 2mg+500micrograms tablets,06040101,Oestrogens And Hrt
52441,10277020,Evorel Conti patches (Doncaster Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
52813,06645020,Nuvelle TS Phase I patches (Bayer Plc),06040101,Oestrogens And Hrt
54425,06805020,Oestrogel Pump-Pack 0.06% gel (Doncaster Pharmaceuticals Ltd),06040101,Oestrogens And Hrt
56056,12544020,Generic Elleste Duet 1mg tablets,06040101,Oestrogens And Hrt
56081,12919020,Generic Femoston 1/10mg tablets,06040101,Oestrogens And Hrt
2641,53182020,Ovestin 1mg cream (Merck Sharp & Dohme Ltd),07020150,"Oestrogens, Topical"
51206,09708020,Ovestin 1mg cream (Waymade Healthcare Plc),07020150,"Oestrogens, Topical"
931,58571020,Ortho-gynest 0.01% Cream (Janssen-Cilag Ltd),07020100,Preparations For Vaginal And Vulval Changes
933,62483020,Dienestrol 0.01% vaginal cream,07020100,Preparations For Vaginal And Vulval Changes
1052,53034020,Ortho dienoestrol 0.01%w/w Cream (Janssen-Cilag Ltd),07020100,Preparations For Vaginal And Vulval Changes
2589,62484020,Dienestrol 0.025% vaginal cream,07020100,Preparations For Vaginal And Vulval Changes
10679,62491020,Hormofemin 0.03% Cream (Manufacturer unknown),07020100,Preparations For Vaginal And Vulval Changes
2793,58115020,Cyclo-Progynova 1mg tablets (Meda Pharmaceuticals Ltd),00000000,Unknown
2059,49778020,Harmogen 1.5mg tablets (Pfizer Ltd),00000000,Unknown
1691,80106020,Premique Cycle 0.625mg/10mg tablets (Pfizer Ltd),00000000,Unknown
7604,02052007,PREMARIN 0.625MG/NORGESTREL 0.15MG MG TAB,00000000,Unknown
2452,58042020,Trisequens Forte tablets (Novo Nordisk Ltd),00000000,Unknown
2433,51241020,Premarin 2.5mg tablets (Wyeth Pharmaceuticals),00000000,Unknown
8770,79438020,Femoston 2/20mg tablets (Abbott Healthcare Products Ltd),00000000,Unknown
2728,76110020,Evorel Pak (Janssen-Cilag Ltd),00000000,Unknown
7619,03253007,PREMARIN 1.25MG/NORGESTREL 0.15MG MG TAB,00000000,Unknown
12138,61598020,Conjugated oestrogens 2.5mg tablets,00000000,Unknown
8465,50954020,Ovestin 1mg tablets (Organon Laboratories Ltd),00000000,Unknown
20804,!5817301,PREMPAK-C,00000000,Unknown
19681,!5815105,PREMARIN,00000000,Unknown
19544,!5815104,PREMARIN VAGINAL CREAM,00000000,Unknown
19576,!5208501,ORTHO-GYNEST,00000000,Unknown
16688,04636007,OVESTIN .25 MG TAB,00000000,Unknown
22473,!5815101,PREMARIN (CALENDAR PACK),00000000,Unknown
25215,!8504307,KLIOVANCE,00000000,Unknown
23610,!5817302,PREMPAK-C,00000000,Unknown
