"Condition","Prodcode","Gemscriptcode","ProductName","Aurum"
"Painful conditions",354,"78857020","Morphine sulfate 100mg/50ml solution for infusion vials","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",360,"48494020","Brufen 100mg/5ml syrup (Mylan)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",382,"52433020","Codeine 15mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",387,"51745020","Surgam 200mg tablets (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",389,"63883020","Ketoprofen 50mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",392,"53037020","Ibuprofen 200mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",402,"85651020","Nurofen 200mg Tablet (Crookes Healthcare Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",407,"68366020","Brufen 600mg effervescent granules sachets (Mylan)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",416,"59354020","Ibuprofen 200mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",417,"72775020","Diclofenac 50mg dispersible tablets sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",423,"69168020","Pethidine 50mg/ml injection","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",447,"52256020","Diclofenac sodium 75mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",458,"70481020","Morphine 15mg Suppository","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",462,"55572020","Codeine 60mg/1ml solution for injection ampoules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",474,"79023020","Celecoxib 100mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",483,"58898020","Co-proxamol (dextropropoxyphene and paracetamol) 32.5mg with 325mg/5ml oral suspension sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",495,"50521020","MST Continus 10mg tablets (Napp Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",497,"83709020","Voltarol 25mg gastro-resistant tablets (Novartis Pharmaceuticals UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",499,"76045020","Diclofenac 50mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",526,"81068020","Aceclofenac 100mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",539,"52435020","Codeine 60mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",560,"62515020","Diflunisal 250mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",580,"83822020","Diclofenac sodium 75mg modified-release tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",586,"80144020","Ibuprofen 200mg Capsule","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",589,"72769020","Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",597,"79362020","Diclofenac potassium 50mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",607,"56810020","MST Continus Suspension 20mg granules sachets (Napp Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",612,"50464020","Dicloflex 25mg gastro-resistant tablets (Dexcel-Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",620,"76085020","Fentanyl 25micrograms/hour transdermal patches","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",625,"60973020","Co-codamol 8mg/500mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",628,"79361020","Diclofenac potassium 25mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",635,"55573020","Codeine 30mg/1ml solution for injection ampoules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",647,"63502020","Ibuprofen 100mg/5ml oral suspension","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",649,"83871020","Diclofenac sodium 25mg gastro-resistant tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",650,"77851020","Etoricoxib 60mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",655,"68486020","Morphine sulfate 10mg/5ml oral solution unit dose vials sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",656,"68282020","Tylex 30mg/500mg capsules (UCB Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",659,"70482020","Morphine 30mg Suppository","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",661,"58922020","Naproxen 250mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",676,"72315020","Diclofenac 75mg/3ml solution for injection ampoules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",685,"56280020","Aspav dispersible tablets (Actavis UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",687,"87622020","Tramacet 37.5mg/325mg tablets (Grunenthal Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",701,"79973020","Tramadol 50mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",715,"78856020","Morphine sulphate 1mg/ml Injection","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",736,"58914020","Indometacin 50mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",748,"76080020","Durogesic 25micrograms transdermal patches (Janssen-Cilag Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",754,"81659020","Mobic 7.5mg suppositories (Boehringer Ingelheim Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",757,"76086020","Fentanyl 50micrograms/hour transdermal patches","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",759,"48519020","Calpol infant 120mg/5ml Liquid (McNeil Products Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",767,"73729020","Solpadol 30mg/500mg capsules (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",784,"63501020","Ibuprofen 300mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",800,"80053020","Co-codamol 30mg/500mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",807,"58923020","Naproxen 500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",810,"80054020","Co-codamol 30mg/500mg effervescent tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",826,"90765020","Pethidine 50mg/1ml solution for injection ampoules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",849,"74754020","Ibumed 400mg Tablet (Medipharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",850,"81638020","Mobic 7.5mg tablets (Boehringer Ingelheim Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",855,"58326020","Disprol 120mg/5ml Oral suspension (Reckitt Benckiser Healthcare (UK) Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",889,"2924007","CALPOL SIX PLUS 500 MG SUS","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",899,"55057020","Calpol Six Plus 250mg/5ml oral suspension (McNeil Products Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",901,"74893020","Calpol 120mg/5ml Liquid (Pfizer Consumer Healthcare Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",913,"50001020","Kaodene oral suspension (Sovereign Medical Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",919,"58918020","Indometacin 100mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",920,"54426020","Indocid 100mg suppositories (Aspen Pharma Trading Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1030,"72737020","Junifen 100mg/5ml Oral suspension (Crookes Healthcare Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1043,"64945020","Naproxen sodium 275mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1051,"63545020","Indometacin 75mg modified-release tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1068,"74892020","Calpol Paediatric 120mg/5ml oral suspension sugar free (McNeil Products Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1073,"64364020","Mefenamic acid 500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1086,"59356020","Ibuprofen 600mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1115,"73894020","Diclofenac sodium 100mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1116,"62460020","Diclofenac 100mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1147,"57016020","Paracetamol 120mg/5ml oral suspension","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1210,"58915020","Indometacin 75mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1231,"63884020","Ketoprofen 100mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1246,"51187020","Ponstan 250mg Dispersible tablet (Chemidex Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1261,"84587020","Co-codamol 30mg/500mg effervescent powder sachets sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1392,"50928020","Ibuprofen 800mg modified-release tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1404,"55696020","Paracetamol 120mg/5ml oral suspension paediatric (Rosemont Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1468,"71645020","Ibuprofen 200mg Soluble tablet","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1469,"81615020","Meloxicam 15mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1470,"81639020","Mobic 15mg tablets (Boehringer Ingelheim Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1496,"54429020","Indocid R 75mg capsules (Merck Sharp & Dohme Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1503,"68357020","Oramorph 10mg/5ml oral solution (Boehringer Ingelheim Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1544,"70327020","Piroxicam 0.5% gel","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1571,"69511020","Ketoprofen 100mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1609,"65975020","Paracetamol 500mg soluble tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1621,"48493020","Brufen 200mg tablets (Abbott Laboratories Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1640,"53130020","Kapake 30mg/500mg tablets (Galen Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1688,"49933020","Indocid 50mg capsules (Merck Sharp & Dohme Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1689,"69387020","Paracetamol 120mg/5ml oral suspension sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1692,"74349020","Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1708,"54315020","Codafen Continus tablets (Napp Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1739,"53998020","Brufen 400mg tablets (Mylan)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1755,"65859020","Piroxicam 20mg capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1757,"69012020","Choline Mg trisalicylate 500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1762,"64851020","Dextropropoxyphene HCl with paracetamol 32.5mg with 325mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1778,"51746020","Surgam 300mg Tablet (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1862,"69389020","Paracetamol 500mg/5ml oral suspension sugar free","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1865,"6596007","PARACETAMOL 1 GM TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1866,"57763020","Naprosyn 500mg tablets (Atnahs Pharma UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1946,"2139007","PARACETAMOL 500 MG SUP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1983,"64363020","Mefenamic acid 250mg Dispersible tablet","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",1999,"73000020","Paracetamol 125mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2034,"58882020","Alvedon 125mg suppositories (Intrapharm Laboratories Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2040,"55873020","Remedeine tablets (Crescent Pharma Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2041,"62548020","Dihydrocodeine 60mg modified-release tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2047,"55578020","Co-codaprin 8mg with 400mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2055,"58933020","Paracetamol 120mg/5ml oral solution paediatric","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2129,"68365020","Brufen retard tabs 800mg Modified-release tablet (Abbott Laboratories Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2200,"80094020","Indometacin 25mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2211,"73727020","Solpadol 30mg/500mg effervescent tablets (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2234,"68000020","Nabumetone 500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2235,"67974020","Relifex 500mg tablets (Meda Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2237,"64100020","Benorilate 750mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2243,"81614020","Meloxicam 7.5mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2250,"6150007","CODEINE & PARACETAMOL TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2257,"67923020","Surgam SA 300mg capsules (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2258,"53285020","Emflex 60mg capsules (Merck Serono Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2288,"57757020","Naprosyn 250mg tablets (Atnahs Pharma UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2344,"72999020","Paracetamol 120mg suppositories","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2363,"49076020","Dolobid 250mg tablets (Merck Sharp & Dohme Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2366,"62062020","Flurbiprofen 100mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2367,"65564020","Pentazocine 25mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2382,"50009020","Tiaprofenic acid 300mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2386,"53298020","Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2387,"81620020","Arthrotec 75 gastro-resistant tablets (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2391,"4699007","NAPROXEN 250 MG CAP","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2450,"69167020","Pethidine 50mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2462,"64854020","Cosalgesic Tablet (Actavis UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2463,"68349020","Piroxicam 10mg dispersible tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2525,"60224020","Amitriptyline 75mg modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2546,"2141007","PARACETAMOL SOLUBLE TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2555,"50340020","Dihydrocodeine with paracetamol 10mg+500mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2576,"53047020","Econacort cream (Bristol-Myers Squibb Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2586,"57029020","Disprol 120mg/5ml Oral suspension (Reckitt Benckiser Healthcare (UK) Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2606,"67624020","Ketoprofen 2.5% gel","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2622,"68109020","Ibuprofen 800mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2671,"63546020","Indometacin 50mg modified-release tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2693,"72463020","Proflex 5% cream (Novartis Consumer Health UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2698,"6691007","CODEINE & PARACETAMOL 8 MG TAB","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2794,"49325020","Co-codamol 30mg/500mg tablets (Wockhardt UK Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2800,"54181020","Panadol 500mg Soluble tablet (GlaxoSmithKline Consumer Healthcare)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2827,"55305020","Feldene 10mg dispersible tablets (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2846,"65994020","Paracetamol 500mg with codeine phosphate 30mg effervescent tablet","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2858,"70323020","Feldene 0.5% gel (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2863,"67057020","Tiaprofenic acid 300mg tablets","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2904,"75877020","Diclofenac sodium 75mg gastro-resistant modified-release capsules","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2917,"65993020","Paracetamol 500mg with codeine phosphate 30 mg tablet","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2936,"57463020","Motival 10mg/500microgram tablets (Sanofi)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2938,"63503020","Ibuprofen 100mg/5ml Oral suspension","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2957,"50522020","MST Continus 30mg tablets (Napp Pharmaceuticals Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2966,"51090020","Pethidine 50mg/ml injection","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2985,"55410020","Lentizol 50mg modified-release capsules (Pfizer Ltd)","MULTIPLY_ProdcodeID_painful_conditions"
"Painful conditions",2988,"6690007","CODEINE PHOSPHATE 15 MG ELI","MULTIPLY_ProdcodeID_painful_conditions"
