Disease,ICD10code,ICD10codeDescr,Category,OPCS4code,OPCS4codeDescr
Atrial fibrillation,I48,Atrial fibrillation and flutter,Fibrillation and flutter,NA,NA
"Atrioventricular block, complete",I44.2,"Atrioventricular block, complete","Diagnosis of Atrioventricular block, complete",NA,NA
"Atrioventricular block, second degree",I44.1,"Atrioventricular block, second degree","Diagnosis of Atrioventricular block, second degree",NA,NA
Autism and Asperger's syndrome,F84.0,Childhood autism,Diagnosis of Autism and Asperger's syndrome,NA,NA
Autism and Asperger's syndrome,F84.1,Atypical autism,Diagnosis of Autism and Asperger's syndrome,NA,NA
Autism and Asperger's syndrome,F84.5,Asperger's syndrome,Diagnosis of Autism and Asperger's syndrome,NA,NA
Autoimmune liver disease,K74.3,Primary biliary cirrhosis,Diagnosis of Autoimmune liver disease,NA,NA
Autoimmune liver disease,K75.4,Autoimmune hepatitis,Diagnosis of Autoimmune liver disease,NA,NA
Barrett's oesophagus,K22.7,Barrett's oesophagus,Diagnosis of Barrett's oesophagus,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D32,Benign neoplasm of meninges,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D33,Benign neoplasm of brain and other parts of central nervous system,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D35.2,Benign neoplasm: Pituitary gland,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D35.3,Benign neoplasm: Craniopharyngeal duct,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D35.4,Benign neoplasm: Pineal gland,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D35.5,Benign neoplasm: Carotid body,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Benign neoplasm of brain and other parts of central nervous system,D35.6,Benign neoplasm: Aortic body and other paraganglia,Diagnosis of Benign neoplasm of brain and other parts of central nervous system,NA,NA
Bipolar affective disorder and mania,F30,Manic episode,Diagnosis of Bipolar affective disorder and mania,NA,NA
Bipolar affective disorder and mania,F31,Bipolar affective disorder,Diagnosis of Bipolar affective disorder and mania,NA,NA
Bronchiectasis,J47,Bronchiectasis,Diagnosis of Bronchiectasis,NA,NA
Bronchiectasis,Q33.4,Congenital bronchiectasis,Diagnosis of Bronchiectasis,NA,NA
Carcinoma in situ_cervical,D06,Carcinoma in situ of cervix uteri,Diagnosis of Carcinoma in situ_cervical,NA,NA
Carcinoma in situ_cervical,N87,Dysplasia of cervix uteri,Diagnosis of Carcinoma in situ_cervical,NA,NA
Cerebral Palsy,G80,Cerebral palsy,Diagnosis of Cerebral palsy,NA,NA
Cholelithiasis,K80,Cholelithiasis,Diagnosis of Cholelithiasis,NA,NA
Chronic sinusitis,J32,Chronic sinusitis,Diagnosis of Chronic sinusitis,NA,NA
Chronic ulcer of the skin,I830,Varicose veins of lower extremities with ulcer,NA,NA,NA
Chronic ulcer of the skin,I832,Varicose veins of lower extremities with both ulcer and inflammation,NA,NA,NA
Chronic ulcer of the skin,L89,Decubitus ulcer and pressure area,NA,NA,NA
Chronic ulcer of the skin,L97,"Ulcer of lower limb, not elsewhere classified",NA,NA,NA
Chronic ulcer of the skin,L984,"Chronic ulcer of skin, not elsewhere classified",NA,NA,NA
Chronic viral hepatitis,B18,Chronic viral hepatitis,Diagnosis of Chronic viral hepatitis,NA,NA
Coeliac disease,K90.0,Coeliac disease,Diagnosis of Coeliac disease,NA,NA
Collapsed vertebra,M48.5,"Collapsed vertebra, not elsewhere classified",Diagnosis of Collapsed vertebra,NA,NA
Collapsed vertebra,M49.5,Collapsed vertebra in diseases classified elsewhere,Diagnosis of Collapsed vertebra,NA,NA
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44,Decompression of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.1,Complex decompression of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.2,Anterior decompression of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.3,Posterior decompression of fracture of spine NEC
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.4,Vertebroplasty of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.5,Balloon kyphoplasty of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.8,Other specified decompression of fracture of spine
Collapsed vertebra,NA,NA,Procedure for Collapsed vertebra,V44.9,Unspecified decompression of fracture of spine
Congenital malformations of cardiac septa,Q21,Congenital malformations of cardiac septa,Diagnosis of Congenital malformations of cardiac septa,NA,NA
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04,Repair of tetralogy of Fallot
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.1,Repair of tetralogy of Fallot using valved right ventricular outflow conduit
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.2,Repair of tetralogy of Fallot using right ventricular outflow conduit NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.3,Repair of tetralogy of Fallot using transannular patch
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.4,Revision of repair of tetralogy of Fallot
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.5,Repair of tetralogy of Fallot with absent pulmonary valve
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.6,Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.8,Other specified repair of tetralogy of Fallot
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K04.9,Unspecified repair of tetralogy of Fallot
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09,Repair of defect of atrioventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.1,Repair of defect of atrioventricular septum using dual prosthetic patches
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.2,Repair of defect of atrioventricular septum using prosthetic patch NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.3,Repair of defect of atrioventricular septum using tissue graft
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.4,Repair of persistent ostium primum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.5,Primary repair of defect of atrioventricular septum NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.6,Revision of repair of defect of atrioventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.8,Other specified repair of defect of atrioventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K09.9,Unspecified repair of defect of atrioventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10,Repair of defect of interatrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.1,Repair of defect of interatrial septum using prosthetic patch
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.2,Repair of defect of interatrial septum using pericardial patch
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.3,Repair of defect of interatrial septum using tissue graft NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.4,Primary repair of defect of interatrial septum NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.5,Revision of repair of defect of interatrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.8,Other specified repair of defect of interatrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K10.9,Unspecified repair of defect of interatrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11,Repair of defect of interventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.1,Repair of defect of interventricular septum using prosthetic patch
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.2,Repair of defect of interventricular septum using pericardial patch
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.3,Repair of defect of interventricular septum using tissue graft NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.4,Primary repair of defect of interventricular septum NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.5,Revision of repair of defect of interventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.6,Repair of multiple interventricular septal defects
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.7,Repair of interventricular septal defect using intraoperative transluminal prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.8,Other specified repair of defect of interventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K11.9,Unspecified repair of defect of interventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12,Repair of defect of unspecified septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.1,Repair of defect of septum of heart using prosthetic patch NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.2,Repair of defect of septum of heart using pericardial patch NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.3,Repair of defect of septum of heart using tissue graft NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.4,Primary repair of defect of septum of heart NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.5,Revision of repair of septum of heart NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.8,Other specified repair of defect of unspecified septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K12.9,Unspecified repair of defect of unspecified septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13,Transluminal repair of defect of septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.1,Percutaneous transluminal repair of defect of interventricular septum using prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.2,Percutaneous transluminal repair of defect of interventricular septum NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.3,Percutaneous transluminal repair of defect of interatrial septum using prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.4,Percutaneous transluminal repair of defect of interatrial septum NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.5,Percutaneous transluminal repair of defect of unspecified septum using prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.8,Other specified transluminal repair of defect of septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K13.9,Unspecified transluminal repair of defect of septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14,Other open operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.1,Open enlargement of defect of atrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.2,Open atrial septostomy
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.3,Atrial septectomy
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.4,Surgical atrial septation
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.5,Open enlargement of defect of interventricular septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.8,Other specified other open operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K14.9,Unspecified other open operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K15,Closed operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K15.1,Closed enlargement of defect of atrial septum
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K15.2,Closed atrial septostomy
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K15.8,Other specified closed operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K15.9,Unspecified closed operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16,Other therapeutic transluminal operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.1,Percutaneous transluminal balloon atrial septostomy
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.2,Percutaneous transluminal atrial septostomy NEC
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.3,Percutaneous transluminal atrial septum fenestration closure with prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.4,Percutaneous transluminal atrial septum fenestration
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.5,Percutaneous transluminal closure of patent oval foramen with prosthesis
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.6,Percutaneous transluminal chemical mediated septal ablation
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.8,Other specified other therapeutic transluminal operations on septum of heart
Congenital malformations of cardiac septa,NA,NA,Procedure for Congenital malformations of cardiac septa,K16.9,Unspecified other therapeutic transluminal operations on septum of heart
COPD,J40,"Bronchitis, not specified as acute or chronic",Diagnosis of COPD,NA,NA
COPD,J41,Simple and mucopurulent chronic bronchitis,Diagnosis of COPD,NA,NA
COPD,J42,Unspecified chronic bronchitis,Diagnosis of COPD,NA,NA
COPD,J43,Emphysema,Diagnosis of COPD,NA,NA
COPD,J44,Other chronic obstructive pulmonary disease,Diagnosis of COPD,NA,NA
Coronary heart disease not otherwise specified,I250,"Atherosclerotic cardiovascular disease, so described",Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I251,Atherosclerotic heart disease,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I253,Aneurysm of heart,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I254,Coronary artery aneurysm,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I255,Ischaemic cardiomyopathy,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I256,Silent myocardial ischaemia,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I258,Other forms of chronic ischaemic heart disease,Diagnosed,NA,NA
Coronary heart disease not otherwise specified,I259,"Chronic ischaemic heart disease, unspecified",Diagnosed,NA,NA
Crohn's disease,K50,Crohn's disease [regional enteritis],Diagnosis of Crohn's disease,NA,NA
Cystic Fibrosis,E84,Cystic fibrosis,Diagnosis of Cystic fibrosis,NA,NA
Dementia,F00,Dementia in Alzheimer's disease,Diagnosis of Dementia,NA,NA
Dementia,F01,Vascular dementia,Diagnosis of Dementia,NA,NA
Dementia,F03,Unspecified dementia,Diagnosis of Dementia,NA,NA
Dementia,F05.1,Delirium superimposed on dementia,Diagnosis of Dementia,NA,NA
Dementia,G30,Alzheimer's disease,Diagnosis of Dementia,NA,NA
Depression,F32,Depressive episode,Diagnosis of Depression,NA,NA
Depression,F33,Recurrent depressive disorder,Diagnosis of Depression,NA,NA
Dermatitis (atopc/contact/other/unspecified),L20,Atopic dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L23,Allergic contact dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L24,Irritant contact dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L25,Unspecified contact dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L27,Dermatitis due to substances taken internally,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L26,Exfoliative dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L28,Lichen simplex chronicus and prurigo,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.0,Nummular dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.1,Dyshidrosis [pompholyx],Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.2,Cutaneous autosensitization,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.5,Pityriasis alba,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.8,Other specified dermatitis,Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Dermatitis (atopc/contact/other/unspecified),L30.9,"Dermatitis, unspecified",Diagnosis of Dermatitis (atopc/contact/other/unspecified),NA,NA
Diabetes,E10,Insulin-dependent diabetes mellitus,Insulin dependent diabetes (3),NA,NA
Diabetes,E11,Non-insulin-dependent diabetes mellitus,Non insulin dependent diabetes (4),NA,NA
Diabetes,E12,Malnutrition-related diabetes mellitus,Secondary diabetes (5),NA,NA
Diabetes,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,Secondary diabetes (5),NA,NA
Diabetes,E13,Other specified diabetes mellitus,Diabetes not otherwise specified (6),NA,NA
Diabetes,E14,Unspecified diabetes mellitus,Diabetes not otherwise specified (6),NA,NA
Diabetes,G590,Diabetic mononeuropathy,Diabetes not otherwise specified (6),NA,NA
Diabetes,G632,Diabetic polyneuropathy,Diabetes not otherwise specified (6),NA,NA
Diabetes,H280,Diabetic cataract,Diabetes not otherwise specified (6),NA,NA
Diabetes,H360,Diabetic retinopathy,Diabetes not otherwise specified (6),NA,NA
Diabetes,M142,Diabetic arthropathy,Diabetes not otherwise specified (6),NA,NA
Diabetes,N083,Glomerular disorders in diabetes mellitus,Diabetes not otherwise specified (6),NA,NA
Diabetes,O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",Diabetes not otherwise specified (6),NA,NA
Diabetes,O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes not otherwise specified (6),NA,NA
Diabetes,O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",Diabetes not otherwise specified (6),NA,NA
Diabetic neurological complications,E10.4,Insulin-dependent diabetes mellitus - With neurological complications,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,E12.4,Malnutrition-related diabetes mellitus - With neurological complications,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,E13.4,Other specified diabetes mellitus - With neurological complications,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,E14.4,Unspecified diabetes mellitus - With neurological complications,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,G59.0,Diabetic mononeuropathy,Diagnosis of diabetic neurological complications,NA,NA
Diabetic neurological complications,G63.2,Diabetic polyneuropathy,Diagnosis of diabetic neurological complications,NA,NA
Diabetic ophthalmic complications,H35.0,Background retinopathy and retinal vascular changes,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,H35.2,Other proliferative retinopathy,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,E10.3,Insulin-dependent diabetes mellitus - With ophthalmic complications,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,E11.3,Non-insulin-dependent diabetes mellitus - With ophthalmic complications,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,E12.3,Malnutrition-related diabetes mellitus - With ophthalmic complications,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,E13.3,Other specified diabetes mellitus - With ophthalmic complications,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,E14.3,Unspecified diabetes mellitus - With ophthalmic complications,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,H28.0,Diabetic cataract,Diagnosis of diabetic ophthalmic complications,NA,NA
Diabetic ophthalmic complications,H36.0,Diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,NA,NA
Dilated cardiomyopathy,I42.0,Dilated cardiomyopathy,Diagnosis of Dilated cardiomyopathy,NA,NA
Dilated cardiomyopathy,I42.6,Alcoholic cardiomyopathy,Diagnosis of Dilated cardiomyopathy,NA,NA
Disorders of autonomic nervous system,G90,Disorders of autonomic nervous system,Diagnosis of autonomic neuropathy,NA,NA
Disorders of autonomic nervous system,G99.0,Autonomic neuropathy in endocrine and metabolic diseases,Diagnosis of autonomic neuropathy,NA,NA
Disorders of autonomic nervous system,G99.1,Other disorders of autonomic nervous system in other diseases classified elsewhere,Diagnosis of autonomic neuropathy,NA,NA
Disorders of autonomic nervous system,M89.0,Algoneurodystrophy,Diagnosis of autonomic neuropathy,NA,NA
Diverticular disease of intestine (acute and chronic),K38.2,Diverticulum of appendix,Diagnosis of Diverticular disease of intestine (acute and chronic),NA,NA
Diverticular disease of intestine (acute and chronic),K57,Diverticular disease of intestine,Diagnosis of Diverticular disease of intestine (acute and chronic),NA,NA
Diverticular disease of intestine (acute and chronic),NA,NA,Procedure for Diverticular disease of intestine (acute and chronic),H12.1,Excision of diverticulum of colon
Down's syndrome,Q90,Down's syndrome,Diagnosis of Down's syndrome,NA,NA
Dysmenorrhoea,N94.4,Primary dysmenorrhoea,Diagnosis of Dysmenorrhoea,NA,NA
